task,mouse,session,n_trials,percent_no_response,percent_cue_poke_no_lick,percent_cue_poke_lick_no_reward,percent_complete_sequence_rewarded,percent_offcue_poke_only,percent_mixed_offcue_and_oncue,engagement_rate,lick_given_oncue_poke_rate,reward_given_oncue_poke_rate,reward_given_poke_and_lick_rate,median_cue_to_poke_latency,median_poke_to_lick_latency,median_lick_to_reward_latency
AppetitveTaskReal,m90,1,60,16.667,0.0,11.667,21.667,50.0,31.667,33.333,100.0,65.0,65.0,2.433,0.314,0.04
AppetitveTaskReal,m90,2,60,16.667,1.667,5.0,31.667,45.0,33.333,38.333,95.652,82.609,86.364,4.182,0.295,0.023
AppetitveTaskReal,m90,3,60,40.0,6.667,0.0,16.667,36.667,13.333,23.333,71.429,71.429,100.0,2.146,0.222,0.03
AppetitveTaskReal,m90,4,60,51.667,1.667,0.0,11.667,35.0,8.333,13.333,87.5,87.5,100.0,5.531,0.243,0.023
AppetitveTaskReal,m90,5,60,43.333,1.667,1.667,18.333,35.0,15.0,21.667,92.308,84.615,91.667,4.651,0.249,0.024
AppetitveTaskReal,m90,6,60,15.0,0.0,1.667,36.667,46.667,33.333,38.333,100.0,95.652,95.652,3.204,0.181,0.022
AppetitveTaskReal,m90,7,60,5.0,0.0,5.0,45.0,45.0,46.667,50.0,100.0,90.0,90.0,2.563,0.186,0.022
AppetitveTaskReal,m90,8,60,28.333,1.667,8.333,26.667,35.0,28.333,36.667,95.455,72.727,76.19,4.076,0.189,0.022
AppetitveTaskReal,m90,9,60,40.0,1.667,5.0,25.0,28.333,26.667,31.667,94.737,78.947,83.333,5.29,0.185,0.023
AppetitveTaskReal,m90,10,60,10.0,0.0,1.667,43.333,45.0,41.667,45.0,100.0,96.296,96.296,1.545,0.163,0.022
AppetitveTaskReal,m90,11,60,48.333,6.667,3.333,11.667,30.0,16.667,21.667,69.231,53.846,77.778,4.583,0.306,0.026
AppetitveTaskReal,m90,12,60,33.333,3.333,3.333,18.333,41.667,20.0,25.0,86.667,73.333,84.615,3.668,0.342,0.024
AppetitveTaskReal,m90,13,60,23.333,0.0,3.333,23.333,50.0,25.0,26.667,100.0,87.5,87.5,3.899,0.186,0.022
AppetitveTaskReal,m92,1,60,30.0,0.0,1.667,15.0,53.333,13.333,16.667,100.0,90.0,90.0,5.357,0.365,0.044
AppetitveTaskReal,m92,2,60,60.0,8.333,0.0,3.333,28.333,5.0,11.667,28.571,28.571,100.0,3.433,0.335,0.025
AppetitveTaskReal,m92,3,60,66.667,5.0,0.0,1.667,26.667,1.667,6.667,25.0,25.0,100.0,2.695,0.936,0.034
AppetitveTaskReal,m92,4,60,53.333,0.0,0.0,11.667,35.0,10.0,11.667,100.0,100.0,100.0,1.843,0.688,0.022
AppetitveTaskReal,m92,5,60,88.333,0.0,1.667,0.0,10.0,1.667,1.667,100.0,0.0,0.0,1.334,7.094,NaN
AppetitveTaskReal,m92,6,60,48.333,8.333,1.667,5.0,36.667,6.667,15.0,44.444,33.333,75.0,1.832,0.932,0.027
AppetitveTaskReal,m92,7,60,30.0,15.0,3.333,15.0,36.667,18.333,33.333,55.0,45.0,81.818,3.486,0.719,0.022
AppetitveTaskReal,m92,8,60,26.667,1.667,10.0,15.0,46.667,25.0,26.667,93.75,56.25,60.0,4.464,0.404,0.02
AppetitveTaskReal,m92,9,60,38.333,5.0,1.667,18.333,36.667,11.667,25.0,80.0,73.333,91.667,4.755,0.37,0.024
AppetitveTaskReal,m92,10,60,68.333,0.0,1.667,5.0,25.0,5.0,6.667,100.0,75.0,75.0,2.21,1.681,0.031
AppetitveTaskReal,m92,11,60,41.667,1.667,1.667,20.0,35.0,13.333,23.333,92.857,85.714,92.308,3.474,0.42,0.024
AppetitveTaskReal,m93,1,59,20.339,3.39,6.78,33.898,35.593,38.983,44.068,92.308,76.923,83.333,4.385,0.282,0.041
AppetitveTaskReal,m93,2,60,36.667,0.0,1.667,21.667,40.0,20.0,23.333,100.0,92.857,92.857,2.787,0.237,0.026
AppetitveTaskReal,m93,3,60,41.667,0.0,0.0,13.333,45.0,10.0,13.333,100.0,100.0,100.0,4.198,0.22,0.025
AppetitveTaskReal,m93,4,60,55.0,0.0,0.0,8.333,36.667,5.0,8.333,100.0,100.0,100.0,4.761,0.212,0.023
AppetitveTaskReal,m93,5,60,21.667,0.0,1.667,28.333,48.333,28.333,30.0,100.0,94.444,94.444,2.952,0.202,0.023
AppetitveTaskReal,m93,6,60,28.333,0.0,0.0,21.667,50.0,16.667,21.667,100.0,100.0,100.0,4.959,0.211,0.023
