task,mouse,subject,session,training_day,trial_index,cue_on_time,cue_duration,n_oncue_pokes,n_offcue_pokes,n_offcue_licks,first_oncue_poke_time,first_offcue_poke_time,first_lick_after_oncue_poke_time,reward_time,action_sequence_category,engaged,licked_after_poke,rewarded,cue_to_first_oncue_poke_latency,poke_to_first_lick_latency,lick_to_reward_latency,previous_trial_category,previous_trial_rewarded,previous_trial_engaged
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,1,1762759423.889,8.0,0,0,0,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,,,
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,2,1762759457.033,8.0,0,0,0,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,no_response,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,3,1762759490.221,8.0,0,0,0,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,no_response,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,4,1762759531.394,8.0,0,0,0,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,no_response,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,5,1762759571.553,8.0,0,0,0,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,no_response,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,6,1762759604.715,8.0,1,5,30,7.716,19.141,20.033,NaN,cue_poke_no_lick,True,False,False,7.716,12.317,NaN,no_response,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,7,1762759664.294,8.0,0,1,0,NaN,13.289,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,cue_poke_no_lick,False,True
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,8,1762759706.702,8.0,0,0,0,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,9,1762759739.859,8.0,0,0,0,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,no_response,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,10,1762759778.037,8.172,2,3,47,7.634,12.81,8.135,8.18,complete_sequence_rewarded,True,True,True,7.634,0.501,0.044,no_response,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,11,1762759832.44,8.0,0,3,28,NaN,23.081,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,complete_sequence_rewarded,True,True
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,12,1762759881.541,8.0,0,1,6,NaN,23.367,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,13,1762759917.709,8.0,0,0,0,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,14,1762759954.88,8.0,0,1,8,NaN,29.014,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,no_response,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,15,1762759997.764,8.0,0,0,0,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,16,1762760033.942,8.0,0,1,4,NaN,16.883,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,no_response,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,17,1762760067.95,8.0,0,1,6,NaN,16.221,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,18,1762760103.193,2.352,1,9,55,1.777,9.478,2.318,2.356,complete_sequence_rewarded,True,True,True,1.777,0.541,0.038,offcue_poke_only,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,19,1762760199.279,8.0,0,3,24,NaN,15.591,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,complete_sequence_rewarded,True,True
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,20,1762760243.937,6.376,1,2,17,5.898,10.593,6.336,6.382,complete_sequence_rewarded,True,True,True,5.898,0.438,0.045,offcue_poke_only,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,21,1762760297.182,8.0,0,1,4,NaN,31.355,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,complete_sequence_rewarded,True,True
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,22,1762760340.382,8.0,0,0,0,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,23,1762760380.557,8.0,0,1,0,NaN,31.16,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,no_response,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,24,1762760422.471,8.0,0,1,2,NaN,24.079,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,25,1762760466.419,6.253,1,0,15,5.524,NaN,6.214,6.261,complete_sequence_rewarded,True,True,True,5.524,0.69,0.047,offcue_poke_only,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,26,1762760510.103,8.0,0,1,14,NaN,18.593,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,complete_sequence_rewarded,True,True
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,27,1762760549.669,8.0,0,1,8,NaN,32.564,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,28,1762760593.149,8.0,0,1,0,NaN,23.988,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,29,1762760635.446,8.0,0,0,0,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
AppetitveTaskReal,m97,m97_AppetitiveTone_150,1,1,30,1762760670.567,8.0,0,0,0,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,no_response,False,False
