task,mouse,subject,session,training_day,trial_index,cue_on_time,cue_duration,n_oncue_pokes,n_offcue_pokes,n_offcue_licks,first_oncue_poke_time,first_offcue_poke_time,first_lick_after_oncue_poke_time,reward_time,action_sequence_category,engaged,licked_after_poke,rewarded,cue_to_first_oncue_poke_latency,poke_to_first_lick_latency,lick_to_reward_latency,previous_trial_category,previous_trial_rewarded,previous_trial_engaged
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,1,1762689590.888,8.0,0,0,0,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,,,
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,2,1762689629.065,8.0,0,0,2,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,no_response,False,False
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,3,1762689663.243,8.0,2,1,8,2.82,19.649,10.788,NaN,cue_poke_lick_no_reward,True,True,False,2.82,7.968,NaN,no_response,False,False
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,4,1762689696.926,4.553,1,3,33,4.235,7.577,4.518,4.557,complete_sequence_rewarded,True,True,True,4.235,0.283,0.04,cue_poke_lick_no_reward,False,True
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,5,1762689752.102,8.0,0,4,16,NaN,10.732,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,complete_sequence_rewarded,True,True
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,6,1762689799.922,8.0,0,0,0,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,7,1762689834.104,8.0,0,1,14,NaN,19.399,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,no_response,False,False
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,8,1762689878.462,8.0,0,5,30,NaN,11.772,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,9,1762689945.766,8.0,0,3,6,NaN,10.248,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,10,1762689985.739,8.0,0,1,8,NaN,33.98,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,11,1762690032.387,0.89,1,2,25,0.689,3.997,0.861,0.896,complete_sequence_rewarded,True,True,True,0.689,0.172,0.035,offcue_poke_only,False,False
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,12,1762690076.64,8.0,0,2,18,NaN,8.854,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,complete_sequence_rewarded,True,True
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,13,1762690115.547,8.0,0,1,4,NaN,21.835,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,14,1762690160.754,8.0,0,2,12,NaN,16.514,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,15,1762690210.858,1.442,1,3,31,0.95,5.374,1.398,1.447,complete_sequence_rewarded,True,True,True,0.95,0.448,0.049,offcue_poke_only,False,False
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,16,1762690256.256,0.946,1,3,51,0.692,5.493,0.912,0.951,complete_sequence_rewarded,True,True,True,0.692,0.219,0.04,complete_sequence_rewarded,True,True
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,17,1762690314.188,8.0,0,3,12,NaN,18.643,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,complete_sequence_rewarded,True,True
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,18,1762690360.484,8.0,0,2,8,NaN,18.202,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,19,1762690401.877,1.56,1,3,35,1.255,5.852,1.529,1.567,complete_sequence_rewarded,True,True,True,1.255,0.274,0.038,offcue_poke_only,False,False
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,20,1762690448.758,8.0,0,0,6,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,complete_sequence_rewarded,True,True
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,21,1762690491.943,8.0,0,3,12,NaN,11.49,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,no_response,False,False
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,22,1762690537.469,8.0,0,2,26,NaN,11.362,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,23,1762690587.033,8.0,0,0,8,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,24,1762690622.224,8.0,3,1,6,3.813,8.951,9.552,NaN,cue_poke_lick_no_reward,True,True,False,3.813,5.738,NaN,no_response,False,False
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,25,1762690664.752,8.0,0,1,8,NaN,23.608,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,cue_poke_lick_no_reward,False,True
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,26,1762690699.916,8.256,1,5,49,7.89,17.632,8.223,8.262,complete_sequence_rewarded,True,True,True,7.89,0.332,0.039,offcue_poke_only,False,False
