task,mouse,session,n_trials,n_engaged,n_bouts,mean_bout_len,max_bout_len,engaged_rate
AppetitveTaskReal,m90,1,60,20,0,,0,33.3
AppetitveTaskReal,m90,2,60,23,1,5.000,5,38.3
AppetitveTaskReal,m90,3,60,14,1,4.000,4,23.3
AppetitveTaskReal,m90,4,60,8,0,,0,13.3
AppetitveTaskReal,m90,5,60,13,0,,0,21.7
AppetitveTaskReal,m90,6,60,23,0,,0,38.3
AppetitveTaskReal,m90,7,60,30,2,5.000,5,50.0
AppetitveTaskReal,m90,8,60,22,0,,0,36.7
AppetitveTaskReal,m90,9,60,19,0,,0,31.7
AppetitveTaskReal,m90,10,60,27,1,7.000,7,45.0
AppetitveTaskReal,m90,11,60,13,0,,0,21.7
AppetitveTaskReal,m90,12,60,15,0,,0,25.0
AppetitveTaskReal,m90,13,60,16,0,,0,26.7
AppetitveTaskReal,m92,1,60,10,0,,0,16.7
AppetitveTaskReal,m92,2,60,7,0,,0,11.7
AppetitveTaskReal,m92,3,60,4,0,,0,6.7
AppetitveTaskReal,m92,4,60,7,0,,0,11.7
AppetitveTaskReal,m92,5,60,1,0,,0,1.7
AppetitveTaskReal,m92,6,60,9,0,,0,15.0
AppetitveTaskReal,m92,7,60,20,0,,0,33.3
AppetitveTaskReal,m92,8,60,16,0,,0,26.7
AppetitveTaskReal,m92,9,60,15,0,,0,25.0
AppetitveTaskReal,m92,10,60,4,0,,0,6.7
AppetitveTaskReal,m92,11,60,14,0,,0,23.3
AppetitveTaskReal,m93,1,59,26,1,6.000,6,44.1
AppetitveTaskReal,m93,2,60,14,0,,0,23.3
AppetitveTaskReal,m93,3,60,8,0,,0,13.3
AppetitveTaskReal,m93,4,60,5,0,,0,8.3
AppetitveTaskReal,m93,5,60,18,0,,0,30.0
AppetitveTaskReal,m93,6,60,13,0,,0,21.7
AppetitveTaskReal,m93,7,65,15,0,,0,23.1
AppetitveTaskReal,m93,8,60,12,0,,0,20.0
AppetitveTaskReal,m93,9,63,12,1,4.000,4,19.0
AppetitveTaskReal,m93,10,60,9,0,,0,15.0
AppetitveTaskReal,m93,11,60,10,0,,0,16.7
AppetitveTaskReal,m93,12,60,8,0,,0,13.3
AppetitveTaskReal,m97,1,60,15,0,,0,25.0
AppetitveTaskReal,m97,2,60,25,0,,0,41.7
AppetitveTaskReal,m97,3,60,26,2,6.000,8,43.3
AppetitveTaskReal,m97,4,60,26,3,4.000,4,43.3
AppetitveTaskReal,m97,5,60,25,1,5.000,5,41.7
AppetitveTaskReal,m97,6,60,31,2,4.000,4,51.7
AppetitveTaskReal,m97,7,60,28,2,4.500,5,46.7
AppetitveTaskReal,m97,8,60,36,2,9.000,12,60.0
AppetitveTaskReal,m98,1,61,11,0,,0,18.0
AppetitveTaskReal,m98,2,61,5,0,,0,8.2
AppetitveTaskReal,m98,3,61,8,0,,0,13.1
AppetitveTaskReal,m98,4,61,3,0,,0,4.9
AppetitveTaskReal,m98,5,61,9,0,,0,14.8
AppetitveTaskReal,m98,6,61,2,0,,0,3.3
AppetitveTaskReal,m98,7,61,2,0,,0,3.3
AppetitveTaskReal,m98,8,61,9,0,,0,14.8
AppetitveTaskReal,m98,9,61,6,0,,0,9.8
AppetitveTaskReal,m98,10,61,3,0,,0,4.9
AppetitveTaskReal,m98,11,61,9,0,,0,14.8
AppetitveTaskReal,m98,12,61,13,0,,0,21.3
AppetitveTaskReal,m100,1,61,15,0,,0,24.6
AppetitveTaskReal,m100,2,62,16,1,4.000,4,25.8
AppetitveTaskReal,m100,3,61,18,1,4.000,4,29.5
AppetitveTaskReal,m100,4,61,30,2,4.000,4,49.2
AppetitveTaskReal,m101,1,60,14,0,,0,23.3
AppetitveTaskReal,m101,2,61,16,0,,0,26.2
AppetitveTaskReal,m101,3,61,10,0,,0,16.4
AppetitveTaskReal,m101,4,61,9,0,,0,14.8
AppetitveTaskReal,m101,5,61,9,0,,0,14.8
AppetitveTaskReal,m101,6,61,8,0,,0,13.1
AppetitveTaskReal,m101,7,61,5,0,,0,8.2
AppetitveTaskReal,m101,8,61,9,0,,0,14.8
AppetitveTaskReal,m101,9,61,13,0,,0,21.3
AppetitveTaskReal,m101,10,61,9,0,,0,14.8
AppetitveTaskReal,m101,11,60,6,0,,0,10.0
AppetitveTaskReal,m101,12,61,20,1,4.000,4,32.8
AppetitveTaskReal,m102,1,61,24,1,6.000,6,39.3
AppetitveTaskReal,m102,2,61,25,1,6.000,6,41.0
AppetitveTaskReal,m102,3,61,13,0,,0,21.3
AppetitveTaskReal,m102,4,61,20,1,5.000,5,32.8
AppetitveTaskReal,m102,5,61,20,1,5.000,5,32.8
AppetitveTaskReal,m102,6,61,25,2,4.500,5,41.0
AppetitveTaskReal,m102,7,61,26,3,4.000,4,42.6
AppetitveTaskReal,m102,8,61,18,0,,0,29.5
AppetitveTaskReal,m102,9,61,35,4,6.250,8,57.4
AppetitveTaskReal,m102,10,61,23,2,4.000,4,37.7
AppetitveTaskReal,m102,11,61,32,3,6.667,8,52.5
AppetitveTaskReal,m103,1,61,16,0,,0,26.2
AppetitveTaskReal,m103,2,61,16,0,,0,26.2
AppetitveTaskReal,m103,3,61,16,0,,0,26.2
AppetitveTaskReal,m103,4,61,18,1,4.000,4,29.5
AppetitveTaskReal,m103,5,61,21,0,,0,34.4
AppetitveTaskReal,m103,6,61,10,0,,0,16.4
AppetitveTaskReal,m103,7,61,19,0,,0,31.1
AppetitveTaskReal,m103,8,61,11,0,,0,18.0
AppetitveTaskReal,m103,9,61,14,1,4.000,4,23.0
AppetitveTaskReal,m103,10,61,9,0,,0,14.8
AppetitveTaskReal,m103,11,61,9,0,,0,14.8
AppetitveTaskReal,m103,12,61,27,1,5.000,5,44.3
AppetitveTaskReal,m104,1,60,5,0,,0,8.3
AppetitveTaskReal,m104,2,60,20,0,,0,33.3
AppetitveTaskReal,m104,3,60,13,0,,0,21.7
AppetitveTaskReal,m104,4,60,14,0,,0,23.3
AppetitveTaskReal,m104,5,60,12,0,,0,20.0
AppetitveTaskReal,m104,6,60,7,0,,0,11.7
AppetitveTaskReal,m104,7,60,11,0,,0,18.3
AppetitveTaskReal,m104,8,60,8,0,,0,13.3
AppetitveTaskReal,m104,9,60,15,1,4.000,4,25.0
AppetitveTaskReal,m104,10,60,20,2,4.500,5,33.3
AppetitveTaskReal,m104,11,60,21,1,5.000,5,35.0
AppetitveTaskReal,m104,12,60,15,0,,0,25.0
