task,mouse,n_sessions,max_hit_rate,max_engagement_rate,max_accuracy_when_engaged,late_hit_rate,late_engagement_rate,late_accuracy_when_engaged,late_offcue_pokes_per_trial,first_session_50_hit_rate,first_session_50_engagement,first_session_70_accuracy_when_engaged,hit_rate_learner,engagement_competence_learner,late_session_learner,competent_low_participation,non_learner,impulsive_offcue_dominated,n_late_engaged,low_confidence_competence,strong_participation_bar,final_classification,classification_reason
AppetitveTaskReal,m90,13,45.0,50.0,96.296,18.333,24.444,71.56,1.344,,7,2,False,False,False,False,False,False,44,False,50.0,partial_learner,"Learned the rule (accuracy 72%) but engages moderately (24%, below the task's strong-participation bar of 50%); partial learner."
AppetitveTaskReal,m92,11,20.0,33.333,100.0,14.444,18.333,78.016,0.728,,,1,False,False,False,False,False,False,33,False,50.0,partial_learner,"Learned the rule (accuracy 78%) but engages moderately (18%, below the task's strong-participation bar of 50%); partial learner."
AppetitveTaskReal,m93,12,33.898,44.068,100.0,13.333,15.0,88.333,0.839,,,1,False,False,False,True,False,False,27,False,50.0,competent_low_participation,High accuracy when engaged (88%) but low engagement (15%); low hit rate is mainly participation-limited.
AppetitveTaskReal,m97,8,55.0,60.0,100.0,51.667,52.778,97.222,3.217,6,6,1,False,False,True,False,False,True,95,False,50.0,strong_learner,"High engagement (53%, at/above the task's strong-participation bar of 50%) and high accuracy-when-engaged (97%); strong learner."
AppetitveTaskReal,m98,12,21.311,21.311,100.0,11.475,13.661,77.778,0.689,,,2,False,False,False,False,False,False,25,False,50.0,partial_learner,"Learned the rule (accuracy 78%) but engages moderately (14%, below the task's strong-participation bar of 50%); partial learner."
AppetitveTaskReal,m100,4,27.869,49.18,100.0,26.08,34.832,78.148,2.592,,,2,False,False,False,False,False,True,64,False,50.0,partial_learner,"Learned the rule (accuracy 78%) but engages moderately (35%, below the task's strong-participation bar of 50%); partial learner."
AppetitveTaskReal,m101,12,29.508,32.787,90.0,13.133,19.18,55.926,1.497,,,5,False,False,False,False,True,False,35,False,50.0,non_learner,Low accuracy when engaged (56%) and low engagement (19%) with no clear improvement; non-learner.
AppetitveTaskReal,m102,11,50.82,57.377,100.0,38.251,49.18,77.893,5.246,9,9,1,False,False,False,False,False,True,90,False,50.0,partial_learner,"Learned the rule (accuracy 78%) but engages moderately (49%, below the task's strong-participation bar of 50%); partial learner."
AppetitveTaskReal,m103,12,36.066,44.262,90.476,18.579,24.59,71.605,1.546,,,2,False,False,False,False,False,False,45,False,50.0,partial_learner,"Learned the rule (accuracy 72%) but engages moderately (25%, below the task's strong-participation bar of 50%); partial learner."
AppetitveTaskReal,m104,12,28.333,35.0,91.667,20.556,31.111,64.206,1.878,,,2,False,False,False,False,False,False,56,False,50.0,partial_learner,Moderate competence (64%) and low engagement (31%); partial learner.
