task,mouse,session,n_trials,n_engaged,n_rewarded,hit_rate,engagement_rate,accuracy_when_engaged,offcue_pokes,offcue_pokes_per_trial,cue_to_poke_latency_median,poke_to_lick_latency_median
AppetitveTaskReal,m90,1,60,20,13,21.667,33.333,65.0,124,2.067,2.433,0.314
AppetitveTaskReal,m90,2,60,23,19,31.667,38.333,82.609,111,1.85,4.182,0.295
AppetitveTaskReal,m90,3,60,14,10,16.667,23.333,71.429,52,0.867,2.146,0.222
AppetitveTaskReal,m90,4,60,8,7,11.667,13.333,87.5,34,0.567,5.531,0.243
AppetitveTaskReal,m90,5,60,13,11,18.333,21.667,84.615,59,0.983,4.651,0.249
AppetitveTaskReal,m90,6,60,23,22,36.667,38.333,95.652,170,2.833,3.204,0.181
AppetitveTaskReal,m90,7,60,30,27,45.0,50.0,90.0,201,3.35,2.563,0.186
AppetitveTaskReal,m90,8,60,22,16,26.667,36.667,72.727,85,1.417,4.076,0.189
AppetitveTaskReal,m90,9,60,19,15,25.0,31.667,78.947,62,1.033,5.29,0.185
AppetitveTaskReal,m90,10,60,27,26,43.333,45.0,96.296,152,2.533,1.545,0.163
AppetitveTaskReal,m90,11,60,13,7,11.667,21.667,53.846,39,0.65,4.583,0.306
AppetitveTaskReal,m90,12,60,15,11,18.333,25.0,73.333,63,1.05,3.668,0.342
AppetitveTaskReal,m90,13,60,16,15,25.0,26.667,87.5,140,2.333,3.899,0.186
AppetitveTaskReal,m92,1,60,10,9,15.0,16.667,90.0,83,1.383,5.357,0.365
AppetitveTaskReal,m92,2,60,7,2,3.333,11.667,28.571,41,0.683,3.433,0.335
AppetitveTaskReal,m92,3,60,4,1,1.667,6.667,25.0,25,0.417,2.695,0.936
AppetitveTaskReal,m92,4,60,7,7,11.667,11.667,100.0,54,0.9,1.843,0.688
AppetitveTaskReal,m92,5,60,1,0,0.0,1.667,0.0,12,0.2,1.334,7.094
AppetitveTaskReal,m92,6,60,9,3,5.0,15.0,33.333,77,1.283,1.832,0.932
AppetitveTaskReal,m92,7,60,20,9,15.0,33.333,45.0,85,1.417,3.486,0.719
AppetitveTaskReal,m92,8,60,16,9,15.0,26.667,56.25,173,2.883,4.464,0.404
AppetitveTaskReal,m92,9,60,15,11,18.333,25.0,73.333,49,0.817,4.755,0.37
AppetitveTaskReal,m92,10,60,4,3,5.0,6.667,75.0,24,0.4,2.21,1.681
AppetitveTaskReal,m92,11,60,14,12,20.0,23.333,85.714,58,0.967,3.474,0.42
AppetitveTaskReal,m93,1,59,26,20,33.898,44.068,76.923,125,2.119,4.385,0.282
AppetitveTaskReal,m93,2,60,14,13,21.667,23.333,92.857,69,1.15,2.787,0.237
AppetitveTaskReal,m93,3,60,8,8,13.333,13.333,100.0,50,0.833,4.198,0.22
AppetitveTaskReal,m93,4,60,5,5,8.333,8.333,100.0,30,0.5,4.761,0.212
AppetitveTaskReal,m93,5,60,18,17,28.333,30.0,94.444,134,2.233,2.952,0.202
AppetitveTaskReal,m93,6,60,13,13,21.667,21.667,100.0,65,1.083,4.959,0.211
AppetitveTaskReal,m93,7,65,15,15,23.077,23.077,100.0,40,0.615,3.527,0.204
AppetitveTaskReal,m93,8,60,12,11,18.333,20.0,91.667,76,1.267,4.551,0.223
AppetitveTaskReal,m93,9,63,12,11,17.46,19.048,91.667,79,1.254,4.016,0.212
AppetitveTaskReal,m93,10,60,9,9,15.0,15.0,100.0,69,1.15,1.401,0.273
AppetitveTaskReal,m93,11,60,10,9,15.0,16.667,90.0,50,0.833,4.796,0.303
AppetitveTaskReal,m93,12,60,8,6,10.0,13.333,75.0,32,0.533,6.508,0.38
AppetitveTaskReal,m97,1,60,15,12,20.0,25.0,80.0,79,1.317,5.217,0.406
AppetitveTaskReal,m97,2,60,25,22,36.667,41.667,88.0,144,2.4,2.959,0.312
AppetitveTaskReal,m97,3,60,26,25,41.667,43.333,96.154,147,2.45,3.665,0.216
AppetitveTaskReal,m97,4,60,26,22,36.667,43.333,80.769,140,2.333,1.806,0.204
AppetitveTaskReal,m97,5,60,25,25,41.667,41.667,100.0,196,3.267,1.402,0.208
AppetitveTaskReal,m97,6,60,31,32,53.333,51.667,100.0,209,3.483,1.586,0.175
AppetitveTaskReal,m97,7,60,28,28,46.667,46.667,100.0,164,2.733,0.712,0.194
AppetitveTaskReal,m97,8,60,36,33,55.0,60.0,91.667,206,3.433,2.705,0.174
AppetitveTaskReal,m98,1,61,11,6,9.836,18.033,54.545,82,1.344,1.991,0.373
AppetitveTaskReal,m98,2,61,5,4,6.557,8.197,80.0,81,1.328,3.697,0.357
AppetitveTaskReal,m98,3,61,8,1,1.639,13.115,12.5,22,0.361,2.658,2.348
AppetitveTaskReal,m98,4,61,3,3,4.918,4.918,100.0,54,0.885,5.51,0.28
AppetitveTaskReal,m98,5,61,9,8,13.115,14.754,88.889,29,0.475,4.053,0.356
AppetitveTaskReal,m98,6,61,2,1,1.639,3.279,50.0,41,0.672,5.351,11.277
AppetitveTaskReal,m98,7,61,2,0,0.0,3.279,0.0,16,0.262,6.181,NaN
AppetitveTaskReal,m98,8,61,9,5,8.197,14.754,55.556,26,0.426,5.79,0.422
AppetitveTaskReal,m98,9,61,6,2,3.279,9.836,33.333,33,0.541,4.632,2.402
