task,mouse,n_sessions,mean_oncue_share,sem_oncue_share,on_pokes,off_pokes,on_licks,off_licks
AppetitveTaskReal,m90,13,21.25256609368515,1.6690662143476613,262,1292,1991,7249
AppetitveTaskReal,m92,11,15.611751016508608,2.33457016681633,126,681,731,4190
AppetitveTaskReal,m93,12,14.72251961225133,1.4347069681382576,156,819,1115,5384
AppetitveTaskReal,m97,8,19.297627697092867,2.375110253196826,217,1285,1860,6730
AppetitveTaskReal,m98,12,14.38326378576351,2.649390262960764,85,510,498,2986
AppetitveTaskReal,m100,4,17.60472633190657,1.8813815039055097,91,638,391,2127
AppetitveTaskReal,m101,12,16.425198664709303,1.590212772801134,161,810,360,2710
AppetitveTaskReal,m102,11,19.24565473902295,2.1186967023065044,293,2478,2235,8730
AppetitveTaskReal,m103,12,18.115676724077996,1.5583101000591104,217,1167,1356,6082
AppetitveTaskReal,m104,12,15.455406182730792,1.2961625393154514,188,1260,929,4593
