subject,session,training_day,n_trials,n_hits,hit_rate,total_pokes,pokes_during_tone,n_poked_licked,n_poked_nolick
m100_AppetitiveTone_150,1,1,61,7,11.475409836065573,179,17,6,9
m100_AppetitiveTone_150,2,2,62,17,27.419354838709676,120,18,16,0
m100_AppetitiveTone_150,7,3,61,14,22.950819672131146,113,21,15,3
m100_AppetitiveTone_150,10,4,61,17,27.868852459016395,317,35,18,12
m101_AppetitiveTone_150,1,1,60,3,5.0,123,15,3,11
m101_AppetitiveTone_150,4,2,61,1,1.639344262295082,90,24,1,15
m101_AppetitiveTone_150,5,3,61,0,0.0,54,13,1,9
m101_AppetitiveTone_150,6,4,61,2,3.278688524590164,94,13,2,7
m101_AppetitiveTone_150,7,5,61,7,11.475409836065573,62,15,7,2
m101_AppetitiveTone_150,8,6,61,5,8.19672131147541,38,10,5,3
m101_AppetitiveTone_150,10,7,61,4,6.557377049180328,48,6,4,1
m101_AppetitiveTone_150,11,8,61,4,6.557377049180328,67,11,4,5
m101_AppetitiveTone_150,12,9,61,8,13.114754098360656,83,15,8,5
m101_AppetitiveTone_150,13,10,61,4,6.557377049180328,72,10,4,5
m101_AppetitiveTone_150,14,11,60,2,3.3333333333333335,67,7,2,4
m101_AppetitiveTone_150,15,12,61,18,29.508196721311474,173,22,18,2
m102_AppetitiveTone_150,2,1,61,21,34.42622950819672,305,27,23,1
m102_AppetitiveTone_150,4,2,61,24,39.34426229508197,295,27,25,0
m102_AppetitiveTone_150,5,3,61,13,21.311475409836067,184,13,13,0
m102_AppetitiveTone_150,6,4,61,20,32.78688524590164,245,23,20,0
m102_AppetitiveTone_150,7,5,61,20,32.78688524590164,166,20,20,0
m102_AppetitiveTone_150,8,6,61,22,36.0655737704918,197,25,23,2
m102_AppetitiveTone_150,9,7,61,25,40.98360655737705,178,31,26,0
m102_AppetitiveTone_150,10,8,61,14,22.950819672131146,136,22,16,2
m102_AppetitiveTone_150,11,9,61,31,50.81967213114754,382,40,34,1
m102_AppetitiveTone_150,12,10,61,19,31.147540983606557,256,27,20,3
m102_AppetitiveTone_150,14,11,61,20,32.78688524590164,427,38,21,11
m103_AppetitiveTone_150,1,1,61,11,18.0327868852459,147,21,12,4
m103_AppetitiveTone_150,2,2,61,13,21.311475409836067,144,21,13,3
m103_AppetitiveTone_150,3,3,61,14,22.950819672131146,149,16,14,2
m103_AppetitiveTone_150,4,4,61,12,19.672131147540984,135,20,13,5
m103_AppetitiveTone_150,5,5,61,19,31.147540983606557,128,21,20,1
m103_AppetitiveTone_150,6,6,61,9,14.754098360655737,75,12,10,0
m103_AppetitiveTone_150,7,7,61,7,11.475409836065573,104,19,7,12
m103_AppetitiveTone_150,8,8,61,8,13.114754098360656,90,15,8,3
m103_AppetitiveTone_150,9,9,61,11,18.0327868852459,73,16,12,2
m103_AppetitiveTone_150,10,10,61,8,13.114754098360656,69,11,8,1
m103_AppetitiveTone_150,11,11,61,4,6.557377049180328,57,15,4,5
m103_AppetitiveTone_150,12,12,61,22,36.0655737704918,213,30,27,0
m104_AppetitiveTone_150,1,1,60,2,3.3333333333333335,56,8,2,3
m104_AppetitiveTone_150,2,2,60,16,26.666666666666668,154,21,17,3
m104_AppetitiveTone_150,3,3,60,9,15.0,128,18,9,4
m104_AppetitiveTone_150,4,4,60,11,18.333333333333332,157,16,12,2
m104_AppetitiveTone_150,5,5,60,12,20.0,109,15,11,1
m104_AppetitiveTone_150,6,6,60,3,5.0,102,8,3,4
m104_AppetitiveTone_150,7,7,60,9,15.0,107,12,9,2
m104_AppetitiveTone_150,8,8,60,5,8.333333333333334,114,9,5,3
m104_AppetitiveTone_150,9,9,60,3,5.0,121,19,4,11
m104_AppetitiveTone_150,10,10,60,13,21.666666666666668,121,23,15,5
m104_AppetitiveTone_150,11,11,60,17,28.333333333333332,160,21,18,3
m104_AppetitiveTone_150,12,12,60,7,11.666666666666666,119,18,8,7
m90_AppetitiveTone_150,1,1,60,13,21.666666666666668,148,24,17,3
m90_AppetitiveTone_150,2,2,60,19,31.666666666666668,136,25,20,3
m90_AppetitiveTone_150,3,3,60,10,16.666666666666668,68,16,10,4
m90_AppetitiveTone_150,4,4,60,7,11.666666666666666,42,8,7,1
m90_AppetitiveTone_150,5,5,60,11,18.333333333333332,73,14,12,1
m90_AppetitiveTone_150,6,6,60,22,36.666666666666664,193,23,23,0
m90_AppetitiveTone_150,7,7,60,27,45.0,234,33,29,1
m90_AppetitiveTone_150,8,8,60,16,26.666666666666668,107,22,19,3
m90_AppetitiveTone_150,10,9,60,15,25.0,82,20,18,1
m90_AppetitiveTone_150,11,10,60,26,43.333333333333336,179,27,27,0
m90_AppetitiveTone_150,12,11,60,7,11.666666666666666,54,15,7,6
m90_AppetitiveTone_150,13,12,60,11,18.333333333333332,81,18,12,3
m90_AppetitiveTone_150,15,13,60,15,25.0,157,17,15,1
m92_AppetitiveTone_150,1,1,60,9,15.0,95,12,10,0
m92_AppetitiveTone_150,2,2,60,2,3.3333333333333335,48,7,2,5
m92_AppetitiveTone_150,3,3,60,1,1.6666666666666667,31,6,1,3
m92_AppetitiveTone_150,4,4,60,7,11.666666666666666,61,7,7,0
m92_AppetitiveTone_150,5,5,60,0,0.0,13,1,0,1
m92_AppetitiveTone_150,6,6,60,3,5.0,88,11,3,6
m92_AppetitiveTone_150,9,7,60,9,15.0,111,26,9,11
m92_AppetitiveTone_150,11,8,60,9,15.0,194,21,11,5
m92_AppetitiveTone_150,12,9,60,11,18.333333333333332,65,16,12,3
m92_AppetitiveTone_150,14,10,60,3,5.0,29,5,3,1
m92_AppetitiveTone_150,15,11,60,12,20.0,72,14,13,1
m93__AppetitiveTone_150,1,1,59,20,33.898305084745765,154,29,23,3
m93__AppetitiveTone_150,2,2,60,13,21.666666666666668,84,15,14,0
m93__AppetitiveTone_150,3,3,60,8,13.333333333333334,58,8,8,0
m93__AppetitiveTone_150,4,4,60,5,8.333333333333334,35,5,5,0
m93__AppetitiveTone_150,5,5,60,17,28.333333333333332,152,18,18,0
m93__AppetitiveTone_150,6,6,60,13,21.666666666666668,78,13,13,0
m93__AppetitiveTone_150,7,7,65,15,23.076923076923077,56,16,15,0
m93__AppetitiveTone_150,8,8,60,11,18.333333333333332,88,12,12,0
m93__AppetitiveTone_150,9,9,63,11,17.46031746031746,91,12,12,0
m93__AppetitiveTone_150,10,10,60,9,15.0,78,9,9,0
m93__AppetitiveTone_150,11,11,60,9,15.0,61,11,9,1
m93__AppetitiveTone_150,12,12,60,6,10.0,40,8,6,2
m97_AppetitiveTone_150,1,1,60,12,20.0,95,16,13,2
m97_AppetitiveTone_150,2,2,60,22,36.666666666666664,172,28,23,2
m97_AppetitiveTone_150,3,3,60,25,41.666666666666664,173,26,26,0
m97_AppetitiveTone_150,4,4,60,22,36.666666666666664,167,27,24,2
m97_AppetitiveTone_150,5,5,60,25,41.666666666666664,221,25,25,0
m97_AppetitiveTone_150,6,6,60,32,53.333333333333336,240,31,31,0
m97_AppetitiveTone_150,7,7,60,28,46.666666666666664,192,28,28,0
m97_AppetitiveTone_150,8,8,60,33,55.0,242,36,36,0
m98_AppetitiveTone_150,1,1,61,6,9.836065573770492,95,13,6,5
m98_AppetitiveTone_150,2,2,61,4,6.557377049180328,86,5,4,1
m98_AppetitiveTone_150,3,3,61,1,1.639344262295082,30,8,1,7
m98_AppetitiveTone_150,4,4,61,3,4.918032786885246,57,3,3,0
m98_AppetitiveTone_150,5,5,61,8,13.114754098360656,38,9,8,1
m98_AppetitiveTone_150,6,6,61,1,1.639344262295082,44,3,1,1
m98_AppetitiveTone_150,7,7,61,0,0.0,18,2,0,2
m98_AppetitiveTone_150,8,8,61,5,8.19672131147541,35,9,5,4
m98_AppetitiveTone_150,9,9,61,2,3.278688524590164,39,6,2,4
m98_AppetitiveTone_150,10,10,61,2,3.278688524590164,40,4,2,1
m98_AppetitiveTone_150,11,11,61,6,9.836065573770492,48,9,6,3
m98_AppetitiveTone_150,12,12,61,13,21.311475409836067,65,14,13,0
