mouse,engagement_first,accuracy_first,offcue_first,phenotype_first,engagement_last,accuracy_last,offcue_last,phenotype_last,changed
m90,33.3,65.0,2.07,partial_learner,26.7,87.5,2.33,competent_low_participation,yes
m92,16.7,90.0,1.38,competent_low_participation,23.3,85.7,0.97,competent_low_participation,no
m93,44.1,76.9,2.12,partial_learner,13.3,75.0,0.53,partial_learner,no
m97,25.0,80.0,1.32,competent_low_participation,60.0,91.7,3.43,strong_learner,yes
m98,18.0,54.5,1.34,non_learner,21.3,100.0,0.84,competent_low_participation,yes
m100,24.6,40.0,2.66,non_learner,49.2,56.7,4.62,impulsive_offcue_dominated,yes
m101,23.3,21.4,1.80,non_learner,32.8,90.0,2.48,competent_low_participation,yes
m102,39.3,87.5,4.56,competent_low_participation,52.5,62.5,6.38,impulsive_offcue_dominated,yes
m103,26.2,68.8,2.07,partial_learner,44.3,81.5,3.00,competent_low_participation,yes
m104,8.3,40.0,0.80,non_learner,25.0,46.7,1.68,non_learner,no
