task,mouse,subject,session,training_day,trial_index,n_trials_in_session,engaged,rewarded,missed,offcue_poke,offcue_pokes_count,n_oncue_pokes,n_licks,cue_to_poke_latency,poke_to_lick_latency,previous_engaged,previous_rewarded,previous_missed,previous_offcue_poke,previous_offcue_pokes_count,previous_cue_to_poke_latency,previous_poke_to_lick_latency,two_trials_back_rewarded,two_trials_back_engaged,two_trials_back_offcue_poke,prev_3_reward_rate,prev_3_engagement_rate,prev_3_offcue_poke_rate,prev_5_reward_rate,prev_5_engagement_rate,prev_5_offcue_poke_rate,trial_in_session_fraction
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,1,60,False,False,False,False,0,0,0,NaN,NaN,,,,,,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,0.0
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,2,60,False,False,False,False,0,0,4,NaN,NaN,False,False,False,False,0,NaN,NaN,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.017
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,3,60,True,False,True,True,1,2,8,2.82,7.968,False,False,False,False,0,NaN,NaN,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.034
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,4,60,True,True,False,True,3,1,34,4.235,0.283,True,False,True,True,1,2.82,7.968,False,False,False,0.0,0.333,0.333,0.0,0.333,0.333,0.051
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,5,60,False,False,False,True,4,0,16,NaN,NaN,True,True,False,True,3,4.235,0.283,False,True,True,0.333,0.667,0.667,0.25,0.5,0.5,0.068
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,6,60,False,False,False,False,0,0,0,NaN,NaN,False,False,False,True,4,NaN,NaN,True,True,True,0.333,0.667,1.0,0.2,0.4,0.6,0.085
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,7,60,False,False,False,True,1,0,16,NaN,NaN,False,False,False,False,0,NaN,NaN,False,False,True,0.333,0.333,0.667,0.2,0.4,0.6,0.102
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,8,60,False,False,False,True,5,0,30,NaN,NaN,False,False,False,True,1,NaN,NaN,False,False,False,0.0,0.0,0.667,0.2,0.4,0.8,0.119
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,9,60,False,False,False,True,3,0,6,NaN,NaN,False,False,False,True,5,NaN,NaN,False,False,True,0.0,0.0,0.667,0.2,0.2,0.8,0.136
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,10,60,False,False,False,True,1,0,8,NaN,NaN,False,False,False,True,3,NaN,NaN,False,False,True,0.0,0.0,1.0,0.0,0.0,0.8,0.153
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,11,60,True,True,False,True,2,1,26,0.689,0.172,False,False,False,True,1,NaN,NaN,False,False,True,0.0,0.0,1.0,0.0,0.0,0.8,0.169
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,12,60,False,False,False,True,2,0,20,NaN,NaN,True,True,False,True,2,0.689,0.172,False,False,True,0.333,0.333,1.0,0.2,0.2,1.0,0.186
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,13,60,False,False,False,True,1,0,4,NaN,NaN,False,False,False,True,2,NaN,NaN,True,True,True,0.333,0.333,1.0,0.2,0.2,1.0,0.203
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,14,60,False,False,False,True,2,0,12,NaN,NaN,False,False,False,True,1,NaN,NaN,False,False,True,0.333,0.333,1.0,0.2,0.2,1.0,0.22
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,15,60,True,True,False,True,3,1,32,0.95,0.448,False,False,False,True,2,NaN,NaN,False,False,True,0.0,0.0,1.0,0.2,0.2,1.0,0.237
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,16,60,True,True,False,True,3,1,52,0.692,0.219,True,True,False,True,3,0.95,0.448,False,False,True,0.333,0.333,1.0,0.4,0.4,1.0,0.254
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,17,60,False,False,False,True,3,0,14,NaN,NaN,True,True,False,True,3,0.692,0.219,True,True,True,0.667,0.667,1.0,0.4,0.4,1.0,0.271
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,18,60,False,False,False,True,2,0,10,NaN,NaN,False,False,False,True,3,NaN,NaN,True,True,True,0.667,0.667,1.0,0.4,0.4,1.0,0.288
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,19,60,True,True,False,True,3,1,36,1.255,0.274,False,False,False,True,2,NaN,NaN,False,False,True,0.333,0.333,1.0,0.4,0.4,1.0,0.305
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,20,60,False,False,False,False,0,0,8,NaN,NaN,True,True,False,True,3,1.255,0.274,False,False,True,0.333,0.333,1.0,0.6,0.6,1.0,0.322
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,21,60,False,False,False,True,3,0,12,NaN,NaN,False,False,False,False,0,NaN,NaN,True,True,True,0.333,0.333,0.667,0.4,0.4,0.8,0.339
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,22,60,False,False,False,True,2,0,26,NaN,NaN,False,False,False,True,3,NaN,NaN,False,False,False,0.333,0.333,0.667,0.2,0.2,0.8,0.356
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,23,60,False,False,False,False,0,0,10,NaN,NaN,False,False,False,True,2,NaN,NaN,False,False,True,0.0,0.0,0.667,0.2,0.2,0.8,0.373
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,24,60,True,False,True,True,1,3,6,3.813,5.738,False,False,False,False,0,NaN,NaN,False,False,True,0.0,0.0,0.667,0.2,0.2,0.6,0.39
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,25,60,False,False,False,True,1,0,8,NaN,NaN,True,False,True,True,1,3.813,5.738,False,False,False,0.0,0.333,0.667,0.0,0.2,0.6,0.407
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,26,60,True,True,False,True,5,1,52,7.89,0.332,False,False,False,True,1,NaN,NaN,False,True,True,0.0,0.333,0.667,0.0,0.2,0.8,0.424
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,27,60,False,False,False,False,0,0,6,NaN,NaN,True,True,False,True,5,7.89,0.332,False,False,True,0.333,0.667,1.0,0.2,0.4,0.8,0.441
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,28,60,True,False,True,True,1,1,8,6.215,17.815,False,False,False,False,0,NaN,NaN,True,True,True,0.333,0.333,0.667,0.2,0.4,0.6,0.458
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,29,60,False,False,False,True,2,0,18,NaN,NaN,True,False,True,True,1,6.215,17.815,False,False,False,0.333,0.667,0.667,0.2,0.6,0.8,0.475
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,30,60,True,True,False,True,5,1,36,0.464,0.404,False,False,False,True,2,NaN,NaN,False,True,True,0.0,0.333,0.667,0.2,0.4,0.8,0.492
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,31,60,False,False,False,True,2,0,22,NaN,NaN,True,True,False,True,5,0.464,0.404,False,False,True,0.333,0.667,1.0,0.4,0.6,0.8,0.508
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,32,60,True,True,False,True,2,1,26,7.796,0.245,False,False,False,True,2,NaN,NaN,True,True,True,0.333,0.333,1.0,0.2,0.4,0.8,0.525
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,33,60,False,False,False,True,3,0,18,NaN,NaN,True,True,False,True,2,7.796,0.245,False,False,True,0.667,0.667,1.0,0.4,0.6,1.0,0.542
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,34,60,False,False,False,True,3,0,16,NaN,NaN,False,False,False,True,3,NaN,NaN,True,True,True,0.333,0.333,1.0,0.4,0.4,1.0,0.559
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,35,60,True,False,True,True,3,1,26,4.48,0.296,False,False,False,True,3,NaN,NaN,False,False,True,0.333,0.333,1.0,0.4,0.4,1.0,0.576
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,36,60,True,False,True,True,2,1,14,6.877,1.918,True,False,True,True,3,4.48,0.296,False,False,True,0.0,0.333,1.0,0.2,0.4,1.0,0.593
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,37,60,True,True,False,True,2,1,26,5.896,0.274,True,False,True,True,2,6.877,1.918,False,True,True,0.0,0.667,1.0,0.2,0.6,1.0,0.61
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,38,60,False,False,False,True,3,0,26,NaN,NaN,True,True,False,True,2,5.896,0.274,False,True,True,0.333,1.0,1.0,0.2,0.6,1.0,0.627
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,39,60,False,False,False,True,2,0,14,NaN,NaN,False,False,False,True,3,NaN,NaN,True,True,True,0.333,0.667,1.0,0.2,0.6,1.0,0.644
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,40,60,True,True,False,True,1,1,16,7.066,0.199,False,False,False,True,2,NaN,NaN,False,False,True,0.333,0.333,1.0,0.2,0.6,1.0,0.661
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,41,60,False,False,False,True,7,0,20,NaN,NaN,True,True,False,True,1,7.066,0.199,False,False,True,0.333,0.333,1.0,0.4,0.6,1.0,0.678
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,42,60,False,False,False,True,1,0,4,NaN,NaN,False,False,False,True,7,NaN,NaN,True,True,True,0.333,0.333,1.0,0.4,0.4,1.0,0.695
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,43,60,True,True,False,True,3,1,44,0.069,0.204,False,False,False,True,1,NaN,NaN,False,False,True,0.333,0.333,1.0,0.2,0.2,1.0,0.712
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,44,60,False,False,False,False,0,0,6,NaN,NaN,True,True,False,True,3,0.069,0.204,False,False,True,0.333,0.333,1.0,0.4,0.4,1.0,0.729
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,45,60,False,False,False,False,0,0,12,NaN,NaN,False,False,False,False,0,NaN,NaN,True,True,True,0.333,0.333,0.667,0.4,0.4,0.8,0.746
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,46,60,True,False,True,False,0,2,8,0.296,7.696,False,False,False,False,0,NaN,NaN,False,False,False,0.333,0.333,0.333,0.2,0.2,0.6,0.763
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,47,60,False,False,False,True,3,0,22,NaN,NaN,True,False,True,False,0,0.296,7.696,False,False,False,0.0,0.333,0.0,0.2,0.4,0.4,0.78
AppetitveTaskReal,m90,m90_AppetitiveTone_150,1,1,48,60,False,False,False,True,4,0,12,NaN,NaN,False,False,False,True,3,NaN,NaN,False,True,False,0.0,0.333,0.333,0.2,0.4,0.4,0.797
