mouse,n_complete,mean_complete,sem_complete,n_catch,mean_catch,sem_catch
m90,198,11.11111111111111,0.307970464814003,18,5.777777777777778,0.7564777148355707
m92,66,16.71212121212121,0.8917558572080546,5,3.6,1.5999999999999999
m93,137,11.744525547445255,0.4301872834833584,7,6.0,2.390457218668787
m97,197,10.700507614213198,0.2968867933800029,9,7.444444444444445,0.5555555555555556
m98,51,16.372549019607842,0.9813798945876979,1,0.0,0.0
m100,53,8.528301886792454,0.456849002745766,2,6.0,2.0
m101,58,8.379310344827585,0.7055340771808675,3,3.3333333333333335,1.763834207376394
m102,229,10.406113537117903,0.2736979805552558,11,5.2727272727272725,0.8212065302280884
m103,138,12.492753623188406,0.49157144080442106,13,5.923076923076923,1.088762756182674
m104,106,9.735849056603774,0.48170517107512206,7,4.714285714285714,1.248127849722015
