mouse,n_after_complete,p_engage_after_complete,after_complete__complete_sequence_rewarded,after_complete__cue_poke_lick_no_reward,after_complete__cue_poke_no_lick,after_complete__no_response,after_complete__offcue_poke_only,n_after_catch,p_engage_after_catch,after_catch__complete_sequence_rewarded,after_catch__cue_poke_lick_no_reward,after_catch__cue_poke_no_lick,after_catch__no_response,after_catch__offcue_poke_only
m90,198,0.36363636363636365,0.3282828282828283,0.030303030303030304,0.005050505050505051,0.22727272727272727,0.4090909090909091,18,0.2777777777777778,0.2222222222222222,0.05555555555555555,0.0,0.3888888888888889,0.3333333333333333
m92,66,0.30303030303030304,0.22727272727272727,0.0,0.07575757575757576,0.3181818181818182,0.3787878787878788,5,0.0,0.0,0.0,0.0,0.6,0.4
m93,137,0.27007299270072993,0.24087591240875914,0.0072992700729927005,0.021897810218978103,0.26277372262773724,0.46715328467153283,7,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.5714285714285714
m97,197,0.49238578680203043,0.4619289340101523,0.02030456852791878,0.01015228426395939,0.12690355329949238,0.38071065989847713,9,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0,0.7777777777777778
m98,51,0.23529411764705882,0.21568627450980393,0.0,0.0196078431372549,0.29411764705882354,0.47058823529411764,1,0.0,0.0,0.0,0.0,1.0,0.0
m100,53,0.41509433962264153,0.37735849056603776,0.018867924528301886,0.018867924528301886,0.18867924528301888,0.39622641509433965,2,1.0,0.5,0.0,0.5,0.0,0.0
m101,57,0.3333333333333333,0.24561403508771928,0.0,0.08771929824561403,0.40350877192982454,0.2631578947368421,3,0.0,0.0,0.0,0.0,0.0,1.0
m102,229,0.5065502183406113,0.462882096069869,0.034934497816593885,0.008733624454148471,0.18777292576419213,0.3056768558951965,11,0.45454545454545453,0.36363636363636365,0.0,0.09090909090909091,0.2727272727272727,0.2727272727272727
m103,138,0.2463768115942029,0.18115942028985507,0.036231884057971016,0.028985507246376812,0.2608695652173913,0.4927536231884058,12,0.5,0.5,0.0,0.0,0.16666666666666666,0.3333333333333333
m104,106,0.3113207547169811,0.2358490566037736,0.018867924528301886,0.05660377358490566,0.330188679245283,0.3584905660377358,7,0.14285714285714285,0.14285714285714285,0.0,0.0,0.42857142857142855,0.42857142857142855
