mouse,n_complete,mean_complete,sem_complete,n_catch,mean_catch,sem_catch
m90,151,11.278145695364238,0.28965366247502644,18,6.333333333333333,0.4917622040778217
m92,99,12.828282828282829,0.6273240285733364,8,5.25,0.8398554297360605
m93,134,12.5,0.3351194059913919,9,6.888888888888889,1.8061964674454287
m97,121,10.942148760330578,0.36350329395917114,12,6.833333333333333,0.7865665062071158
m98,127,11.755905511811024,0.5684840984212877,7,6.571428571428571,1.2883570722351125
m100,159,11.30188679245283,0.33310493532303026,13,6.3076923076923075,0.5925241029892996
m101,103,12.699029126213592,0.6223875461912547,11,5.2727272727272725,0.9447549859466603
m102,197,8.908629441624365,0.2760491476650189,9,6.444444444444445,1.5555555555555556
m103,148,10.93918918918919,0.3574935667165707,17,4.411764705882353,0.6006052310782982
m104,144,10.715277777777779,0.4162192463100159,10,5.2,0.7999999999999999
