mouse,n_after_complete,p_engage_after_complete,after_complete__complete_sequence_rewarded,after_complete__cue_poke_lick_no_reward,after_complete__cue_poke_no_lick,after_complete__no_response,after_complete__offcue_poke_only,n_after_catch,p_engage_after_catch,after_catch__complete_sequence_rewarded,after_catch__cue_poke_lick_no_reward,after_catch__cue_poke_no_lick,after_catch__no_response,after_catch__offcue_poke_only
m90,151,0.7615894039735099,0.6754966887417219,0.07947019867549669,0.006622516556291391,0.039735099337748346,0.1986754966887417,18,0.7222222222222222,0.6111111111111112,0.1111111111111111,0.0,0.16666666666666666,0.1111111111111111
m92,99,0.6363636363636364,0.5959595959595959,0.04040404040404041,0.0,0.16161616161616163,0.20202020202020202,8,0.5,0.5,0.0,0.0,0.125,0.375
m93,134,0.664179104477612,0.6343283582089553,0.029850746268656716,0.0,0.05970149253731343,0.27611940298507465,9,0.6666666666666666,0.5555555555555556,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222
m97,121,0.6198347107438017,0.5537190082644629,0.05785123966942149,0.008264462809917356,0.1322314049586777,0.24793388429752067,12,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333
m98,127,0.6062992125984252,0.5590551181102362,0.03937007874015748,0.007874015748031496,0.13385826771653545,0.25984251968503935,7,0.7142857142857143,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
m100,159,0.8113207547169812,0.7295597484276729,0.05660377358490566,0.025157232704402517,0.06289308176100629,0.12578616352201258,13,0.5384615384615384,0.5384615384615384,0.0,0.0,0.15384615384615385,0.3076923076923077
m101,103,0.6019417475728155,0.5339805825242718,0.05825242718446602,0.009708737864077669,0.1650485436893204,0.23300970873786409,11,0.6363636363636364,0.5454545454545454,0.09090909090909091,0.0,0.09090909090909091,0.2727272727272727
m102,197,0.8730964467005076,0.8477157360406091,0.025380710659898477,0.0,0.06598984771573604,0.06091370558375635,9,1.0,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0,0.0
m103,148,0.6891891891891891,0.6081081081081081,0.07432432432432433,0.006756756756756757,0.10810810810810811,0.20270270270270271,17,0.7647058823529411,0.7058823529411765,0.058823529411764705,0.0,0.11764705882352941,0.11764705882352941
m104,144,0.6875,0.6319444444444444,0.04861111111111111,0.006944444444444444,0.08333333333333333,0.22916666666666666,10,0.6,0.6,0.0,0.0,0.2,0.2
