task,mouse,session,n_trials,n_engaged,n_bouts,mean_bout_len,max_bout_len,engaged_rate
AppetitveTaskReal,m90,1,60,20,0,,0,33.3
AppetitveTaskReal,m90,2,60,23,1,5.000,5,38.3
AppetitveTaskReal,m90,3,60,14,1,4.000,4,23.3
AppetitveTaskReal,m90,4,60,8,0,,0,13.3
AppetitveTaskReal,m90,5,60,13,0,,0,21.7
AppetitveTaskReal,m90,6,60,23,0,,0,38.3
AppetitveTaskReal,m90,7,60,30,2,5.000,5,50.0
AppetitveTaskReal,m90,8,60,22,0,,0,36.7
AppetitveTaskReal,m90,9,60,19,0,,0,31.7
AppetitveTaskReal,m90,10,60,27,1,7.000,7,45.0
AppetitveTaskReal,m90,11,60,13,0,,0,21.7
AppetitveTaskReal,m90,12,60,15,0,,0,25.0
AppetitveTaskReal,m90,13,60,16,0,,0,26.7
AppetitveTaskReal,m92,1,60,10,0,,0,16.7
AppetitveTaskReal,m92,2,60,7,0,,0,11.7
AppetitveTaskReal,m92,3,60,4,0,,0,6.7
AppetitveTaskReal,m92,4,60,7,0,,0,11.7
AppetitveTaskReal,m92,5,60,1,0,,0,1.7
AppetitveTaskReal,m92,6,60,9,0,,0,15.0
AppetitveTaskReal,m92,7,60,20,0,,0,33.3
AppetitveTaskReal,m92,8,60,16,0,,0,26.7
AppetitveTaskReal,m92,9,60,15,0,,0,25.0
AppetitveTaskReal,m92,10,60,4,0,,0,6.7
AppetitveTaskReal,m92,11,60,14,0,,0,23.3
AppetitveTaskReal,m93,1,59,26,1,6.000,6,44.1
AppetitveTaskReal,m93,2,60,14,0,,0,23.3
AppetitveTaskReal,m93,3,60,8,0,,0,13.3
AppetitveTaskReal,m93,4,60,5,0,,0,8.3
AppetitveTaskReal,m93,5,60,18,0,,0,30.0
AppetitveTaskReal,m93,6,60,13,0,,0,21.7
AppetitveTaskReal,m93,7,65,15,0,,0,23.1
AppetitveTaskReal,m93,8,60,12,0,,0,20.0
AppetitveTaskReal,m93,9,63,12,1,4.000,4,19.0
AppetitveTaskReal,m93,10,60,9,0,,0,15.0
AppetitveTaskReal,m93,11,60,10,0,,0,16.7
AppetitveTaskReal,m93,12,60,8,0,,0,13.3
AppetitveTaskReal,m97,1,60,15,0,,0,25.0
AppetitveTaskReal,m97,2,60,25,0,,0,41.7
AppetitveTaskReal,m97,3,60,26,2,6.000,8,43.3
AppetitveTaskReal,m97,4,60,26,3,4.000,4,43.3
AppetitveTaskReal,m97,5,60,25,1,5.000,5,41.7
AppetitveTaskReal,m97,6,60,31,2,4.000,4,51.7
AppetitveTaskReal,m97,7,60,28,2,4.500,5,46.7
AppetitveTaskReal,m97,8,60,36,2,9.000,12,60.0
AppetitveTaskReal,m98,1,61,11,0,,0,18.0
AppetitveTaskReal,m98,2,61,5,0,,0,8.2
AppetitveTaskReal,m98,3,61,8,0,,0,13.1
AppetitveTaskReal,m98,4,61,3,0,,0,4.9
AppetitveTaskReal,m98,5,61,9,0,,0,14.8
AppetitveTaskReal,m98,6,61,2,0,,0,3.3
AppetitveTaskReal,m98,7,61,2,0,,0,3.3
AppetitveTaskReal,m98,8,61,9,0,,0,14.8
AppetitveTaskReal,m98,9,61,6,0,,0,9.8
AppetitveTaskReal,m98,10,61,3,0,,0,4.9
AppetitveTaskReal,m98,11,61,9,0,,0,14.8
AppetitveTaskReal,m98,12,61,13,0,,0,21.3
AppetitveTaskReal,m100,1,61,15,0,,0,24.6
AppetitveTaskReal,m100,2,62,16,1,4.000,4,25.8
AppetitveTaskReal,m100,3,61,18,1,4.000,4,29.5
AppetitveTaskReal,m100,4,61,30,2,4.000,4,49.2
AppetitveTaskReal,m101,1,60,14,0,,0,23.3
AppetitveTaskReal,m101,2,61,16,0,,0,26.2
AppetitveTaskReal,m101,3,61,10,0,,0,16.4
AppetitveTaskReal,m101,4,61,9,0,,0,14.8
AppetitveTaskReal,m101,5,61,9,0,,0,14.8
AppetitveTaskReal,m101,6,61,8,0,,0,13.1
AppetitveTaskReal,m101,7,61,5,0,,0,8.2
AppetitveTaskReal,m101,8,61,9,0,,0,14.8
AppetitveTaskReal,m101,9,61,13,0,,0,21.3
AppetitveTaskReal,m101,10,61,9,0,,0,14.8
AppetitveTaskReal,m101,11,60,6,0,,0,10.0
AppetitveTaskReal,m101,12,61,20,1,4.000,4,32.8
AppetitveTaskReal,m102,1,61,24,1,6.000,6,39.3
AppetitveTaskReal,m102,2,61,25,1,6.000,6,41.0
AppetitveTaskReal,m102,3,61,13,0,,0,21.3
AppetitveTaskReal,m102,4,61,20,1,5.000,5,32.8
AppetitveTaskReal,m102,5,61,20,1,5.000,5,32.8
AppetitveTaskReal,m102,6,61,25,2,4.500,5,41.0
AppetitveTaskReal,m102,7,61,26,3,4.000,4,42.6
AppetitveTaskReal,m102,8,61,18,0,,0,29.5
AppetitveTaskReal,m102,9,61,35,4,6.250,8,57.4
AppetitveTaskReal,m102,10,61,23,2,4.000,4,37.7
AppetitveTaskReal,m102,11,61,32,3,6.667,8,52.5
AppetitveTaskReal,m103,1,61,16,0,,0,26.2
AppetitveTaskReal,m103,2,61,16,0,,0,26.2
AppetitveTaskReal,m103,3,61,16,0,,0,26.2
AppetitveTaskReal,m103,4,61,18,1,4.000,4,29.5
AppetitveTaskReal,m103,5,61,21,0,,0,34.4
AppetitveTaskReal,m103,6,61,10,0,,0,16.4
AppetitveTaskReal,m103,7,61,19,0,,0,31.1
AppetitveTaskReal,m103,8,61,11,0,,0,18.0
AppetitveTaskReal,m103,9,61,14,1,4.000,4,23.0
AppetitveTaskReal,m103,10,61,9,0,,0,14.8
AppetitveTaskReal,m103,11,61,9,0,,0,14.8
AppetitveTaskReal,m103,12,61,27,1,5.000,5,44.3
AppetitveTaskReal,m104,1,60,5,0,,0,8.3
AppetitveTaskReal,m104,2,60,20,0,,0,33.3
AppetitveTaskReal,m104,3,60,13,0,,0,21.7
AppetitveTaskReal,m104,4,60,14,0,,0,23.3
AppetitveTaskReal,m104,5,60,12,0,,0,20.0
AppetitveTaskReal,m104,6,60,7,0,,0,11.7
AppetitveTaskReal,m104,7,60,11,0,,0,18.3
AppetitveTaskReal,m104,8,60,8,0,,0,13.3
AppetitveTaskReal,m104,9,60,15,1,4.000,4,25.0
AppetitveTaskReal,m104,10,60,20,2,4.500,5,33.3
AppetitveTaskReal,m104,11,60,21,1,5.000,5,35.0
AppetitveTaskReal,m104,12,60,15,0,,0,25.0
Generalization,m90,1,61,27,2,4.500,5,44.3
Generalization,m90,2,60,43,5,6.200,11,71.7
Generalization,m90,3,61,51,4,10.500,15,83.6
Generalization,m90,4,61,52,4,10.500,15,85.2
Generalization,m92,1,61,7,0,,0,11.5
Generalization,m92,2,60,19,0,,0,31.7
Generalization,m92,3,61,36,5,4.800,7,59.0
Generalization,m92,4,61,46,4,8.500,15,75.4
Generalization,m93,1,61,27,1,4.000,4,44.3
Generalization,m93,2,60,23,0,,0,38.3
Generalization,m93,3,61,41,5,6.400,9,67.2
Generalization,m93,4,61,52,6,7.500,11,85.2
Generalization,m97,1,61,30,2,7.000,8,49.2
Generalization,m97,2,60,41,3,7.000,10,68.3
Generalization,m97,3,61,25,2,6.500,9,41.0
Generalization,m97,4,61,43,4,7.500,13,70.5
Generalization,m98,1,61,35,1,8.000,8,57.4
Generalization,m98,2,61,32,2,4.000,4,52.5
Generalization,m98,3,61,44,4,7.750,13,72.1
Generalization,m98,4,60,27,2,4.500,5,45.0
Generalization,m100,1,61,42,3,9.000,14,68.9
Generalization,m100,2,60,44,6,6.667,12,73.3
Generalization,m100,3,61,52,6,8.333,17,85.2
Generalization,m100,4,61,48,7,5.714,11,78.7
Generalization,m101,1,61,14,0,,0,23.0
Generalization,m101,2,60,28,2,4.500,5,46.7
Generalization,m101,3,61,41,4,6.500,9,67.2
Generalization,m101,4,61,34,4,5.250,8,55.7
Generalization,m102,1,61,42,4,5.750,7,68.9
Generalization,m102,2,60,53,6,8.667,14,88.3
Generalization,m102,3,61,56,4,13.750,17,91.8
Generalization,m102,4,61,59,2,29.500,34,96.7
Generalization,m103,1,61,40,3,5.667,6,65.6
Generalization,m103,2,61,49,3,11.333,17,80.3
Generalization,m103,3,61,42,5,5.800,8,68.9
Generalization,m103,4,61,36,4,6.000,7,59.0
Generalization,m104,1,61,41,5,5.400,6,67.2
Generalization,m104,2,61,45,4,7.000,12,73.8
Generalization,m104,3,61,30,3,5.000,6,49.2
Generalization,m104,4,61,42,5,5.600,9,68.9
