task,mouse,n_sessions,max_hit_rate,max_engagement_rate,max_accuracy_when_engaged,late_hit_rate,late_engagement_rate,late_accuracy_when_engaged,late_offcue_pokes_per_trial,first_session_50_hit_rate,first_session_50_engagement,first_session_70_accuracy_when_engaged,hit_rate_learner,engagement_competence_learner,late_session_learner,competent_low_participation,non_learner,impulsive_offcue_dominated,n_late_engaged,low_confidence_competence,strong_participation_bar,final_classification,classification_reason
AppetitveTaskReal,m90,13,45.0,50.0,96.296,18.333,24.444,71.56,1.344,,7,2,False,False,False,False,False,False,44,False,50.0,partial_learner,"Learned the rule (accuracy 72%) but engages moderately (24%, below the task's strong-participation bar of 50%); partial learner."
AppetitveTaskReal,m92,11,20.0,33.333,100.0,14.444,18.333,78.016,0.728,,,1,False,False,False,False,False,False,33,False,50.0,partial_learner,"Learned the rule (accuracy 78%) but engages moderately (18%, below the task's strong-participation bar of 50%); partial learner."
AppetitveTaskReal,m93,12,33.898,44.068,100.0,13.333,15.0,88.333,0.839,,,1,False,False,False,True,False,False,27,False,50.0,competent_low_participation,High accuracy when engaged (88%) but low engagement (15%); low hit rate is mainly participation-limited.
AppetitveTaskReal,m97,8,55.0,60.0,100.0,51.667,52.778,97.222,3.217,6,6,1,False,False,True,False,False,True,95,False,50.0,strong_learner,"High engagement (53%, at/above the task's strong-participation bar of 50%) and high accuracy-when-engaged (97%); strong learner."
AppetitveTaskReal,m98,12,21.311,21.311,100.0,11.475,13.661,77.778,0.689,,,2,False,False,False,False,False,False,25,False,50.0,partial_learner,"Learned the rule (accuracy 78%) but engages moderately (14%, below the task's strong-participation bar of 50%); partial learner."
AppetitveTaskReal,m100,4,27.869,49.18,100.0,26.08,34.832,78.148,2.592,,,2,False,False,False,False,False,True,64,False,50.0,partial_learner,"Learned the rule (accuracy 78%) but engages moderately (35%, below the task's strong-participation bar of 50%); partial learner."
AppetitveTaskReal,m101,12,29.508,32.787,90.0,13.133,19.18,55.926,1.497,,,5,False,False,False,False,True,False,35,False,50.0,non_learner,Low accuracy when engaged (56%) and low engagement (19%) with no clear improvement; non-learner.
AppetitveTaskReal,m102,11,50.82,57.377,100.0,38.251,49.18,77.893,5.246,9,9,1,False,False,False,False,False,True,90,False,50.0,partial_learner,"Learned the rule (accuracy 78%) but engages moderately (49%, below the task's strong-participation bar of 50%); partial learner."
AppetitveTaskReal,m103,12,36.066,44.262,90.476,18.579,24.59,71.605,1.546,,,2,False,False,False,False,False,False,45,False,50.0,partial_learner,"Learned the rule (accuracy 72%) but engages moderately (25%, below the task's strong-participation bar of 50%); partial learner."
AppetitveTaskReal,m104,12,28.333,35.0,91.667,20.556,31.111,64.206,1.878,,,2,False,False,False,False,False,False,56,False,50.0,partial_learner,Moderate competence (64%) and low engagement (31%); partial learner.
Generalization,m90,4,77.049,85.246,95.349,71.412,80.173,89.362,4.199,2,2,1,True,True,True,False,False,True,146,False,63.766,strong_learner,"High engagement (80%, at/above the task's strong-participation bar of 64%) and high accuracy-when-engaged (89%); strong learner."
Generalization,m92,4,70.492,75.41,94.737,51.53,55.364,92.368,2.472,3,3,1,True,True,True,False,False,False,101,False,63.766,partial_learner,"Learned the rule (accuracy 92%) but engages moderately (55%, below the task's strong-participation bar of 64%); partial learner."
Generalization,m93,4,77.049,85.246,100.0,60.31,63.597,95.346,2.41,3,3,1,True,True,True,False,False,False,116,False,63.766,partial_learner,"Learned the rule (accuracy 95%) but engages moderately (64%, below the task's strong-participation bar of 64%); partial learner."
Generalization,m97,4,62.295,70.492,90.244,53.342,59.936,88.097,1.989,2,2,1,False,False,True,False,False,False,109,False,63.766,partial_learner,"Learned the rule (accuracy 88%) but engages moderately (60%, below the task's strong-participation bar of 64%); partial learner."
Generalization,m98,4,67.213,72.131,100.0,52.705,56.53,93.561,2.524,1,1,1,False,True,True,False,False,False,103,False,63.766,partial_learner,"Learned the rule (accuracy 94%) but engages moderately (57%, below the task's strong-participation bar of 64%); partial learner."
Generalization,m100,4,80.328,85.246,92.308,68.042,79.089,84.81,3.432,1,1,1,True,True,True,False,False,True,144,False,63.766,strong_learner,"High engagement (79%, at/above the task's strong-participation bar of 64%) and high accuracy-when-engaged (85%); strong learner."
Generalization,m101,4,60.656,67.213,91.176,49.936,56.539,87.854,3.557,3,3,1,True,True,True,False,False,True,103,False,63.766,partial_learner,"Learned the rule (accuracy 88%) but engages moderately (57%, below the task's strong-participation bar of 64%); partial learner."
Generalization,m102,4,91.803,96.721,100.0,88.434,92.286,95.853,9.54,1,1,1,True,True,True,False,False,True,168,False,63.766,strong_learner,"High engagement (92%, at/above the task's strong-participation bar of 64%) and high accuracy-when-engaged (96%); strong learner."
Generalization,m103,4,68.852,80.328,95.0,60.109,69.399,86.772,2.585,1,1,1,True,True,True,False,False,False,127,False,63.766,strong_learner,"High engagement (69%, at/above the task's strong-participation bar of 64%) and high accuracy-when-engaged (87%); strong learner."
Generalization,m104,4,65.574,73.77,95.122,57.377,63.934,90.106,2.77,1,1,1,True,True,True,False,False,False,117,False,63.766,strong_learner,"High engagement (64%, at/above the task's strong-participation bar of 64%) and high accuracy-when-engaged (90%); strong learner."
