task,mouse,n_rewards,n_offcue_pokes,licks_after_reward,licks_after_offcue
AppetitveTaskReal,m90,199,1292,8.608040201005025,4.340557275541796
AppetitveTaskReal,m92,66,681,9.393939393939394,3.3627019089574155
AppetitveTaskReal,m93,137,819,7.839416058394161,4.652014652014652
AppetitveTaskReal,m97,199,1285,8.150753768844222,4.329961089494163
AppetitveTaskReal,m98,51,510,9.098039215686274,2.9647058823529413
AppetitveTaskReal,m100,55,638,6.4363636363636365,2.847962382445141
AppetitveTaskReal,m101,58,810,5.310344827586207,1.497530864197531
AppetitveTaskReal,m102,229,2478,8.244541484716157,3.073042776432607
AppetitveTaskReal,m103,138,1167,8.27536231884058,3.1662382176520993
AppetitveTaskReal,m104,107,1260,6.626168224299065,2.538095238095238
Generalization,m90,151,889,9.350993377483444,3.6006749156355458
Generalization,m92,100,503,7.25,4.89662027833002
Generalization,m93,134,543,8.037313432835822,3.707182320441989
Generalization,m97,122,552,7.934426229508197,4.052536231884058
Generalization,m98,127,677,7.299212598425197,3.7474150664697192
Generalization,m100,160,838,8.1875,3.4367541766109784
Generalization,m101,103,746,7.398058252427185,3.6206434316353886
Generalization,m102,197,1965,6.538071065989848,1.8961832061068702
Generalization,m103,148,752,9.452702702702704,3.671542553191489
Generalization,m104,144,700,7.715277777777778,3.184285714285714
