task,mouse,n_sessions,mean_n_bouts_per_session,sem_n_bouts,mean_bout_length,sem_bout_length,longest_bout
AppetitveTaskReal,m90,13,0.385,0.180,5.250,0.629,7
AppetitveTaskReal,m92,11,0.000,0.000,,0.000,0
AppetitveTaskReal,m93,12,0.167,0.112,5.000,1.000,6
AppetitveTaskReal,m97,8,1.500,0.378,5.417,0.779,12
AppetitveTaskReal,m98,12,0.000,0.000,,0.000,0
AppetitveTaskReal,m100,4,1.000,0.408,4.000,0.000,4
AppetitveTaskReal,m101,12,0.083,0.083,4.000,0.000,4
AppetitveTaskReal,m102,11,1.636,0.388,5.269,0.332,8
AppetitveTaskReal,m103,12,0.250,0.131,4.333,0.333,5
AppetitveTaskReal,m104,12,0.333,0.188,4.500,0.289,5
Generalization,m90,4,3.750,0.629,7.925,1.527,15
Generalization,m92,4,2.250,1.315,6.650,1.850,15
Generalization,m93,4,3.000,1.472,5.967,1.033,11
Generalization,m97,4,2.750,0.479,7.000,0.204,13
Generalization,m98,4,2.250,0.629,6.062,1.053,13
Generalization,m100,4,5.500,0.866,7.429,0.753,17
Generalization,m101,4,2.500,0.957,5.417,0.583,9
Generalization,m102,4,4.000,0.816,14.417,5.292,34
Generalization,m103,4,3.750,0.479,7.200,1.379,17
Generalization,m104,4,4.250,0.479,5.750,0.435,12
