task,mouse,n_sessions,mean_n_bouts_per_session,sem_n_bouts,mean_bout_length,sem_bout_length,longest_bout
Generalization,m90,4,3.750,0.629,7.925,1.527,15
Generalization,m92,4,2.250,1.315,6.650,1.850,15
Generalization,m93,4,3.000,1.472,5.967,1.033,11
Generalization,m97,4,2.750,0.479,7.000,0.204,13
Generalization,m98,4,2.250,0.629,6.062,1.053,13
Generalization,m100,4,5.500,0.866,7.429,0.753,17
Generalization,m101,4,2.500,0.957,5.417,0.583,9
Generalization,m102,4,4.000,0.816,14.417,5.292,34
Generalization,m103,4,3.750,0.479,7.200,1.379,17
Generalization,m104,4,4.250,0.479,5.750,0.435,12
