task,mouse,session,n_trials,n_engaged,n_bouts,mean_bout_len,max_bout_len,engaged_rate
Generalization,m90,1,61,27,2,4.500,5,44.3
Generalization,m90,2,60,43,5,6.200,11,71.7
Generalization,m90,3,61,51,4,10.500,15,83.6
Generalization,m90,4,61,52,4,10.500,15,85.2
Generalization,m92,1,61,7,0,,0,11.5
Generalization,m92,2,60,19,0,,0,31.7
Generalization,m92,3,61,36,5,4.800,7,59.0
Generalization,m92,4,61,46,4,8.500,15,75.4
Generalization,m93,1,61,27,1,4.000,4,44.3
Generalization,m93,2,60,23,0,,0,38.3
Generalization,m93,3,61,41,5,6.400,9,67.2
Generalization,m93,4,61,52,6,7.500,11,85.2
Generalization,m97,1,61,30,2,7.000,8,49.2
Generalization,m97,2,60,41,3,7.000,10,68.3
Generalization,m97,3,61,25,2,6.500,9,41.0
Generalization,m97,4,61,43,4,7.500,13,70.5
Generalization,m98,1,61,35,1,8.000,8,57.4
Generalization,m98,2,61,32,2,4.000,4,52.5
Generalization,m98,3,61,44,4,7.750,13,72.1
Generalization,m98,4,60,27,2,4.500,5,45.0
Generalization,m100,1,61,42,3,9.000,14,68.9
Generalization,m100,2,60,44,6,6.667,12,73.3
Generalization,m100,3,61,52,6,8.333,17,85.2
Generalization,m100,4,61,48,7,5.714,11,78.7
Generalization,m101,1,61,14,0,,0,23.0
Generalization,m101,2,60,28,2,4.500,5,46.7
Generalization,m101,3,61,41,4,6.500,9,67.2
Generalization,m101,4,61,34,4,5.250,8,55.7
Generalization,m102,1,61,42,4,5.750,7,68.9
Generalization,m102,2,60,53,6,8.667,14,88.3
Generalization,m102,3,61,56,4,13.750,17,91.8
Generalization,m102,4,61,59,2,29.500,34,96.7
Generalization,m103,1,61,40,3,5.667,6,65.6
Generalization,m103,2,61,49,3,11.333,17,80.3
Generalization,m103,3,61,42,5,5.800,8,68.9
Generalization,m103,4,61,36,4,6.000,7,59.0
Generalization,m104,1,61,41,5,5.400,6,67.2
Generalization,m104,2,61,45,4,7.000,12,73.8
Generalization,m104,3,61,30,3,5.000,6,49.2
Generalization,m104,4,61,42,5,5.600,9,68.9
