mouse,task,session_number,n_trials,date,valid
m90,Appetitive,1,60,2025-11-09,yes
m90,Appetitive,2,60,2025-11-11,yes
m90,Appetitive,3,60,2025-11-12,yes
m90,Appetitive,4,60,2025-11-13,yes
m90,Appetitive,5,60,2025-11-16,yes
m90,Appetitive,6,60,2025-11-18,yes
m90,Appetitive,7,60,2025-11-19,yes
m90,Appetitive,8,60,2025-11-23,yes
m90,Appetitive,9,61,2025-11-26,yes
m90,Appetitive,10,60,2025-12-02,yes
m90,Appetitive,11,60,2025-12-07,yes
m90,Appetitive,12,60,2025-12-09,yes
m90,Appetitive,13,60,2025-12-16,yes
m90,Generalization,1,61,2025-12-28,yes
m90,Generalization,2,60,2025-12-29,yes
m90,Generalization,3,61,2026-01-01,yes
m90,Generalization,4,61,2026-01-04,yes
m90,Extinction,1,61,2026-01-11,yes
m90,Extinction,2,61,2026-01-12,yes
m92,Appetitive,1,60,2025-11-09,yes
m92,Appetitive,2,60,2025-11-11,yes
m92,Appetitive,3,60,2025-11-12,yes
m92,Appetitive,4,60,2025-11-13,yes
m92,Appetitive,5,60,2025-11-16,yes
m92,Appetitive,6,60,2025-11-18,yes
m92,Appetitive,7,62,2025-11-19,yes
m92,Appetitive,8,60,2025-11-24,yes
m92,Appetitive,9,46,2025-11-26,no
m92,Appetitive,10,60,2025-12-02,yes
m92,Appetitive,11,60,2025-12-07,yes
m92,Appetitive,12,60,2025-12-09,yes
m92,Appetitive,13,60,2025-12-17,yes
m92,Generalization,1,61,2025-12-28,yes
m92,Generalization,2,60,2025-12-29,yes
m92,Generalization,3,61,2026-01-01,yes
m92,Generalization,4,61,2026-01-04,yes
m92,Extinction,1,61,2026-01-11,yes
m92,Extinction,2,61,2026-01-12,yes
m93,Appetitive,1,59,2025-11-10,yes
m93,Appetitive,2,60,2025-11-11,yes
m93,Appetitive,3,60,2025-11-12,yes
m93,Appetitive,4,60,2025-11-13,yes
m93,Appetitive,5,60,2025-11-17,yes
m93,Appetitive,6,60,2025-11-18,yes
m93,Appetitive,7,65,2025-11-19,yes
m93,Appetitive,8,60,2025-11-24,yes
m93,Appetitive,9,63,2025-12-01,yes
m93,Appetitive,10,60,2025-12-03,yes
m93,Appetitive,11,60,2025-12-07,yes
m93,Appetitive,12,60,2025-12-10,yes
m93,Generalization,1,61,2025-12-28,yes
m93,Generalization,2,60,2025-12-30,yes
m93,Generalization,3,61,2026-01-01,yes
m93,Generalization,4,61,2026-01-04,yes
m93,Extinction,1,61,2026-01-11,yes
m93,Extinction,2,61,2026-01-12,yes
m97,Appetitive,1,60,2025-11-10,yes
m97,Appetitive,2,60,2025-11-11,yes
m97,Appetitive,3,60,2025-11-12,yes
m97,Appetitive,4,60,2025-11-13,yes
m97,Appetitive,5,60,2025-11-17,yes
m97,Appetitive,6,60,2025-11-18,yes
m97,Appetitive,7,60,2025-11-20,yes
m97,Appetitive,8,60,2025-11-24,yes
