abs_trial_centre,session,within_session_centre,block,oncue_poke_mean,oncue_poke_std,oncue_poke_n,oncue_lick_mean,oncue_lick_std,oncue_lick_n
6.0,1,6.0,1,68.18,22.37,10,63.64,24.24,10
16.5,1,16.5,2,62.00,20.44,10,57.00,18.89,10
26.5,1,26.5,3,48.00,26.16,10,36.00,20.66,10
36.5,1,36.5,4,39.00,23.78,10,33.00,18.89,10
46.5,1,46.5,5,33.00,16.36,10,24.00,17.13,10
56.5,1,56.5,6,24.00,18.38,10,13.00,10.59,10
67.0,2,6.0,1,53.54,25.08,9,51.52,20.83,9
77.5,2,16.5,2,55.56,24.55,9,41.11,25.22,9
87.5,2,26.5,3,50.00,29.15,9,38.89,25.71,9
97.5,2,36.5,4,43.33,22.91,9,31.11,20.88,9
107.5,2,46.5,5,28.89,21.47,9,21.11,16.16,9
117.5,2,56.5,6,32.22,16.41,9,18.89,17.64,9
