task,mouse,session,n_trials,percent_no_response,percent_cue_poke_no_lick,percent_cue_poke_lick_no_reward,percent_complete_sequence_rewarded,percent_offcue_poke_only,percent_mixed_offcue_and_oncue,engagement_rate,lick_given_oncue_poke_rate,reward_given_oncue_poke_rate,reward_given_poke_and_lick_rate,median_cue_to_poke_latency,median_poke_to_lick_latency,median_lick_to_reward_latency
Generalization,m90,1,61,22.951,3.279,6.557,34.426,32.787,34.426,44.262,92.593,77.778,84.0,2.807,0.189,0.024
Generalization,m90,2,60,5.0,0.0,3.333,68.333,23.333,70.0,71.667,100.0,95.349,95.349,2.04,0.168,0.024
Generalization,m90,3,61,6.557,1.639,13.115,68.852,9.836,73.77,83.607,98.039,82.353,84.0,1.5,0.15,0.022
Generalization,m90,4,61,3.279,0.0,8.197,77.049,11.475,78.689,85.246,100.0,90.385,90.385,1.602,0.129,0.025
Generalization,m92,1,61,37.705,0.0,1.639,9.836,50.82,8.197,11.475,100.0,85.714,85.714,4.415,0.425,0.025
Generalization,m92,2,60,20.0,0.0,1.667,30.0,48.333,30.0,31.667,100.0,94.737,94.737,3.965,0.243,0.025
Generalization,m92,3,61,14.754,0.0,6.557,52.459,26.23,52.459,59.016,100.0,88.889,88.889,4.024,0.262,0.023
Generalization,m92,4,61,11.475,0.0,4.918,70.492,13.115,63.934,75.41,100.0,93.478,93.478,2.668,0.232,0.024
Generalization,m93,1,61,19.672,0.0,4.918,39.344,36.066,31.148,44.262,100.0,88.889,88.889,3.766,0.19,0.024
Generalization,m93,2,60,15.0,0.0,1.667,36.667,46.667,30.0,38.333,100.0,95.652,95.652,4.346,0.163,0.025
Generalization,m93,3,61,4.918,0.0,0.0,67.213,27.869,60.656,67.213,100.0,100.0,100.0,3.646,0.174,0.027
Generalization,m93,4,61,1.639,0.0,8.197,77.049,13.115,70.492,85.246,100.0,90.385,90.385,2.636,0.136,0.026
Generalization,m97,1,61,6.557,1.639,6.557,40.984,44.262,42.623,49.18,96.667,83.333,86.207,2.452,0.202,0.025
Generalization,m97,2,60,5.0,0.0,6.667,61.667,26.667,63.333,68.333,100.0,90.244,90.244,3.057,0.191,0.025
Generalization,m97,3,61,49.18,1.639,3.279,36.066,9.836,26.23,40.984,96.0,88.0,91.667,1.972,0.261,0.028
Generalization,m97,4,61,13.115,0.0,9.836,60.656,16.393,40.984,70.492,100.0,86.047,86.047,1.205,0.205,0.023
Generalization,m98,1,61,9.836,0.0,6.557,50.82,32.787,49.18,57.377,100.0,88.571,88.571,3.878,0.198,0.026
Generalization,m98,2,61,21.311,4.918,1.639,45.902,26.23,42.623,52.459,90.625,87.5,96.552,3.118,0.232,0.024
Generalization,m98,3,61,9.836,0.0,4.918,67.213,18.033,65.574,72.131,100.0,93.182,93.182,2.31,0.159,0.024
Generalization,m98,4,60,26.667,0.0,0.0,45.0,28.333,28.333,45.0,100.0,100.0,100.0,0.559,0.162,0.026
Generalization,m100,1,61,9.836,0.0,9.836,59.016,21.311,65.574,68.852,100.0,85.714,85.714,2.262,0.189,0.025
Generalization,m100,2,60,10.0,18.333,3.333,51.667,16.667,68.333,73.333,75.0,70.455,93.939,2.408,0.136,0.025
Generalization,m100,3,61,4.918,0.0,6.557,78.689,9.836,75.41,85.246,100.0,92.308,92.308,1.755,0.144,0.024
Generalization,m100,4,61,6.557,0.0,6.557,72.131,14.754,60.656,78.689,100.0,91.667,91.667,1.774,0.183,0.024
Generalization,m101,1,61,44.262,0.0,3.279,19.672,32.787,21.311,22.951,100.0,85.714,85.714,3.118,0.296,0.029
Generalization,m101,2,60,18.333,0.0,8.333,38.333,35.0,41.667,46.667,100.0,82.143,82.143,2.583,0.323,0.025
Generalization,m101,3,61,16.393,0.0,6.557,60.656,16.393,65.574,67.213,100.0,90.244,90.244,1.009,0.224,0.025
Generalization,m101,4,61,19.672,0.0,4.918,50.82,24.59,45.902,55.738,100.0,91.176,91.176,1.714,0.174,0.025
Generalization,m102,1,61,14.754,0.0,9.836,59.016,16.393,63.934,68.852,100.0,85.714,85.714,2.402,0.154,0.024
Generalization,m102,2,60,6.667,0.0,5.0,83.333,5.0,88.333,88.333,100.0,94.34,94.34,1.429,0.104,0.025
Generalization,m102,3,61,3.279,0.0,0.0,91.803,4.918,88.525,91.803,100.0,100.0,100.0,0.564,0.153,0.024
Generalization,m102,4,61,3.279,0.0,6.557,90.164,0.0,78.689,96.721,100.0,93.22,93.22,1.502,0.152,0.026
Generalization,m103,1,61,11.475,0.0,3.279,62.295,22.951,62.295,65.574,100.0,95.0,95.0,1.627,0.143,0.024
Generalization,m103,2,61,4.918,0.0,11.475,68.852,14.754,73.77,80.328,100.0,85.714,85.714,2.615,0.139,0.024
Generalization,m103,3,61,11.475,1.639,8.197,59.016,19.672,40.984,68.852,97.619,85.714,87.805,3.339,0.153,0.024
Generalization,m103,4,61,14.754,1.639,4.918,52.459,26.23,45.902,59.016,97.222,88.889,91.429,3.831,0.137,0.025
Generalization,m104,1,61,14.754,0.0,3.279,63.934,18.033,60.656,67.213,100.0,95.122,95.122,1.905,0.179,0.024
Generalization,m104,2,61,3.279,1.639,6.557,65.574,22.951,67.213,73.77,97.778,88.889,90.909,1.57,0.193,0.025
Generalization,m104,3,61,22.951,1.639,1.639,45.902,27.869,34.426,49.18,96.667,93.333,96.552,2.337,0.237,0.025
Generalization,m104,4,61,4.918,0.0,8.197,60.656,26.23,52.459,68.852,100.0,88.095,88.095,2.365,0.146,0.026
