task,mouse,subject,session,training_day,trial_index,cue_on_time,cue_duration,n_oncue_pokes,n_offcue_pokes,n_offcue_licks,first_oncue_poke_time,first_offcue_poke_time,first_lick_after_oncue_poke_time,reward_time,action_sequence_category,engaged,licked_after_poke,rewarded,cue_to_first_oncue_poke_latency,poke_to_first_lick_latency,lick_to_reward_latency,previous_trial_category,previous_trial_rewarded,previous_trial_engaged
Generalization,m90,m90_GenLight_400,1,1,1,1766908218.01,8.092,0,2,8,NaN,8.677,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,,,
Generalization,m90,m90_GenLight_400,1,1,2,1766908266.099,8.046,0,0,0,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
Generalization,m90,m90_GenLight_400,1,1,3,1766908302.238,8.086,0,4,14,NaN,16.003,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,no_response,False,False
Generalization,m90,m90_GenLight_400,1,1,4,1766908344.347,8.122,0,3,8,NaN,9.474,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
Generalization,m90,m90_GenLight_400,1,1,5,1766908387.053,8.07,0,7,16,NaN,12.928,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
Generalization,m90,m90_GenLight_400,1,1,6,1766908436.2,5.1,1,2,27,4.887,7.743,5.082,5.106,complete_sequence_rewarded,True,True,True,4.887,0.195,0.024,offcue_poke_only,False,False
Generalization,m90,m90_GenLight_400,1,1,7,1766908480.648,8.064,0,15,56,NaN,20.374,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,complete_sequence_rewarded,True,True
Generalization,m90,m90_GenLight_400,1,1,8,1766908592.437,2.519,1,7,63,2.327,25.697,2.495,2.524,complete_sequence_rewarded,True,True,True,2.327,0.168,0.029,offcue_poke_only,False,False
Generalization,m90,m90_GenLight_400,1,1,9,1766908687.073,0.938,1,2,21,0.745,4.325,0.92,0.943,complete_sequence_rewarded,True,True,True,0.745,0.175,0.023,complete_sequence_rewarded,True,True
Generalization,m90,m90_GenLight_400,1,1,10,1766908720.806,8.085,0,3,16,NaN,25.127,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,complete_sequence_rewarded,True,True
Generalization,m90,m90_GenLight_400,1,1,11,1766908764.004,2.935,1,3,27,2.652,6.473,2.915,2.94,complete_sequence_rewarded,True,True,True,2.652,0.263,0.025,offcue_poke_only,False,False
Generalization,m90,m90_GenLight_400,1,1,12,1766908803.232,1.613,1,6,37,1.419,4.602,1.588,1.618,complete_sequence_rewarded,True,True,True,1.419,0.169,0.03,complete_sequence_rewarded,True,True
Generalization,m90,m90_GenLight_400,1,1,13,1766908865.374,2.987,1,4,31,2.807,4.762,2.961,2.992,complete_sequence_rewarded,True,True,True,2.807,0.153,0.031,complete_sequence_rewarded,True,True
Generalization,m90,m90_GenLight_400,1,1,14,1766908919.016,1.507,1,2,25,1.296,4.206,1.485,1.514,complete_sequence_rewarded,True,True,True,1.296,0.189,0.029,complete_sequence_rewarded,True,True
Generalization,m90,m90_GenLight_400,1,1,15,1766908953.102,1.8,1,2,17,1.646,2.986,1.78,1.804,complete_sequence_rewarded,True,True,True,1.646,0.134,0.024,complete_sequence_rewarded,True,True
Generalization,m90,m90_GenLight_400,1,1,16,1766908986.56,8.056,0,0,0,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,complete_sequence_rewarded,True,True
Generalization,m90,m90_GenLight_400,1,1,17,1766909025.69,8.103,0,5,24,NaN,16.3,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,no_response,False,False
Generalization,m90,m90_GenLight_400,1,1,18,1766909085.039,0.858,1,9,33,0.662,7.095,0.841,0.863,complete_sequence_rewarded,True,True,True,0.662,0.179,0.022,offcue_poke_only,False,False
Generalization,m90,m90_GenLight_400,1,1,19,1766909159.514,1.41,1,9,45,1.286,8.006,1.394,1.414,complete_sequence_rewarded,True,True,True,1.286,0.108,0.021,complete_sequence_rewarded,True,True
Generalization,m90,m90_GenLight_400,1,1,20,1766909224.78,8.042,1,1,4,7.113,22.132,22.318,NaN,cue_poke_lick_no_reward,True,True,False,7.113,15.206,NaN,complete_sequence_rewarded,True,True
Generalization,m90,m90_GenLight_400,1,1,21,1766909272.579,8.042,1,2,16,7.925,15.256,8.182,NaN,cue_poke_lick_no_reward,True,True,False,7.925,0.257,NaN,cue_poke_lick_no_reward,False,True
Generalization,m90,m90_GenLight_400,1,1,22,1766909315.365,8.055,0,1,0,NaN,27.789,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,cue_poke_lick_no_reward,False,True
Generalization,m90,m90_GenLight_400,1,1,23,1766909353.547,3.523,1,3,11,3.206,15.166,3.499,3.528,complete_sequence_rewarded,True,True,True,3.206,0.294,0.029,offcue_poke_only,False,False
Generalization,m90,m90_GenLight_400,1,1,24,1766909397.153,8.075,0,1,2,NaN,16.257,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,complete_sequence_rewarded,True,True
Generalization,m90,m90_GenLight_400,1,1,25,1766909434.233,4.186,1,2,17,4.036,15.144,4.171,4.191,complete_sequence_rewarded,True,True,True,4.036,0.136,0.02,offcue_poke_only,False,False
Generalization,m90,m90_GenLight_400,1,1,26,1766909485.754,8.057,0,2,2,NaN,12.342,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,complete_sequence_rewarded,True,True
Generalization,m90,m90_GenLight_400,1,1,27,1766909531.652,4.313,1,0,9,4.157,NaN,4.295,4.318,complete_sequence_rewarded,True,True,True,4.157,0.138,0.022,offcue_poke_only,False,False
Generalization,m90,m90_GenLight_400,1,1,28,1766909566.956,8.087,0,1,4,NaN,29.183,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,complete_sequence_rewarded,True,True
Generalization,m90,m90_GenLight_400,1,1,29,1766909606.905,1.837,1,2,13,1.45,10.806,1.814,NaN,cue_poke_lick_no_reward,True,True,False,1.45,0.363,NaN,offcue_poke_only,False,False
Generalization,m90,m90_GenLight_400,1,1,30,1766909648.774,8.095,0,0,0,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,cue_poke_lick_no_reward,False,True
Generalization,m90,m90_GenLight_400,1,1,31,1766909684.974,4.998,1,2,1,4.792,9.802,4.982,5.004,complete_sequence_rewarded,True,True,True,4.792,0.189,0.022,no_response,False,False
Generalization,m90,m90_GenLight_400,1,1,32,1766909737.37,8.101,0,1,0,NaN,12.201,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,complete_sequence_rewarded,True,True
Generalization,m90,m90_GenLight_400,1,1,33,1766909779.867,8.076,0,0,0,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
Generalization,m90,m90_GenLight_400,1,1,34,1766909818.054,8.062,0,0,0,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,no_response,False,False
Generalization,m90,m90_GenLight_400,1,1,35,1766909861.216,4.671,1,2,13,4.333,32.924,4.652,4.676,complete_sequence_rewarded,True,True,True,4.333,0.319,0.024,no_response,False,False
Generalization,m90,m90_GenLight_400,1,1,36,1766909915.698,6.729,1,1,13,6.512,20.6,6.713,6.733,complete_sequence_rewarded,True,True,True,6.512,0.201,0.02,complete_sequence_rewarded,True,True
Generalization,m90,m90_GenLight_400,1,1,37,1766909962.313,8.074,0,1,0,NaN,8.457,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,complete_sequence_rewarded,True,True
Generalization,m90,m90_GenLight_400,1,1,38,1766910005.347,8.054,0,0,0,NaN,NaN,NaN,NaN,no_response,False,False,False,NaN,NaN,NaN,offcue_poke_only,False,False
Generalization,m90,m90_GenLight_400,1,1,39,1766910046.497,8.095,0,2,14,NaN,14.973,NaN,NaN,offcue_poke_only,False,False,False,NaN,NaN,NaN,no_response,False,False
