task,mouse,metric,early,late,delta
Generalization,m90,engagement,44.262,85.246,40.984
Generalization,m90,competence,77.778,90.385,12.607
Generalization,m90,hit_rate,34.426,77.049,42.623
Generalization,m90,bout_coverage,14.754,68.852,54.098
Generalization,m90,latency,2.807,1.602,-1.206
Generalization,m90,offcue,2.049,3.328,1.279
Generalization,m90,win_stay,-10.623,0.491,11.114
Generalization,m92,engagement,11.475,75.410,63.934
Generalization,m92,competence,85.714,93.478,7.764
Generalization,m92,hit_rate,9.836,70.492,60.656
Generalization,m92,bout_coverage,0.000,55.738,55.738
Generalization,m92,latency,4.415,2.668,-1.748
Generalization,m92,offcue,0.869,2.656,1.787
Generalization,m92,win_stay,7.407,6.156,-1.251
Generalization,m93,engagement,44.262,85.246,40.984
Generalization,m93,competence,88.889,90.385,1.496
Generalization,m93,hit_rate,39.344,77.049,37.705
Generalization,m93,bout_coverage,6.557,73.770,67.213
Generalization,m93,latency,3.766,2.636,-1.129
Generalization,m93,offcue,1.705,2.623,0.918
Generalization,m93,win_stay,1.389,-9.329,-10.718
Generalization,m97,engagement,49.180,70.492,21.311
Generalization,m97,competence,83.333,86.047,2.713
Generalization,m97,hit_rate,40.984,62.295,21.311
Generalization,m97,bout_coverage,22.951,49.180,26.230
Generalization,m97,latency,2.452,1.205,-1.247
Generalization,m97,offcue,3.148,1.230,-1.918
Generalization,m97,win_stay,-3.429,-1.675,1.754
Generalization,m98,engagement,57.377,45.000,-12.377
Generalization,m98,competence,88.571,100.000,11.429
Generalization,m98,hit_rate,50.820,45.000,-5.820
Generalization,m98,bout_coverage,13.115,15.000,1.885
Generalization,m98,latency,3.878,0.559,-3.319
Generalization,m98,offcue,3.557,1.900,-1.657
Generalization,m98,win_stay,2.892,18.056,15.163
Generalization,m100,engagement,68.852,78.689,9.836
Generalization,m100,competence,85.714,91.667,5.952
Generalization,m100,hit_rate,59.016,72.131,13.115
Generalization,m100,bout_coverage,44.262,65.574,21.311
Generalization,m100,latency,2.262,1.774,-0.489
Generalization,m100,offcue,3.508,1.984,-1.525
Generalization,m100,win_stay,19.444,-3.977,-23.422
Generalization,m101,engagement,22.951,55.738,32.787
Generalization,m101,competence,85.714,91.176,5.462
Generalization,m101,hit_rate,19.672,50.820,31.148
Generalization,m101,bout_coverage,0.000,34.426,34.426
Generalization,m101,latency,3.118,1.714,-1.404
Generalization,m101,offcue,1.623,3.279,1.656
Generalization,m101,win_stay,22.917,16.240,-6.676
Generalization,m102,engagement,68.852,96.721,27.869
Generalization,m102,competence,85.714,93.220,7.506
Generalization,m102,hit_rate,59.016,90.164,31.148
Generalization,m102,bout_coverage,37.705,96.721,59.016
Generalization,m102,latency,2.402,1.502,-0.901
Generalization,m102,offcue,3.803,2.180,-1.623
Generalization,m102,win_stay,-4.167,-3.636,0.530
Generalization,m103,engagement,65.574,59.016,-6.557
Generalization,m103,competence,95.000,88.889,-6.111
Generalization,m103,hit_rate,62.295,52.459,-9.836
Generalization,m103,bout_coverage,27.869,39.344,11.475
Generalization,m103,latency,1.627,3.831,2.203
Generalization,m103,offcue,4.574,2.279,-2.295
Generalization,m103,win_stay,2.153,18.750,16.597
Generalization,m104,engagement,67.213,68.852,1.639
Generalization,m104,competence,95.122,88.095,-7.027
Generalization,m104,hit_rate,63.934,60.656,-3.279
Generalization,m104,bout_coverage,44.262,45.902,1.639
Generalization,m104,latency,1.905,2.365,0.460
Generalization,m104,offcue,3.164,3.246,0.082
Generalization,m104,win_stay,7.326,5.053,-2.273
