task,mouse,session,engagement,competence,hit_rate,bout_coverage,latency,offcue,win_stay
Generalization,m90,1,44.262,77.778,34.426,14.754,2.807,2.049,-10.623
Generalization,m90,2,71.667,95.349,68.333,51.667,2.040,4.450,8.943
Generalization,m90,3,83.607,82.353,68.852,68.852,1.500,4.820,7.937
Generalization,m90,4,85.246,90.385,77.049,68.852,1.602,3.328,0.491
Generalization,m92,1,11.475,85.714,9.836,0.000,4.415,0.869,7.407
Generalization,m92,2,31.667,94.737,30.000,0.000,3.965,2.333,17.615
Generalization,m92,3,59.016,88.889,54.098,39.344,4.024,2.426,11.785
Generalization,m92,4,75.410,93.478,70.492,55.738,2.668,2.656,6.156
Generalization,m93,1,44.262,88.889,39.344,6.557,3.766,1.705,1.389
Generalization,m93,2,38.333,95.652,36.667,0.000,4.346,2.083,3.071
Generalization,m93,3,67.213,100.000,67.213,52.459,3.646,2.525,20.539
Generalization,m93,4,85.246,90.385,77.049,73.770,2.636,2.623,-9.329
Generalization,m97,1,49.180,83.333,40.984,22.951,2.452,3.148,-3.429
Generalization,m97,2,68.333,90.244,61.667,35.000,3.057,3.950,-0.614
Generalization,m97,3,40.984,88.000,36.066,21.311,1.972,0.787,22.967
Generalization,m97,4,70.492,86.047,62.295,49.180,1.205,1.230,-1.675
Generalization,m98,1,57.377,88.571,50.820,13.115,3.878,3.557,2.892
Generalization,m98,2,52.459,87.500,45.902,13.115,3.118,1.770,-6.250
Generalization,m98,3,72.131,93.182,67.213,50.820,2.310,3.902,4.750
Generalization,m98,4,45.000,100.000,45.000,15.000,0.559,1.900,18.056
Generalization,m100,1,68.852,85.714,59.016,44.262,2.262,3.508,19.444
Generalization,m100,2,73.333,70.455,51.667,66.667,2.408,4.000,16.359
Generalization,m100,3,85.246,92.308,80.328,81.967,1.755,4.311,15.028
Generalization,m100,4,78.689,91.667,72.131,65.574,1.774,1.984,-3.977
Generalization,m101,1,22.951,85.714,19.672,0.000,3.118,1.623,22.917
Generalization,m101,2,46.667,82.143,38.333,15.000,2.583,3.950,3.382
Generalization,m101,3,67.213,90.244,60.656,42.623,1.009,3.443,9.401
Generalization,m101,4,55.738,91.176,50.820,34.426,1.714,3.279,16.240
Generalization,m102,1,68.852,85.714,59.016,37.705,2.402,3.803,-4.167
Generalization,m102,2,88.333,94.340,83.333,86.667,1.429,12.883,-0.889
Generalization,m102,3,91.803,100.000,91.803,90.164,0.564,13.557,-8.929
Generalization,m102,4,96.721,93.220,90.164,96.721,1.502,2.180,-3.636
Generalization,m103,1,65.574,95.000,62.295,27.869,1.627,4.574,2.153
Generalization,m103,2,80.328,85.714,68.852,55.738,2.615,3.934,-12.698
Generalization,m103,3,68.852,85.714,59.016,47.541,3.339,1.541,-11.111
Generalization,m103,4,59.016,88.889,52.459,39.344,3.831,2.279,18.750
Generalization,m104,1,67.213,95.122,63.934,44.262,1.905,3.164,7.326
Generalization,m104,2,73.770,88.889,65.574,45.902,1.570,3.803,-2.500
Generalization,m104,3,49.180,93.333,45.902,24.590,2.337,1.262,20.089
Generalization,m104,4,68.852,88.095,60.656,45.902,2.365,3.246,5.053
