task,mouse,n_rewards,n_offcue_pokes,licks_after_reward,licks_after_offcue
Generalization,m90,151,889,9.350993377483444,3.6006749156355458
Generalization,m92,100,503,7.25,4.89662027833002
Generalization,m93,134,543,8.037313432835822,3.707182320441989
Generalization,m97,122,552,7.934426229508197,4.052536231884058
Generalization,m98,127,677,7.299212598425197,3.7474150664697192
Generalization,m100,160,838,8.1875,3.4367541766109784
Generalization,m101,103,746,7.398058252427185,3.6206434316353886
Generalization,m102,197,1965,6.538071065989848,1.8961832061068702
Generalization,m103,148,752,9.452702702702704,3.671542553191489
Generalization,m104,144,700,7.715277777777778,3.184285714285714
