task,mouse,session,n_trials,on_pokes,off_pokes,on_licks,off_licks,mean_oncue_share,poke_oncue_share,lick_oncue_share,on_off_ratio
Generalization,m90,1,61,28,125,23,661,11.234956349766396,18.30065359477124,3.3625730994152048,0.0648854961832061
Generalization,m90,2,60,44,267,42,1628,5.50973128213144,14.14790996784566,2.5149700598802394,0.04538258575197889
Generalization,m90,3,61,51,294,50,1534,9.251319829751694,14.782608695652174,3.1565656565656566,0.05525164113785558
Generalization,m90,4,61,52,203,52,1129,9.394101899841152,20.392156862745097,4.403048264182896,0.07807807807807808
Generalization,m92,1,61,7,53,6,460,2.583083311357485,11.666666666666666,1.2875536480686696,0.025341130604288498
Generalization,m92,2,60,19,140,18,1078,2.6335200686981497,11.949685534591195,1.6423357664233578,0.030377668308702793
Generalization,m92,3,61,37,148,34,1412,4.881978714655885,20.0,2.351313969571231,0.04551282051282051
Generalization,m92,4,61,49,162,46,1235,9.729491835556903,23.222748815165875,3.590944574551132,0.06800286327845383
Generalization,m93,1,61,27,104,24,932,5.1544916086971115,20.610687022900763,2.510460251046025,0.04922779922779923
Generalization,m93,2,60,23,125,21,857,4.331654227703151,15.54054054054054,2.3917995444191344,0.04480651731160896
Generalization,m93,3,61,41,154,42,1120,5.843031592699744,21.025641025641026,3.6144578313253013,0.065149136577708
Generalization,m93,4,61,54,160,53,981,9.872566321583744,25.233644859813083,5.1257253384912955,0.09377738825591586
Generalization,m97,1,61,30,192,29,1199,5.949085310420147,13.513513513513514,2.3615635179153096,0.04241552839683681
Generalization,m97,2,60,41,237,39,1388,5.962277547445018,14.748201438848922,2.7330063069376314,0.04923076923076923
Generalization,m97,3,61,28,48,23,321,14.277475947679683,36.8421052631579,6.686046511627907,0.13821138211382114
Generalization,m97,4,61,43,75,43,687,11.38256736674232,36.440677966101696,5.890410958904109,0.11286089238845144
Generalization,m98,1,61,37,217,34,1522,5.850221438186299,14.566929133858268,2.185089974293059,0.04082806210465785
Generalization,m98,2,61,34,108,29,696,13.114784459318296,23.943661971830984,4.0,0.07835820895522388
Generalization,m98,3,61,44,238,46,1274,7.512649975920726,15.602836879432624,3.484848484848485,0.05952380952380952
Generalization,m98,4,60,29,114,29,836,7.465511053118221,20.27972027972028,3.352601156069364,0.061052631578947365
Generalization,m100,1,61,44,214,46,1228,7.559463604164321,17.05426356589147,3.610675039246468,0.06241331484049931
Generalization,m100,2,60,47,240,34,1133,14.422409561165363,16.37630662020906,2.9134532990574122,0.05899490167516387
Generalization,m100,3,61,53,263,53,1583,7.662407094278354,16.772151898734176,3.23960880195599,0.05742145178764897
Generalization,m100,4,61,49,121,47,911,10.833848600217953,28.823529411764707,4.906054279749478,0.09302325581395349
Generalization,m101,1,61,16,99,13,603,3.2732289175931855,13.91304347826087,2.1103896103896105,0.04131054131054131
Generalization,m101,2,60,38,237,33,1327,6.22416746399873,13.818181818181818,2.426470588235294,0.04539641943734015
Generalization,m101,3,61,46,210,40,1594,5.718162979587975,17.96875,2.4479804161566707,0.04767184035476718
Generalization,m101,4,61,37,200,33,1087,7.947523909451461,15.611814345991561,2.9464285714285716,0.05439005439005439
Generalization,m102,1,61,42,232,38,784,9.668187932803749,15.328467153284672,4.622871046228711,0.07874015748031496
Generalization,m102,2,60,53,773,52,1898,5.361142268849816,6.416464891041162,2.6666666666666665,0.039311119430924746
Generalization,m102,3,61,56,827,56,2239,5.549913911967759,6.342015855039637,2.440087145969499,0.0365296803652968
Generalization,m102,4,61,59,133,58,572,16.388993325604545,30.729166666666668,9.206349206349206,0.16595744680851063
Generalization,m103,1,61,41,279,40,1852,4.376078469366066,12.8125,2.1141649048625792,0.038010323791647115
Generalization,m103,2,61,49,240,49,1287,7.19537986741202,16.955017301038062,3.6676646706586826,0.06417812704649639
Generalization,m103,3,61,42,94,41,685,11.646900429034789,30.88235294117647,5.647382920110193,0.10654685494223363
Generalization,m103,4,61,42,139,66,682,15.37527149485946,23.204419889502763,8.823529411764707,0.1315468940316687
Generalization,m104,1,61,41,193,40,1156,6.927174466851671,17.521367521367523,3.3444816053511706,0.060044477390659746
Generalization,m104,2,61,45,232,42,1288,7.441741962435663,16.24548736462094,3.1578947368421053,0.057236842105263155
Generalization,m104,3,61,30,77,30,498,12.010153244429555,28.037383177570092,5.681818181818182,0.10434782608695652
Generalization,m104,4,61,47,198,49,761,10.387481610024057,19.183673469387756,6.049382716049383,0.10010427528675704
