mouse,engagement_first,accuracy_first,offcue_first,phenotype_first,engagement_last,accuracy_last,offcue_last,phenotype_last,changed
m90,44.3,77.8,2.05,partial_learner,85.2,90.4,3.33,strong_learner,yes
m92,11.5,85.7,0.87,competent_low_participation,75.4,93.5,2.66,strong_learner,yes
m93,44.3,88.9,1.70,competent_low_participation,85.2,90.4,2.62,strong_learner,yes
m97,49.2,83.3,3.15,competent_low_participation,70.5,86.0,1.23,partial_learner,yes
m98,57.4,88.6,3.56,partial_learner,45.0,100.0,1.90,competent_low_participation,yes
m100,68.9,85.7,3.51,partial_learner,78.7,91.7,1.98,strong_learner,yes
m101,23.0,85.7,1.62,competent_low_participation,55.7,91.2,3.28,partial_learner,yes
m102,68.9,85.7,3.80,partial_learner,96.7,93.2,2.18,strong_learner,yes
m103,65.6,95.0,4.57,partial_learner,59.0,88.9,2.28,partial_learner,no
m104,67.2,95.1,3.16,partial_learner,68.9,88.1,3.25,partial_learner,no
