task,mouse,n_sessions,n_trials,n_punished,pct_punished_pooled,mean_pct_punished,sem_pct_punished,total_false_alarms
Generalization,m90,4,243,197,81.06995884773663,81.12021857923497,5.757252675920313,817
Generalization,m92,4,243,168,69.1358024691358,69.15983606557377,3.5071328694388804,444
Generalization,m93,4,243,186,76.54320987654322,76.53688524590164,5.078702348931856,511
Generalization,m97,4,243,159,65.4320987654321,65.52595628415301,12.616416072223135,518
Generalization,m98,4,243,164,67.48971193415638,67.42486338797815,6.416988919848303,611
Generalization,m100,4,243,196,80.65843621399176,80.65573770491802,2.7135975995486654,793
Generalization,m101,4,243,165,67.90123456790124,67.93032786885246,5.9634903079680965,677
Generalization,m102,4,243,193,79.42386831275721,79.46721311475409,6.982585099366251,1805
Generalization,m103,4,244,176,72.1311475409836,72.1311475409836,7.239148251088402,678
Generalization,m104,4,244,181,74.18032786885246,74.18032786885246,5.693624585840083,624
