task,mouse,session,n_trials,n_punished,pct_punished,total_false_alarms,false_alarms_per_trial
Generalization,m90,1,61,40,65.57377049180327,116,1.901639344262295
Generalization,m90,2,60,56,93.33333333333333,249,4.15
Generalization,m90,3,61,50,81.9672131147541,278,4.557377049180328
Generalization,m90,4,61,51,83.60655737704919,174,2.8524590163934427
Generalization,m92,1,61,36,59.01639344262295,51,0.8360655737704918
Generalization,m92,2,60,45,75.0,132,2.2
Generalization,m92,3,61,44,72.1311475409836,122,2.0
Generalization,m92,4,61,43,70.49180327868852,139,2.278688524590164
Generalization,m93,1,61,39,63.9344262295082,99,1.6229508196721312
Generalization,m93,2,60,45,75.0,120,2.0
Generalization,m93,3,61,54,88.52459016393442,148,2.4262295081967213
Generalization,m93,4,61,48,78.68852459016394,144,2.360655737704918
Generalization,m97,1,61,51,83.60655737704919,184,3.0163934426229506
Generalization,m97,2,60,53,88.33333333333333,226,3.7666666666666666
Generalization,m97,3,61,21,34.42622950819672,41,0.6721311475409836
Generalization,m97,4,61,34,55.73770491803279,67,1.098360655737705
Generalization,m98,1,61,48,78.68852459016394,202,3.3114754098360657
Generalization,m98,2,61,38,62.295081967213115,94,1.540983606557377
Generalization,m98,3,61,47,77.04918032786885,211,3.459016393442623
Generalization,m98,4,60,31,51.666666666666664,104,1.7333333333333334
Generalization,m100,1,61,53,86.88524590163935,202,3.3114754098360657
Generalization,m100,2,60,48,80.0,223,3.716666666666667
Generalization,m100,3,61,50,81.9672131147541,254,4.163934426229508
Generalization,m100,4,61,45,73.77049180327869,114,1.8688524590163935
Generalization,m101,1,61,33,54.09836065573771,96,1.5737704918032787
Generalization,m101,2,60,45,75.0,216,3.6
Generalization,m101,3,61,49,80.32786885245902,194,3.180327868852459
Generalization,m101,4,61,38,62.295081967213115,171,2.80327868852459
Generalization,m102,1,61,47,77.04918032786885,212,3.4754098360655736
Generalization,m102,2,60,54,90.0,696,11.6
Generalization,m102,3,61,55,90.1639344262295,802,13.147540983606557
Generalization,m102,4,61,37,60.65573770491803,95,1.5573770491803278
Generalization,m103,1,61,50,81.9672131147541,267,4.377049180327869
Generalization,m103,2,61,53,86.88524590163935,220,3.6065573770491803
Generalization,m103,3,61,35,57.377049180327866,82,1.3442622950819672
Generalization,m103,4,61,38,62.295081967213115,109,1.7868852459016393
Generalization,m104,1,61,45,73.77049180327869,167,2.737704918032787
Generalization,m104,2,61,54,88.52459016393442,217,3.557377049180328
Generalization,m104,3,61,37,60.65573770491803,71,1.1639344262295082
Generalization,m104,4,61,45,73.77049180327869,169,2.7704918032786887
