task,trial_index,n_sessions_reaching,pct_punished,mean_false_alarms
Generalization,1,40,80.0,3.475
Generalization,2,40,82.5,3.275
Generalization,3,40,82.5,3.825
Generalization,4,40,90.0,5.175
Generalization,5,40,82.5,3.875
Generalization,6,40,97.5,5.375
Generalization,7,40,90.0,4.275
Generalization,8,40,90.0,3.375
Generalization,9,40,77.5,4.175
Generalization,10,40,87.5,4.15
Generalization,11,40,82.5,3.975
Generalization,12,40,77.5,5.175
Generalization,13,40,77.5,4.725
Generalization,14,40,82.5,4.725
Generalization,15,40,85.0,3.175
Generalization,16,40,77.5,5.1
Generalization,17,40,75.0,3.675
Generalization,18,40,80.0,4.675
Generalization,19,40,65.0,5.0
Generalization,20,40,72.5,4.125
Generalization,21,40,77.5,3.225
Generalization,22,40,72.5,2.625
Generalization,23,40,80.0,2.85
Generalization,24,40,72.5,5.15
Generalization,25,40,82.5,3.75
Generalization,26,40,77.5,2.775
Generalization,27,40,80.0,3.125
Generalization,28,40,70.0,2.85
Generalization,29,40,67.5,3.175
Generalization,30,40,67.5,3.3
Generalization,31,40,82.5,1.875
Generalization,32,40,65.0,2.45
Generalization,33,40,75.0,2.625
Generalization,34,40,77.5,3.35
Generalization,35,40,75.0,3.55
Generalization,36,40,85.0,3.0
Generalization,37,40,72.5,2.65
Generalization,38,40,65.0,2.35
Generalization,39,40,82.5,3.575
Generalization,40,40,67.5,2.125
Generalization,41,40,72.5,3.35
Generalization,42,40,77.5,2.4
Generalization,43,40,62.5,2.275
Generalization,44,40,70.0,2.55
Generalization,45,40,52.5,1.75
Generalization,46,40,72.5,2.05
Generalization,47,40,70.0,2.2
Generalization,48,40,65.0,1.225
Generalization,49,40,72.5,2.1
Generalization,50,40,72.5,2.0
Generalization,51,40,67.5,2.2
Generalization,52,40,67.5,2.4
Generalization,53,40,80.0,2.425
Generalization,54,40,82.5,2.45
Generalization,55,40,72.5,2.7
Generalization,56,40,67.5,2.2
Generalization,57,40,62.5,1.525
Generalization,58,40,62.5,1.775
Generalization,59,40,52.5,1.15
Generalization,60,40,30.0,0.525
Generalization,61,32,0.0,0.0
