task,mouse,session,hits,false_alarms,n_trials,accuracy_pct,success_rate_pct
AppetitveTaskReal,m90,1,48,209,60,18.68,80.00
AppetitveTaskReal,m90,2,30,88,60,25.42,50.00
AppetitveTaskReal,m90,3,14,28,60,33.33,23.33
AppetitveTaskReal,m90,4,8,29,60,21.62,13.33
AppetitveTaskReal,m90,5,18,48,60,27.27,30.00
AppetitveTaskReal,m90,6,33,169,60,16.34,55.00
AppetitveTaskReal,m90,7,40,166,60,19.42,66.67
AppetitveTaskReal,m90,8,21,78,60,21.21,35.00
AppetitveTaskReal,m90,9,21,56,60,27.27,35.00
AppetitveTaskReal,m90,10,38,145,60,20.77,63.33
AppetitveTaskReal,m90,11,7,25,60,21.88,11.67
AppetitveTaskReal,m90,12,15,48,60,23.81,25.00
AppetitveTaskReal,m90,13,25,153,60,14.04,41.67
AppetitveTaskReal,m92,1,44,156,60,22.00,73.33
AppetitveTaskReal,m92,2,3,19,60,13.64,5.00
AppetitveTaskReal,m92,3,1,11,60,8.33,1.67
AppetitveTaskReal,m92,4,11,37,60,22.92,18.33
AppetitveTaskReal,m92,5,0,6,60,0.00,0.00
AppetitveTaskReal,m92,6,4,27,60,12.90,6.67
AppetitveTaskReal,m92,7,9,52,60,14.75,15.00
AppetitveTaskReal,m92,8,16,96,60,14.29,26.67
AppetitveTaskReal,m92,9,15,34,60,30.61,25.00
AppetitveTaskReal,m92,10,3,9,60,25.00,5.00
AppetitveTaskReal,m92,11,15,66,60,18.52,25.00
AppetitveTaskReal,m93,1,35,114,59,23.49,59.32
AppetitveTaskReal,m93,2,23,70,60,24.73,38.33
AppetitveTaskReal,m93,3,14,47,60,22.95,23.33
AppetitveTaskReal,m93,4,5,33,60,13.16,8.33
AppetitveTaskReal,m93,5,35,144,60,19.55,58.33
AppetitveTaskReal,m93,6,20,80,60,20.00,33.33
AppetitveTaskReal,m93,7,23,43,65,34.85,35.38
AppetitveTaskReal,m93,8,20,92,60,17.86,33.33
AppetitveTaskReal,m93,9,20,99,63,16.81,31.75
AppetitveTaskReal,m93,10,14,73,60,16.09,23.33
AppetitveTaskReal,m93,11,10,50,60,16.67,16.67
AppetitveTaskReal,m93,12,7,25,60,21.88,11.67
AppetitveTaskReal,m97,1,21,55,60,27.63,35.00
AppetitveTaskReal,m97,2,30,161,60,15.71,50.00
AppetitveTaskReal,m97,3,35,145,60,19.44,58.33
AppetitveTaskReal,m97,4,29,143,60,16.86,48.33
AppetitveTaskReal,m97,5,32,187,60,14.61,53.33
AppetitveTaskReal,m97,6,37,192,60,16.16,61.67
AppetitveTaskReal,m97,7,30,130,60,18.75,50.00
AppetitveTaskReal,m97,8,41,186,60,18.06,68.33
AppetitveTaskReal,m98,1,10,54,61,15.62,16.39
AppetitveTaskReal,m98,2,8,44,61,15.38,13.11
AppetitveTaskReal,m98,3,1,8,61,11.11,1.64
AppetitveTaskReal,m98,4,3,42,61,6.67,4.92
AppetitveTaskReal,m98,5,10,26,61,27.78,16.39
AppetitveTaskReal,m98,6,1,33,61,2.94,1.64
AppetitveTaskReal,m98,7,0,1,61,0.00,0.00
AppetitveTaskReal,m98,8,6,16,61,27.27,9.84
AppetitveTaskReal,m98,9,2,6,61,25.00,3.28
AppetitveTaskReal,m98,10,3,13,61,18.75,4.92
AppetitveTaskReal,m98,11,11,24,61,31.43,18.03
AppetitveTaskReal,m98,12,16,48,61,25.00,26.23
AppetitveTaskReal,m100,1,9,68,61,11.69,14.75
AppetitveTaskReal,m100,2,26,95,62,21.49,41.94
AppetitveTaskReal,m100,3,19,67,61,22.09,31.15
AppetitveTaskReal,m100,4,33,185,61,15.14,54.10
AppetitveTaskReal,m101,1,3,28,60,9.68,5.00
AppetitveTaskReal,m101,2,1,16,61,5.88,1.64
AppetitveTaskReal,m101,3,1,7,61,12.50,1.64
AppetitveTaskReal,m101,4,2,22,61,8.33,3.28
AppetitveTaskReal,m101,5,11,39,61,22.00,18.03
