task,mouse,session,hits,false_alarms,n_trials,accuracy_pct,success_rate_pct
Generalization,m90,1,31,92,61,25.20,50.82
Generalization,m90,2,58,224,60,20.57,96.67
Generalization,m90,3,54,216,61,20.00,88.52
Generalization,m90,4,59,146,61,28.78,96.72
Generalization,m92,1,8,59,61,11.94,13.11
Generalization,m92,2,25,116,60,17.73,41.67
Generalization,m92,3,56,123,61,31.28,91.80
Generalization,m92,4,58,128,61,31.18,95.08
Generalization,m93,1,36,113,61,24.16,59.02
Generalization,m93,2,29,117,60,19.86,48.33
Generalization,m93,3,55,138,61,28.50,90.16
Generalization,m93,4,61,122,61,33.33,100.00
Generalization,m97,1,38,166,61,18.63,62.30
Generalization,m97,2,48,185,60,20.60,80.00
Generalization,m97,3,26,21,61,55.32,42.62
Generalization,m97,4,44,48,61,47.83,72.13
Generalization,m98,1,51,204,61,20.00,83.61
Generalization,m98,2,35,77,61,31.25,57.38
Generalization,m98,3,53,192,61,21.63,86.89
Generalization,m98,4,28,97,60,22.40,46.67
Generalization,m100,1,55,188,61,22.63,90.16
Generalization,m100,2,51,193,60,20.90,85.00
Generalization,m100,3,56,227,61,19.79,91.80
Generalization,m100,4,48,96,61,33.33,78.69
Generalization,m101,1,17,90,61,15.89,27.87
Generalization,m101,2,44,170,60,20.56,73.33
Generalization,m101,3,60,192,61,23.81,98.36
Generalization,m101,4,44,147,61,23.04,72.13
Generalization,m102,1,43,123,61,25.90,70.49
Generalization,m102,2,68,455,60,13.00,113.33
Generalization,m102,3,69,522,61,11.68,113.11
Generalization,m102,4,60,35,61,63.16,98.36
Generalization,m103,1,54,263,61,17.03,88.52
Generalization,m103,2,54,177,61,23.38,88.52
Generalization,m103,3,42,54,61,43.75,68.85
Generalization,m103,4,44,70,61,38.60,72.13
Generalization,m104,1,64,146,61,30.48,104.92
Generalization,m104,2,52,177,61,22.71,85.25
Generalization,m104,3,30,49,61,37.97,49.18
Generalization,m104,4,45,90,61,33.33,73.77
