task,mouse,n_sessions,max_hit_rate,max_engagement_rate,max_accuracy_when_engaged,late_hit_rate,late_engagement_rate,late_accuracy_when_engaged,late_offcue_pokes_per_trial,first_session_50_hit_rate,first_session_50_engagement,first_session_70_accuracy_when_engaged,hit_rate_learner,engagement_competence_learner,late_session_learner,competent_low_participation,non_learner,impulsive_offcue_dominated,n_late_engaged,low_confidence_competence,strong_participation_bar,final_classification,classification_reason
Generalization,m90,4,77.049,85.246,95.349,71.412,80.173,89.362,4.199,2,2,1,True,True,True,False,False,True,146,False,63.766,strong_learner,"High engagement (80%, at/above the task's strong-participation bar of 64%) and high accuracy-when-engaged (89%); strong learner."
Generalization,m92,4,70.492,75.41,94.737,51.53,55.364,92.368,2.472,3,3,1,True,True,True,False,False,False,101,False,63.766,partial_learner,"Learned the rule (accuracy 92%) but engages moderately (55%, below the task's strong-participation bar of 64%); partial learner."
Generalization,m93,4,77.049,85.246,100.0,60.31,63.597,95.346,2.41,3,3,1,True,True,True,False,False,False,116,False,63.766,partial_learner,"Learned the rule (accuracy 95%) but engages moderately (64%, below the task's strong-participation bar of 64%); partial learner."
Generalization,m97,4,62.295,70.492,90.244,53.342,59.936,88.097,1.989,2,2,1,False,False,True,False,False,False,109,False,63.766,partial_learner,"Learned the rule (accuracy 88%) but engages moderately (60%, below the task's strong-participation bar of 64%); partial learner."
Generalization,m98,4,67.213,72.131,100.0,52.705,56.53,93.561,2.524,1,1,1,False,True,True,False,False,False,103,False,63.766,partial_learner,"Learned the rule (accuracy 94%) but engages moderately (57%, below the task's strong-participation bar of 64%); partial learner."
Generalization,m100,4,80.328,85.246,92.308,68.042,79.089,84.81,3.432,1,1,1,True,True,True,False,False,True,144,False,63.766,strong_learner,"High engagement (79%, at/above the task's strong-participation bar of 64%) and high accuracy-when-engaged (85%); strong learner."
Generalization,m101,4,60.656,67.213,91.176,49.936,56.539,87.854,3.557,3,3,1,True,True,True,False,False,True,103,False,63.766,partial_learner,"Learned the rule (accuracy 88%) but engages moderately (57%, below the task's strong-participation bar of 64%); partial learner."
Generalization,m102,4,91.803,96.721,100.0,88.434,92.286,95.853,9.54,1,1,1,True,True,True,False,False,True,168,False,63.766,strong_learner,"High engagement (92%, at/above the task's strong-participation bar of 64%) and high accuracy-when-engaged (96%); strong learner."
Generalization,m103,4,68.852,80.328,95.0,60.109,69.399,86.772,2.585,1,1,1,True,True,True,False,False,False,127,False,63.766,strong_learner,"High engagement (69%, at/above the task's strong-participation bar of 64%) and high accuracy-when-engaged (87%); strong learner."
Generalization,m104,4,65.574,73.77,95.122,57.377,63.934,90.106,2.77,1,1,1,True,True,True,False,False,False,117,False,63.766,strong_learner,"High engagement (64%, at/above the task's strong-participation bar of 64%) and high accuracy-when-engaged (90%); strong learner."
