task,mouse,session,n_trials,n_engaged,n_rewarded,hit_rate,engagement_rate,accuracy_when_engaged,offcue_pokes,offcue_pokes_per_trial,cue_to_poke_latency_median,poke_to_lick_latency_median
Generalization,m90,1,61,27,21,34.426,44.262,77.778,125,2.049,2.807,0.189
Generalization,m90,2,60,43,41,68.333,71.667,95.349,267,4.45,2.04,0.168
Generalization,m90,3,61,51,42,68.852,83.607,82.353,294,4.82,1.5,0.15
Generalization,m90,4,61,52,47,77.049,85.246,90.385,203,3.328,1.602,0.129
Generalization,m92,1,61,7,6,9.836,11.475,85.714,53,0.869,4.415,0.425
Generalization,m92,2,60,19,18,30.0,31.667,94.737,140,2.333,3.965,0.243
Generalization,m92,3,61,36,33,54.098,59.016,88.889,148,2.426,4.024,0.262
Generalization,m92,4,61,46,43,70.492,75.41,93.478,162,2.656,2.668,0.232
Generalization,m93,1,61,27,24,39.344,44.262,88.889,104,1.705,3.766,0.19
Generalization,m93,2,60,23,22,36.667,38.333,95.652,125,2.083,4.346,0.163
Generalization,m93,3,61,41,41,67.213,67.213,100.0,154,2.525,3.646,0.174
Generalization,m93,4,61,52,47,77.049,85.246,90.385,160,2.623,2.636,0.136
Generalization,m97,1,61,30,25,40.984,49.18,83.333,192,3.148,2.452,0.202
Generalization,m97,2,60,41,37,61.667,68.333,90.244,237,3.95,3.057,0.191
Generalization,m97,3,61,25,22,36.066,40.984,88.0,48,0.787,1.972,0.261
Generalization,m97,4,61,43,38,62.295,70.492,86.047,75,1.23,1.205,0.205
Generalization,m98,1,61,35,31,50.82,57.377,88.571,217,3.557,3.878,0.198
Generalization,m98,2,61,32,28,45.902,52.459,87.5,108,1.77,3.118,0.232
Generalization,m98,3,61,44,41,67.213,72.131,93.182,238,3.902,2.31,0.159
Generalization,m98,4,60,27,27,45.0,45.0,100.0,114,1.9,0.559,0.162
Generalization,m100,1,61,42,36,59.016,68.852,85.714,214,3.508,2.262,0.189
Generalization,m100,2,60,44,31,51.667,73.333,70.455,240,4.0,2.408,0.136
Generalization,m100,3,61,52,49,80.328,85.246,92.308,263,4.311,1.755,0.144
Generalization,m100,4,61,48,44,72.131,78.689,91.667,121,1.984,1.774,0.183
Generalization,m101,1,61,14,12,19.672,22.951,85.714,99,1.623,3.118,0.296
Generalization,m101,2,60,28,23,38.333,46.667,82.143,237,3.95,2.583,0.323
Generalization,m101,3,61,41,37,60.656,67.213,90.244,210,3.443,1.009,0.224
Generalization,m101,4,61,34,31,50.82,55.738,91.176,200,3.279,1.714,0.174
Generalization,m102,1,61,42,36,59.016,68.852,85.714,232,3.803,2.402,0.154
Generalization,m102,2,60,53,50,83.333,88.333,94.34,773,12.883,1.429,0.104
Generalization,m102,3,61,56,56,91.803,91.803,100.0,827,13.557,0.564,0.153
Generalization,m102,4,61,59,55,90.164,96.721,93.22,133,2.18,1.502,0.152
Generalization,m103,1,61,40,38,62.295,65.574,95.0,279,4.574,1.627,0.143
Generalization,m103,2,61,49,42,68.852,80.328,85.714,240,3.934,2.615,0.139
Generalization,m103,3,61,42,36,59.016,68.852,85.714,94,1.541,3.339,0.153
Generalization,m103,4,61,36,32,52.459,59.016,88.889,139,2.279,3.831,0.137
Generalization,m104,1,61,41,39,63.934,67.213,95.122,193,3.164,1.905,0.179
Generalization,m104,2,61,45,40,65.574,73.77,88.889,232,3.803,1.57,0.193
Generalization,m104,3,61,30,28,45.902,49.18,93.333,77,1.262,2.337,0.237
Generalization,m104,4,61,42,37,60.656,68.852,88.095,198,3.246,2.365,0.146
