task,mouse,session_ordinal,raw_session,hit_rate,accuracy,success_rate,competence,engagement_oncue,engagement_any,oncue_lick_rate,fa_rate,offcue,latency,n_trials
AppetitveTaskReal,m90,1,1,21.667,18.677,80.000,65.000,33.333,83.333,51.667,348.333,2.067,2.433,60.000
AppetitveTaskReal,m90,2,2,31.667,25.424,50.000,82.609,38.333,83.333,33.333,146.667,1.850,4.182,60.000
AppetitveTaskReal,m90,3,3,16.667,33.333,23.333,71.429,23.333,60.000,16.667,46.667,0.867,2.146,60.000
AppetitveTaskReal,m90,4,4,11.667,21.622,13.333,87.500,13.333,48.333,11.667,48.333,0.567,5.531,60.000
AppetitveTaskReal,m90,5,5,18.333,27.273,30.000,84.615,21.667,56.667,20.000,80.000,0.983,4.651,60.000
AppetitveTaskReal,m90,6,6,36.667,16.337,55.000,95.652,38.333,85.000,38.333,281.667,2.833,3.204,60.000
AppetitveTaskReal,m90,7,7,45.000,19.417,66.667,90.000,50.000,95.000,48.333,276.667,3.350,2.563,60.000
AppetitveTaskReal,m90,8,8,26.667,21.212,35.000,72.727,36.667,71.667,31.667,130.000,1.417,4.076,60.000
AppetitveTaskReal,m90,9,9,26.230,27.273,34.426,78.947,31.148,59.016,29.508,91.803,1.016,5.290,61.000
AppetitveTaskReal,m90,10,10,43.333,20.765,63.333,96.296,45.000,90.000,45.000,241.667,2.533,1.545,60.000
AppetitveTaskReal,m90,11,11,11.667,21.875,11.667,53.846,21.667,51.667,11.667,41.667,0.650,4.583,60.000
AppetitveTaskReal,m90,12,12,18.333,23.810,25.000,73.333,25.000,66.667,20.000,80.000,1.050,3.668,60.000
AppetitveTaskReal,m90,13,13,25.000,14.444,43.333,82.353,28.333,78.333,28.333,256.667,4.683,3.987,60.000
AppetitveTaskReal,m92,1,1,15.000,22.000,73.333,90.000,16.667,70.000,50.000,260.000,1.383,5.357,60.000
AppetitveTaskReal,m92,2,2,3.333,13.636,5.000,28.571,11.667,40.000,3.333,31.667,0.683,3.433,60.000
AppetitveTaskReal,m92,3,3,1.667,8.333,1.667,25.000,6.667,33.333,1.667,18.333,0.417,2.695,60.000
AppetitveTaskReal,m92,4,4,11.667,22.917,18.333,100.000,11.667,46.667,11.667,61.667,0.900,1.843,60.000
AppetitveTaskReal,m92,5,5,0.000,0.000,0.000,0.000,1.667,11.667,0.000,10.000,0.200,1.334,60.000
AppetitveTaskReal,m92,6,6,5.000,12.903,6.667,33.333,15.000,51.667,5.000,45.000,1.283,1.832,60.000
AppetitveTaskReal,m92,7,7,12.903,17.391,12.903,58.333,19.355,59.677,12.903,61.290,2.016,3.014,62.000
AppetitveTaskReal,m92,8,8,15.000,14.754,15.000,45.000,33.333,70.000,15.000,86.667,1.417,3.486,60.000
AppetitveTaskReal,m92,9,9,15.000,14.286,26.667,56.250,26.667,73.333,18.333,160.000,2.883,4.464,60.000
AppetitveTaskReal,m92,10,10,18.333,30.612,25.000,73.333,25.000,61.667,20.000,56.667,0.817,4.755,60.000
AppetitveTaskReal,m92,11,11,5.000,25.000,5.000,75.000,6.667,31.667,5.000,15.000,0.400,2.210,60.000
AppetitveTaskReal,m92,12,12,20.000,18.519,25.000,85.714,23.333,58.333,21.667,110.000,0.967,3.474,60.000
AppetitveTaskReal,m93,1,1,33.898,23.490,59.322,76.923,44.068,79.661,38.983,193.220,2.119,4.385,59.000
AppetitveTaskReal,m93,2,2,21.667,24.731,38.333,92.857,23.333,63.333,23.333,116.667,1.150,2.787,60.000
AppetitveTaskReal,m93,3,3,13.333,22.951,23.333,100.000,13.333,58.333,13.333,78.333,0.833,4.198,60.000
AppetitveTaskReal,m93,4,4,8.333,13.158,8.333,100.000,8.333,45.000,8.333,55.000,0.500,4.761,60.000
AppetitveTaskReal,m93,5,5,28.333,19.553,58.333,94.444,30.000,78.333,30.000,240.000,2.233,2.952,60.000
AppetitveTaskReal,m93,6,6,21.667,20.000,33.333,100.000,21.667,71.667,21.667,133.333,1.083,4.959,60.000
AppetitveTaskReal,m93,7,7,23.077,34.848,35.385,100.000,23.077,56.923,23.077,66.154,0.615,3.527,65.000
AppetitveTaskReal,m93,8,8,18.333,17.857,33.333,91.667,20.000,75.000,20.000,153.333,1.267,4.551,60.000
AppetitveTaskReal,m93,9,9,17.460,16.807,31.746,91.667,19.048,73.016,19.048,157.143,1.254,4.016,63.000
AppetitveTaskReal,m93,10,10,15.000,16.092,23.333,100.000,15.000,71.667,15.000,121.667,1.150,1.401,60.000
AppetitveTaskReal,m93,11,11,15.000,16.667,16.667,90.000,16.667,56.667,15.000,83.333,0.833,4.796,60.000
AppetitveTaskReal,m93,12,12,10.000,21.875,11.667,75.000,13.333,43.333,10.000,41.667,0.533,6.508,60.000
AppetitveTaskReal,m97,1,1,20.000,27.632,35.000,80.000,25.000,70.000,21.667,91.667,1.317,5.217,60.000
AppetitveTaskReal,m97,2,2,36.667,15.707,50.000,88.000,41.667,90.000,38.333,268.333,2.400,2.959,60.000
AppetitveTaskReal,m97,3,3,41.667,19.444,58.333,96.154,43.333,80.000,43.333,241.667,2.450,3.665,60.000
AppetitveTaskReal,m97,4,4,36.667,16.860,48.333,80.769,43.333,83.333,41.667,238.333,2.333,1.806,60.000
AppetitveTaskReal,m97,5,5,41.667,14.612,53.333,100.000,41.667,80.000,41.667,311.667,3.267,1.402,60.000
AppetitveTaskReal,m97,6,6,53.333,16.157,61.667,100.000,51.667,83.333,53.333,320.000,3.483,1.586,60.000
AppetitveTaskReal,m97,7,7,46.667,18.750,50.000,100.000,46.667,81.667,46.667,216.667,2.733,0.712,60.000
AppetitveTaskReal,m97,8,8,55.000,18.062,68.333,91.667,60.000,91.667,60.000,310.000,3.433,2.705,60.000
AppetitveTaskReal,m98,1,1,9.836,15.625,16.393,54.545,18.033,59.016,9.836,88.525,1.344,1.991,61.000
AppetitveTaskReal,m98,2,2,6.557,15.385,13.115,80.000,8.197,54.098,6.557,72.131,1.328,3.697,61.000
AppetitveTaskReal,m98,3,3,1.639,11.111,1.639,12.500,13.115,32.787,1.639,13.115,0.361,2.658,61.000
AppetitveTaskReal,m98,4,4,4.918,6.667,4.918,100.000,4.918,44.262,4.918,68.852,0.885,5.510,61.000
AppetitveTaskReal,m98,5,5,13.115,27.778,16.393,88.889,14.754,31.148,13.115,42.623,0.475,4.053,61.000
AppetitveTaskReal,m98,6,6,1.639,2.941,1.639,50.000,3.279,37.705,1.639,54.098,0.672,5.351,61.000
AppetitveTaskReal,m98,7,7,0.000,0.000,0.000,0.000,3.279,18.033,0.000,1.639,0.262,6.181,61.000
AppetitveTaskReal,m98,8,8,8.197,27.273,9.836,55.556,14.754,37.705,8.197,26.230,0.426,5.790,61.000
AppetitveTaskReal,m98,9,9,3.279,25.000,3.279,33.333,9.836,36.066,3.279,9.836,0.541,4.632,61.000
AppetitveTaskReal,m98,10,10,3.279,18.750,4.918,66.667,4.918,34.426,3.279,21.311,0.590,1.911,61.000
AppetitveTaskReal,m98,11,11,9.836,31.429,18.033,66.667,14.754,34.426,9.836,39.344,0.639,4.790,61.000
AppetitveTaskReal,m98,12,12,21.311,25.000,26.230,100.000,21.311,59.016,21.311,78.689,0.836,2.420,61.000
AppetitveTaskReal,m100,1,1,9.836,11.842,14.754,40.000,24.590,67.213,9.836,109.836,2.639,3.691,61.000
AppetitveTaskReal,m100,2,2,26.230,20.833,40.984,100.000,26.230,67.213,26.230,155.738,1.623,3.569,61.000
AppetitveTaskReal,m100,3,3,26.230,16.754,52.459,84.211,31.148,68.852,29.508,260.656,2.377,2.913,61.000
AppetitveTaskReal,m100,4,4,32.787,16.883,63.934,90.909,36.066,86.885,34.426,314.754,2.770,2.338,61.000
AppetitveTaskReal,m100,5,5,13.115,18.966,18.033,80.000,16.393,45.902,13.115,77.049,1.016,3.255,61.000
AppetitveTaskReal,m100,6,6,37.705,17.708,55.738,92.000,40.984,77.049,37.705,259.016,2.705,2.927,61.000
AppetitveTaskReal,m100,7,7,35.484,17.178,45.161,87.500,38.710,83.871,37.097,217.742,2.581,2.813,62.000
AppetitveTaskReal,m100,8,8,27.869,30.159,31.148,73.913,37.705,62.295,27.869,72.131,1.393,2.660,61.000
AppetitveTaskReal,m100,9,9,8.197,24.138,11.475,22.727,36.066,60.656,8.197,36.066,1.016,4.629,61.000
AppetitveTaskReal,m100,10,10,49.180,20.285,93.443,83.333,59.016,90.164,55.738,367.213,4.049,3.653,61.000
AppetitveTaskReal,m100,11,11,22.951,22.093,31.148,77.778,29.508,62.295,24.590,109.836,1.508,3.241,61.000
