task,mouse,session,mean_latency_to_first_oncue_poke_s,n_engaged_trials
AppetitveTaskReal,m90,1,3.310,20
AppetitveTaskReal,m90,2,3.750,23
AppetitveTaskReal,m90,3,2.559,14
AppetitveTaskReal,m90,4,5.313,8
AppetitveTaskReal,m90,5,3.853,13
AppetitveTaskReal,m90,6,3.431,23
AppetitveTaskReal,m90,7,3.057,30
AppetitveTaskReal,m90,8,4.167,22
AppetitveTaskReal,m90,9,4.070,19
AppetitveTaskReal,m90,10,2.747,27
AppetitveTaskReal,m90,11,4.048,13
AppetitveTaskReal,m90,12,3.480,15
AppetitveTaskReal,m90,13,4.031,16
AppetitveTaskReal,m92,1,4.843,10
AppetitveTaskReal,m92,2,2.922,7
AppetitveTaskReal,m92,3,2.714,4
AppetitveTaskReal,m92,4,2.716,7
AppetitveTaskReal,m92,5,1.334,1
AppetitveTaskReal,m92,6,2.692,9
AppetitveTaskReal,m92,7,3.674,20
AppetitveTaskReal,m92,8,4.172,16
AppetitveTaskReal,m92,9,4.634,15
AppetitveTaskReal,m92,10,3.043,4
AppetitveTaskReal,m92,11,3.955,14
AppetitveTaskReal,m93,1,4.126,26
AppetitveTaskReal,m93,2,3.182,14
AppetitveTaskReal,m93,3,4.018,8
AppetitveTaskReal,m93,4,4.494,5
AppetitveTaskReal,m93,5,3.242,18
AppetitveTaskReal,m93,6,4.876,13
AppetitveTaskReal,m93,7,3.537,15
AppetitveTaskReal,m93,8,4.328,12
AppetitveTaskReal,m93,9,4.120,12
AppetitveTaskReal,m93,10,2.163,9
AppetitveTaskReal,m93,11,4.529,10
AppetitveTaskReal,m93,12,4.671,8
AppetitveTaskReal,m97,1,4.425,15
AppetitveTaskReal,m97,2,2.992,25
AppetitveTaskReal,m97,3,3.658,26
AppetitveTaskReal,m97,4,2.248,26
AppetitveTaskReal,m97,5,2.588,25
AppetitveTaskReal,m97,6,2.451,31
AppetitveTaskReal,m97,7,2.454,28
AppetitveTaskReal,m97,8,2.912,36
AppetitveTaskReal,m98,1,2.578,11
AppetitveTaskReal,m98,2,3.961,5
AppetitveTaskReal,m98,3,3.670,8
AppetitveTaskReal,m98,4,5.626,3
AppetitveTaskReal,m98,5,3.785,9
AppetitveTaskReal,m98,6,5.351,2
AppetitveTaskReal,m98,7,6.181,2
AppetitveTaskReal,m98,8,4.757,9
AppetitveTaskReal,m98,9,4.499,6
AppetitveTaskReal,m98,10,1.690,3
AppetitveTaskReal,m98,11,4.654,9
AppetitveTaskReal,m98,12,2.477,13
AppetitveTaskReal,m100,1,3.810,15
AppetitveTaskReal,m100,2,3.570,16
AppetitveTaskReal,m100,3,3.341,18
AppetitveTaskReal,m100,4,2.832,30
AppetitveTaskReal,m101,1,2.633,14
AppetitveTaskReal,m101,2,3.462,16
AppetitveTaskReal,m101,3,3.051,10
AppetitveTaskReal,m101,4,2.607,9
AppetitveTaskReal,m101,5,3.752,9
AppetitveTaskReal,m101,6,5.692,8
AppetitveTaskReal,m101,7,2.831,5
AppetitveTaskReal,m101,8,4.639,9
AppetitveTaskReal,m101,9,3.614,13
AppetitveTaskReal,m101,10,3.331,9
AppetitveTaskReal,m101,11,2.176,6
AppetitveTaskReal,m101,12,3.955,20
AppetitveTaskReal,m102,1,3.301,24
AppetitveTaskReal,m102,2,3.212,25
AppetitveTaskReal,m102,3,2.826,13
AppetitveTaskReal,m102,4,2.490,20
AppetitveTaskReal,m102,5,2.913,20
AppetitveTaskReal,m102,6,3.455,25
AppetitveTaskReal,m102,7,2.841,26
AppetitveTaskReal,m102,8,3.408,18
AppetitveTaskReal,m102,9,2.370,35
AppetitveTaskReal,m102,10,2.098,23
AppetitveTaskReal,m102,11,2.094,32
AppetitveTaskReal,m103,1,3.406,16
AppetitveTaskReal,m103,2,2.397,16
AppetitveTaskReal,m103,3,3.122,16
AppetitveTaskReal,m103,4,4.964,18
AppetitveTaskReal,m103,5,3.338,21
AppetitveTaskReal,m103,6,2.553,10
AppetitveTaskReal,m103,7,3.832,19
AppetitveTaskReal,m103,8,3.264,11
AppetitveTaskReal,m103,9,3.549,14
AppetitveTaskReal,m103,10,3.393,9
AppetitveTaskReal,m103,11,2.818,9
AppetitveTaskReal,m103,12,4.217,27
AppetitveTaskReal,m104,1,2.828,5
AppetitveTaskReal,m104,2,4.212,20
AppetitveTaskReal,m104,3,4.606,13
AppetitveTaskReal,m104,4,4.338,14
AppetitveTaskReal,m104,5,4.009,12
AppetitveTaskReal,m104,6,4.580,7
AppetitveTaskReal,m104,7,4.365,11
AppetitveTaskReal,m104,8,3.960,8
AppetitveTaskReal,m104,9,4.237,15
AppetitveTaskReal,m104,10,4.136,20
AppetitveTaskReal,m104,11,3.752,21
AppetitveTaskReal,m104,12,4.069,15
