task,mouse,metric,early,late,delta
AppetitveTaskReal,m90,engagement,31.667,24.444,-7.222
AppetitveTaskReal,m90,competence,73.012,71.560,-1.453
AppetitveTaskReal,m90,hit_rate,23.333,18.333,-5.000
AppetitveTaskReal,m90,bout_coverage,5.000,0.000,-5.000
AppetitveTaskReal,m90,latency,2.920,4.050,1.130
AppetitveTaskReal,m90,offcue,1.594,1.344,-0.250
AppetitveTaskReal,m90,win_stay,5.678,2.283,-3.395
AppetitveTaskReal,m92,engagement,14.167,15.000,0.833
AppetitveTaskReal,m92,competence,59.286,80.357,21.071
AppetitveTaskReal,m92,hit_rate,9.167,12.500,3.333
AppetitveTaskReal,m92,bout_coverage,0.000,0.000,0.000
AppetitveTaskReal,m92,latency,4.395,2.842,-1.553
AppetitveTaskReal,m92,offcue,1.033,0.683,-0.350
AppetitveTaskReal,m92,win_stay,-16.140,-2.774,13.367
AppetitveTaskReal,m93,engagement,26.911,15.000,-11.911
AppetitveTaskReal,m93,competence,89.927,88.333,-1.593
AppetitveTaskReal,m93,hit_rate,22.966,13.333,-9.633
AppetitveTaskReal,m93,bout_coverage,3.390,0.000,-3.390
AppetitveTaskReal,m93,latency,3.790,4.235,0.445
AppetitveTaskReal,m93,offcue,1.367,0.839,-0.528
AppetitveTaskReal,m93,win_stay,5.233,2.264,-2.969
AppetitveTaskReal,m97,engagement,33.333,53.333,20.000
AppetitveTaskReal,m97,competence,84.000,95.833,11.833
AppetitveTaskReal,m97,hit_rate,28.333,50.833,22.500
AppetitveTaskReal,m97,bout_coverage,0.000,22.500,22.500
AppetitveTaskReal,m97,latency,4.088,1.709,-2.379
AppetitveTaskReal,m97,offcue,1.858,3.083,1.225
AppetitveTaskReal,m97,win_stay,-6.664,7.314,13.978
AppetitveTaskReal,m98,engagement,13.115,13.661,0.546
AppetitveTaskReal,m98,competence,49.015,77.778,28.763
AppetitveTaskReal,m98,hit_rate,6.011,11.475,5.464
AppetitveTaskReal,m98,bout_coverage,0.000,0.000,0.000
AppetitveTaskReal,m98,latency,2.782,3.041,0.258
AppetitveTaskReal,m98,offcue,1.011,0.689,-0.322
AppetitveTaskReal,m98,win_stay,17.262,1.826,-15.436
AppetitveTaskReal,m100,engagement,24.590,49.180,24.590
AppetitveTaskReal,m100,competence,40.000,56.667,16.667
AppetitveTaskReal,m100,hit_rate,11.475,27.869,16.393
AppetitveTaskReal,m100,bout_coverage,0.000,13.115,13.115
AppetitveTaskReal,m100,latency,3.691,2.404,-1.287
AppetitveTaskReal,m100,offcue,2.656,4.623,1.967
AppetitveTaskReal,m100,win_stay,9.259,4.104,-5.155
AppetitveTaskReal,m101,engagement,21.985,19.180,-2.805
AppetitveTaskReal,m101,competence,9.226,55.926,46.700
AppetitveTaskReal,m101,hit_rate,2.213,13.133,10.920
AppetitveTaskReal,m101,bout_coverage,0.000,2.186,2.186
AppetitveTaskReal,m101,latency,2.643,2.733,0.090
AppetitveTaskReal,m101,offcue,1.185,1.497,0.313
AppetitveTaskReal,m101,win_stay,25.855,6.642,-19.213
AppetitveTaskReal,m102,engagement,40.164,45.082,4.918
AppetitveTaskReal,m102,competence,91.750,72.554,-19.196
AppetitveTaskReal,m102,hit_rate,36.885,31.967,-4.918
AppetitveTaskReal,m102,bout_coverage,9.836,22.951,13.115
AppetitveTaskReal,m102,latency,2.551,1.296,-1.254
AppetitveTaskReal,m102,offcue,4.475,5.066,0.590
AppetitveTaskReal,m102,win_stay,9.333,20.533,11.200
AppetitveTaskReal,m103,engagement,26.230,24.590,-1.639
AppetitveTaskReal,m103,competence,79.167,71.605,-7.562
AppetitveTaskReal,m103,hit_rate,20.765,18.579,-2.186
AppetitveTaskReal,m103,bout_coverage,0.000,2.732,2.732
AppetitveTaskReal,m103,latency,2.654,3.573,0.919
AppetitveTaskReal,m103,offcue,2.087,1.546,-0.541
AppetitveTaskReal,m103,win_stay,0.273,-9.987,-10.260
AppetitveTaskReal,m104,engagement,21.111,31.111,10.000
AppetitveTaskReal,m104,competence,63.077,64.206,1.129
AppetitveTaskReal,m104,hit_rate,15.000,20.556,5.556
AppetitveTaskReal,m104,bout_coverage,0.000,7.778,7.778
AppetitveTaskReal,m104,latency,3.618,4.172,0.554
AppetitveTaskReal,m104,offcue,1.617,1.878,0.261
AppetitveTaskReal,m104,win_stay,-0.427,5.076,5.503
