task,mouse,session,any_poke_rate_pct,oncue_poke_plus_lick_rate_pct,hit_precision_pct
AppetitveTaskReal,m90,1,83.333,33.333,40.816
AppetitveTaskReal,m90,2,83.333,36.667,53.659
AppetitveTaskReal,m90,3,60.000,16.667,47.619
AppetitveTaskReal,m90,4,48.333,11.667,25.926
AppetitveTaskReal,m90,5,56.667,20.000,40.000
AppetitveTaskReal,m90,6,85.000,38.333,46.939
AppetitveTaskReal,m90,7,95.000,50.000,53.571
AppetitveTaskReal,m90,8,71.667,35.000,52.500
AppetitveTaskReal,m90,9,60.000,30.000,52.941
AppetitveTaskReal,m90,10,90.000,45.000,50.943
AppetitveTaskReal,m90,11,51.667,15.000,42.857
AppetitveTaskReal,m90,12,66.667,21.667,37.143
AppetitveTaskReal,m90,13,76.667,26.667,34.783
AppetitveTaskReal,m92,1,70.000,16.667,24.390
AppetitveTaskReal,m92,2,40.000,3.333,14.286
AppetitveTaskReal,m92,3,33.333,1.667,9.091
AppetitveTaskReal,m92,4,46.667,11.667,28.000
AppetitveTaskReal,m92,5,11.667,1.667,20.000
AppetitveTaskReal,m92,6,51.667,6.667,22.222
AppetitveTaskReal,m92,7,70.000,18.333,39.286
AppetitveTaskReal,m92,8,73.333,25.000,38.462
AppetitveTaskReal,m92,9,61.667,20.000,41.379
AppetitveTaskReal,m92,10,31.667,6.667,40.000
AppetitveTaskReal,m92,11,58.333,21.667,38.235
AppetitveTaskReal,m93,1,79.661,40.678,54.545
AppetitveTaskReal,m93,2,63.333,23.333,36.842
AppetitveTaskReal,m93,3,58.333,13.333,22.857
AppetitveTaskReal,m93,4,45.000,8.333,18.519
AppetitveTaskReal,m93,5,78.333,30.000,38.298
AppetitveTaskReal,m93,6,71.667,21.667,30.233
AppetitveTaskReal,m93,7,56.923,23.077,40.541
AppetitveTaskReal,m93,8,75.000,20.000,27.273
AppetitveTaskReal,m93,9,73.016,19.048,26.667
AppetitveTaskReal,m93,10,71.667,15.000,21.429
AppetitveTaskReal,m93,11,56.667,15.000,27.273
AppetitveTaskReal,m93,12,43.333,11.667,33.333
AppetitveTaskReal,m97,1,70.000,23.333,41.176
AppetitveTaskReal,m97,2,90.000,41.667,48.077
AppetitveTaskReal,m97,3,80.000,43.333,54.167
AppetitveTaskReal,m97,4,83.333,43.333,53.061
AppetitveTaskReal,m97,5,80.000,41.667,52.083
AppetitveTaskReal,m97,6,83.333,51.667,62.000
AppetitveTaskReal,m97,7,81.667,46.667,59.574
AppetitveTaskReal,m97,8,91.667,60.000,65.455
AppetitveTaskReal,m98,1,59.016,11.475,25.926
AppetitveTaskReal,m98,2,54.098,8.197,20.833
AppetitveTaskReal,m98,3,32.787,1.639,12.500
AppetitveTaskReal,m98,4,44.262,4.918,11.538
AppetitveTaskReal,m98,5,31.148,13.115,44.444
AppetitveTaskReal,m98,6,37.705,3.279,9.524
AppetitveTaskReal,m98,7,18.033,0.000,0.000
AppetitveTaskReal,m98,8,37.705,11.475,41.176
AppetitveTaskReal,m98,9,36.066,3.279,40.000
AppetitveTaskReal,m98,10,34.426,4.918,27.273
AppetitveTaskReal,m98,11,34.426,11.475,38.889
AppetitveTaskReal,m98,12,59.016,21.311,39.394
AppetitveTaskReal,m100,1,68.852,13.115,29.630
AppetitveTaskReal,m100,2,67.742,25.806,41.026
AppetitveTaskReal,m100,3,62.295,27.869,48.571
AppetitveTaskReal,m100,4,86.885,32.787,57.143
AppetitveTaskReal,m101,1,76.667,10.000,37.500
AppetitveTaskReal,m101,2,52.459,8.197,41.667
AppetitveTaskReal,m101,3,40.984,4.918,42.857
AppetitveTaskReal,m101,4,49.180,6.557,40.000
AppetitveTaskReal,m101,5,42.623,14.754,40.909
AppetitveTaskReal,m101,6,31.148,11.475,63.636
AppetitveTaskReal,m101,7,34.426,6.557,23.529
AppetitveTaskReal,m101,8,37.705,9.836,33.333
AppetitveTaskReal,m101,9,47.541,14.754,42.857
AppetitveTaskReal,m101,10,54.098,11.475,30.435
AppetitveTaskReal,m101,11,51.667,5.000,17.647
AppetitveTaskReal,m101,12,68.852,31.148,48.718
AppetitveTaskReal,m102,1,81.967,39.344,50.000
AppetitveTaskReal,m102,2,80.328,40.984,52.083
AppetitveTaskReal,m102,3,62.295,21.311,34.211
AppetitveTaskReal,m102,4,68.852,32.787,47.619
AppetitveTaskReal,m102,5,62.295,32.787,52.632
AppetitveTaskReal,m102,6,75.410,40.984,54.348
AppetitveTaskReal,m102,7,65.574,42.623,68.421
AppetitveTaskReal,m102,8,57.377,29.508,51.429
AppetitveTaskReal,m102,9,80.328,57.377,72.917
AppetitveTaskReal,m102,10,70.492,34.426,52.500
AppetitveTaskReal,m102,11,85.246,44.262,67.500
AppetitveTaskReal,m103,1,62.295,22.951,43.750
AppetitveTaskReal,m103,2,67.213,26.230,40.000
AppetitveTaskReal,m103,3,80.328,24.590,34.884
AppetitveTaskReal,m103,4,72.131,27.869,48.571
AppetitveTaskReal,m103,5,78.689,32.787,42.553
AppetitveTaskReal,m103,6,55.738,16.393,31.250
AppetitveTaskReal,m103,7,72.131,22.951,43.750
AppetitveTaskReal,m103,8,62.295,13.115,27.586
AppetitveTaskReal,m103,9,52.459,21.311,41.935
AppetitveTaskReal,m103,10,50.820,13.115,32.000
AppetitveTaskReal,m103,11,47.541,8.197,27.778
AppetitveTaskReal,m103,12,83.607,44.262,54.000
AppetitveTaskReal,m104,1,25.000,8.333,35.714
AppetitveTaskReal,m104,2,71.667,30.000,46.154
AppetitveTaskReal,m104,3,70.000,20.000,35.294
AppetitveTaskReal,m104,4,56.667,21.667,41.935
AppetitveTaskReal,m104,5,61.667,20.000,33.333
AppetitveTaskReal,m104,6,60.000,8.333,20.000
AppetitveTaskReal,m104,7,60.000,16.667,33.333
AppetitveTaskReal,m104,8,65.000,8.333,17.241
AppetitveTaskReal,m104,9,70.000,15.000,39.130
AppetitveTaskReal,m104,10,71.667,30.000,51.429
AppetitveTaskReal,m104,11,75.000,31.667,44.186
AppetitveTaskReal,m104,12,71.667,18.333,39.286
