task,mouse,session,mean_latency_to_first_oncue_poke_s,n_engaged_trials
Generalization,m90,1,3.357,27
Generalization,m90,2,2.544,43
Generalization,m90,3,2.105,51
Generalization,m90,4,2.354,52
Generalization,m92,1,4.571,7
Generalization,m92,2,4.014,19
Generalization,m92,3,4.161,36
Generalization,m92,4,3.062,46
Generalization,m93,1,4.097,27
Generalization,m93,2,4.073,23
Generalization,m93,3,3.759,41
Generalization,m93,4,3.089,52
Generalization,m97,1,2.779,30
Generalization,m97,2,3.237,41
Generalization,m97,3,2.796,25
Generalization,m97,4,2.266,43
Generalization,m98,1,4.013,35
Generalization,m98,2,3.068,32
Generalization,m98,3,2.941,44
Generalization,m98,4,1.658,27
Generalization,m100,1,2.948,42
Generalization,m100,2,2.964,44
Generalization,m100,3,2.105,52
Generalization,m100,4,2.584,48
Generalization,m101,1,3.557,14
Generalization,m101,2,2.957,28
Generalization,m101,3,2.174,41
Generalization,m101,4,2.506,34
Generalization,m102,1,3.258,42
Generalization,m102,2,1.982,53
Generalization,m102,3,1.125,56
Generalization,m102,4,1.845,59
Generalization,m103,1,2.084,40
Generalization,m103,2,2.864,49
Generalization,m103,3,3.457,42
Generalization,m103,4,3.588,36
Generalization,m104,1,2.451,41
Generalization,m104,2,2.426,45
Generalization,m104,3,2.983,30
Generalization,m104,4,2.851,42
