mouse,n_sessions,total_trials,mean_participation_rate,mean_performance_score,best_performance_score,final_performance_score,mean_false_alarm_rate,mean_reward_rate,mean_punishment_rate,mean_latency,mean_activity_level,crossed_criterion,first_session_crossing_criterion,sessions_to_criterion,ever_reached_criterion_once,preliminary_type,notes
m100,12,733,35.60065221223339,74.12814260068265,100.0,56.666666666666664,64.64833421470122,26.45425700687467,64.64833421470122,3.463692724207244,14.699101004759385,yes,2.0,2.0,yes,high-punishment mouse,part=36% perf=74% FA=65% lat=3.5s cross@=2.0
m101,12,731,17.655267642047125,45.606049043549035,90.0,90.0,45.06742464304602,8.060476526235384,45.06742464304602,3.4786041174127917,5.524988248428227,no,,,yes,low-participation mouse,part=18% perf=46% FA=45% lat=3.5s cross@=nan
m102,11,671,38.89716840536512,89.0101589232024,100.0,62.5,69.15052160953802,34.12816691505216,69.15052160953802,2.8187958881470316,20.470938897168402,yes,1.0,1.0,yes,high-punishment mouse,part=39% perf=89% FA=69% lat=2.8s cross@=1.0
m103,12,732,25.409836065573774,73.9665398766276,90.47619047619048,81.48148148148148,58.469945355191264,18.852459016393443,58.469945355191264,3.404287415071987,12.05191256830601,yes,2.0,2.0,yes,strong learner,part=25% perf=74% FA=58% lat=3.4s cross@=2.0
m104,12,720,22.5,63.3253552003552,92.3076923076923,46.666666666666664,57.63888888888889,14.861111111111109,57.63888888888889,4.091003272218556,9.680555555555555,yes,4.0,4.0,yes,slow but accurate mouse,part=22% perf=63% FA=58% lat=4.1s cross@=4.0
m90,13,781,31.496427070197566,79.71855501119715,96.29629629629629,83.33333333333333,65.31736023539301,25.607398066414458,65.31736023539301,3.690499111956294,15.394052122740646,yes,2.0,2.0,yes,high-punishment mouse,part=31% perf=80% FA=65% lat=3.7s cross@=2.0
m92,12,722,16.608422939068102,56.14507020757021,100.0,85.71428571428571,44.01881720430108,10.241935483870966,44.01881720430108,3.339519187153647,8.73915770609319,no,,,yes,low-participation mouse,part=17% perf=56% FA=44% lat=3.3s cross@=nan
m93,12,727,20.654917116781522,92.71316646316647,100.0,75.0,58.838824389671856,18.841851024054417,58.838824389671856,3.940479891553467,10.306643074439684,yes,1.0,1.0,yes,slow but accurate mouse,part=21% perf=93% FA=59% lat=3.9s cross@=1.0
m97,8,480,44.58333333333333,92.16274928774929,100.0,91.66666666666667,78.95833333333333,41.45833333333333,78.95833333333333,2.9659852755093796,21.025,yes,1.0,1.0,yes,high-punishment mouse,part=45% perf=92% FA=79% lat=3.0s cross@=1.0
m98,12,732,10.92896174863388,59.013047138047135,100.0,100.0,35.51912568306012,6.967213114754099,35.51912568306012,4.102345012579904,5.5724043715847,no,,,yes,low-participation mouse,part=11% perf=59% FA=36% lat=4.1s cross@=nan
