task,mouse,n_rewards,n_offcue_pokes,licks_after_reward,licks_after_offcue
AppetitveTaskReal,m90,199,1292,8.608040201005025,4.340557275541796
AppetitveTaskReal,m92,66,681,9.393939393939394,3.3627019089574155
AppetitveTaskReal,m93,137,819,7.839416058394161,4.652014652014652
AppetitveTaskReal,m97,199,1285,8.150753768844222,4.329961089494163
AppetitveTaskReal,m98,51,510,9.098039215686274,2.9647058823529413
AppetitveTaskReal,m100,55,638,6.4363636363636365,2.847962382445141
AppetitveTaskReal,m101,58,810,5.310344827586207,1.497530864197531
AppetitveTaskReal,m102,229,2478,8.244541484716157,3.073042776432607
AppetitveTaskReal,m103,138,1167,8.27536231884058,3.1662382176520993
AppetitveTaskReal,m104,107,1260,6.626168224299065,2.538095238095238
