task,mouse,n_sessions,mean_oncue_share,sem_oncue_share,on_pokes,off_pokes,on_licks,off_licks
AppetitveTaskReal,m90,13,21.25256609368515,1.6690662143476613,262,1292,1991,7249
AppetitveTaskReal,m92,11,15.611751016508608,2.33457016681633,126,681,731,4190
AppetitveTaskReal,m93,12,14.72251961225133,1.4347069681382576,156,819,1115,5384
AppetitveTaskReal,m97,8,19.297627697092867,2.375110253196826,217,1285,1860,6730
AppetitveTaskReal,m98,12,14.38326378576351,2.649390262960764,85,510,498,2986
AppetitveTaskReal,m100,4,17.60472633190657,1.8813815039055097,91,638,391,2127
AppetitveTaskReal,m101,12,16.425198664709303,1.590212772801134,161,810,360,2710
AppetitveTaskReal,m102,11,19.24565473902295,2.1186967023065044,293,2478,2235,8730
AppetitveTaskReal,m103,12,18.115676724077996,1.5583101000591104,217,1167,1356,6082
AppetitveTaskReal,m104,12,15.455406182730792,1.2961625393154514,188,1260,929,4593
Generalization,m90,4,8.84752734037267,1.2007807156472017,175,889,167,4952
Generalization,m92,4,4.957018482567106,1.678698552155892,112,503,104,4185
Generalization,m93,4,6.300435937670938,1.2301295338663367,145,543,140,3890
Generalization,m97,4,9.392851543071792,2.0705653100397132,142,552,134,3595
Generalization,m98,4,8.485791731635887,1.5906440515381242,144,677,138,4328
Generalization,m100,4,10.119532214956498,1.6231763229699099,193,838,180,4855
Generalization,m101,4,5.790770817657838,0.9653456060202482,137,746,119,4611
Generalization,m102,4,9.242059359806468,2.5812417255247273,210,1965,204,5493
Generalization,m103,4,9.648407565168084,2.42565701025044,174,752,196,4506
Generalization,m104,4,9.191637820935238,1.2098209701562945,163,700,161,3703
