task,mouse,n_sessions,mean_oncue_share,sem_oncue_share,on_pokes,off_pokes,on_licks,off_licks
Generalization,m90,4,8.84752734037267,1.2007807156472017,175,889,167,4952
Generalization,m92,4,4.957018482567106,1.678698552155892,112,503,104,4185
Generalization,m93,4,6.300435937670938,1.2301295338663367,145,543,140,3890
Generalization,m97,4,9.392851543071792,2.0705653100397132,142,552,134,3595
Generalization,m98,4,8.485791731635887,1.5906440515381242,144,677,138,4328
Generalization,m100,4,10.119532214956498,1.6231763229699099,193,838,180,4855
Generalization,m101,4,5.790770817657838,0.9653456060202482,137,746,119,4611
Generalization,m102,4,9.242059359806468,2.5812417255247273,210,1965,204,5493
Generalization,m103,4,9.648407565168084,2.42565701025044,174,752,196,4506
Generalization,m104,4,9.191637820935238,1.2098209701562945,163,700,161,3703
