subject,session,training_day,n_trials,n_hits,hit_rate,lick_hit_rate,total_pokes,pokes_during_tone,n_poked_licked,n_poked_nolick
m100_AppetitiveTone_150,1,1,61,7,11.475409836065573,13.775510204081632,179,17,6,9
m100_AppetitiveTone_150,2,2,62,17,27.419354838709676,29.493087557603687,120,18,16,0
m100_AppetitiveTone_150,7,3,61,14,22.950819672131146,29.098360655737704,113,21,15,3
m100_AppetitiveTone_150,10,4,61,17,27.868852459016395,21.765913757700204,317,35,18,12
m101_AppetitiveTone_150,1,1,60,3,5.0,13.48314606741573,123,15,3,11
m101_AppetitiveTone_150,4,2,61,1,1.639344262295082,2.0833333333333335,90,24,1,15
m101_AppetitiveTone_150,5,3,61,0,0.0,0.0,54,13,1,9
m101_AppetitiveTone_150,6,4,61,2,3.278688524590164,9.278350515463918,94,13,2,7
m101_AppetitiveTone_150,7,5,61,7,11.475409836065573,25.69832402234637,62,15,7,2
m101_AppetitiveTone_150,8,6,61,5,8.19672131147541,56.36363636363637,38,10,5,3
m101_AppetitiveTone_150,10,7,61,4,6.557377049180328,14.935064935064934,48,6,4,1
m101_AppetitiveTone_150,11,8,61,4,6.557377049180328,16.0,67,11,4,5
m101_AppetitiveTone_150,12,9,61,8,13.114754098360656,16.0,83,15,8,5
m101_AppetitiveTone_150,13,10,61,4,6.557377049180328,17.391304347826086,72,10,4,5
m101_AppetitiveTone_150,14,11,60,2,3.3333333333333335,9.195402298850574,67,7,2,4
m101_AppetitiveTone_150,15,12,61,18,29.508196721311474,23.646723646723647,173,22,18,2
m102_AppetitiveTone_150,2,1,61,21,34.42622950819672,18.20940819423369,305,27,23,1
m102_AppetitiveTone_150,4,2,61,24,39.34426229508197,24.782067247820674,295,27,25,0
m102_AppetitiveTone_150,5,3,61,13,21.311475409836067,18.995633187772924,184,13,13,0
m102_AppetitiveTone_150,6,4,61,20,32.78688524590164,22.889305816135085,245,23,20,0
m102_AppetitiveTone_150,7,5,61,20,32.78688524590164,33.14415437003405,166,20,20,0
m102_AppetitiveTone_150,8,6,61,22,36.0655737704918,28.395061728395063,197,25,23,2
m102_AppetitiveTone_150,9,7,61,25,40.98360655737705,39.57055214723926,178,31,26,0
m102_AppetitiveTone_150,10,8,61,14,22.950819672131146,29.245283018867923,136,22,16,2
m102_AppetitiveTone_150,11,9,61,31,50.81967213114754,26.379310344827587,382,40,34,1
m102_AppetitiveTone_150,12,10,61,19,31.147540983606557,23.972602739726028,256,27,20,3
m102_AppetitiveTone_150,14,11,61,20,32.78688524590164,23.227383863080686,427,38,21,11
m103_AppetitiveTone_150,1,1,61,11,18.0327868852459,22.028985507246375,147,21,12,4
m103_AppetitiveTone_150,2,2,61,13,21.311475409836067,23.764705882352942,144,21,13,3
m103_AppetitiveTone_150,3,3,61,14,22.950819672131146,21.67577413479053,149,16,14,2
m103_AppetitiveTone_150,4,4,61,12,19.672131147540984,33.80952380952381,135,20,13,5
m103_AppetitiveTone_150,5,5,61,19,31.147540983606557,27.629233511586452,128,21,20,1
m103_AppetitiveTone_150,6,6,61,9,14.754098360655737,24.583333333333332,75,12,10,0
m103_AppetitiveTone_150,7,7,61,7,11.475409836065573,26.666666666666668,104,19,7,12
m103_AppetitiveTone_150,8,8,61,8,13.114754098360656,28.431372549019606,90,15,8,3
m103_AppetitiveTone_150,9,9,61,11,18.0327868852459,30.63063063063063,73,16,12,2
m103_AppetitiveTone_150,10,10,61,8,13.114754098360656,26.548672566371682,69,11,8,1
m103_AppetitiveTone_150,11,11,61,4,6.557377049180328,28.37837837837838,57,15,4,5
m103_AppetitiveTone_150,12,12,61,22,36.0655737704918,25.569176882661996,213,30,27,0
m104_AppetitiveTone_150,1,1,60,2,3.3333333333333335,5.990783410138249,56,8,2,3
m104_AppetitiveTone_150,2,2,60,16,26.666666666666668,26.470588235294116,154,21,17,3
m104_AppetitiveTone_150,3,3,60,9,15.0,15.584415584415584,128,18,9,4
m104_AppetitiveTone_150,4,4,60,11,18.333333333333332,26.490066225165563,157,16,12,2
m104_AppetitiveTone_150,5,5,60,12,20.0,26.79127725856698,109,15,11,1
m104_AppetitiveTone_150,6,6,60,3,5.0,12.598425196850394,102,8,3,4
m104_AppetitiveTone_150,7,7,60,9,15.0,19.186046511627907,107,12,9,2
m104_AppetitiveTone_150,8,8,60,5,8.333333333333334,26.486486486486488,114,9,5,3
m104_AppetitiveTone_150,9,9,60,3,5.0,18.81188118811881,121,19,4,11
m104_AppetitiveTone_150,10,10,60,13,21.666666666666668,32.56880733944954,121,23,15,5
m104_AppetitiveTone_150,11,11,60,17,28.333333333333332,32.4009324009324,160,21,18,3
m104_AppetitiveTone_150,12,12,60,7,11.666666666666666,18.42105263157895,119,18,8,7
m90_AppetitiveTone_150,1,1,60,13,21.666666666666668,17.678381256656017,148,24,17,3
m90_AppetitiveTone_150,2,2,60,19,31.666666666666668,33.696969696969695,136,25,20,3
m90_AppetitiveTone_150,3,3,60,10,16.666666666666668,44.85981308411215,68,16,10,4
m90_AppetitiveTone_150,4,4,60,7,11.666666666666666,30.656934306569344,42,8,7,1
m90_AppetitiveTone_150,5,5,60,11,18.333333333333332,31.8407960199005,73,14,12,1
m90_AppetitiveTone_150,6,6,60,22,36.666666666666664,23.27718223583461,193,23,23,0
m90_AppetitiveTone_150,7,7,60,27,45.0,22.678843226788434,234,33,29,1
m90_AppetitiveTone_150,8,8,60,16,26.666666666666668,30.742049469964666,107,22,19,3
m90_AppetitiveTone_150,10,9,60,15,25.0,33.05785123966942,82,20,18,1
m90_AppetitiveTone_150,11,10,60,26,43.333333333333336,30.92979127134725,179,27,27,0
m90_AppetitiveTone_150,12,11,60,7,11.666666666666666,34.146341463414636,54,15,7,6
m90_AppetitiveTone_150,13,12,60,11,18.333333333333332,34.895833333333336,81,18,12,3
m90_AppetitiveTone_150,15,13,60,15,25.0,24.37619961612284,157,17,15,1
m92_AppetitiveTone_150,1,1,60,9,15.0,25.766871165644172,95,12,10,0
m92_AppetitiveTone_150,2,2,60,2,3.3333333333333335,14.285714285714286,48,7,2,5
m92_AppetitiveTone_150,3,3,60,1,1.6666666666666667,19.565217391304348,31,6,1,3
m92_AppetitiveTone_150,4,4,60,7,11.666666666666666,33.72093023255814,61,7,7,0
m92_AppetitiveTone_150,5,5,60,0,0.0,0.0,13,1,0,1
m92_AppetitiveTone_150,6,6,60,3,5.0,27.61904761904762,88,11,3,6
m92_AppetitiveTone_150,9,7,60,9,15.0,25.129533678756477,111,26,9,11
m92_AppetitiveTone_150,11,8,60,9,15.0,19.77777777777778,194,21,11,5
m92_AppetitiveTone_150,12,9,60,11,18.333333333333332,35.47008547008547,65,16,12,3
m92_AppetitiveTone_150,14,10,60,3,5.0,33.92857142857143,29,5,3,1
m92_AppetitiveTone_150,15,11,60,12,20.0,28.280254777070063,72,14,13,1
m93__AppetitiveTone_150,1,1,59,20,33.898305084745765,28.72467222884386,154,29,23,3
m93__AppetitiveTone_150,2,2,60,13,21.666666666666668,32.11920529801324,84,15,14,0
m93__AppetitiveTone_150,3,3,60,8,13.333333333333334,26.881720430107528,58,8,8,0
m93__AppetitiveTone_150,4,4,60,5,8.333333333333334,27.272727272727273,35,5,5,0
m93__AppetitiveTone_150,5,5,60,17,28.333333333333332,28.972868217054263,152,18,18,0
m93__AppetitiveTone_150,6,6,60,13,21.666666666666668,28.47457627118644,78,13,13,0
m93__AppetitiveTone_150,7,7,65,15,23.076923076923077,41.14832535885167,56,16,15,0
m93__AppetitiveTone_150,8,8,60,11,18.333333333333332,24.126984126984127,88,12,12,0
m93__AppetitiveTone_150,9,9,63,11,17.46031746031746,22.54901960784314,91,12,12,0
m93__AppetitiveTone_150,10,10,60,9,15.0,24.242424242424242,78,9,9,0
m93__AppetitiveTone_150,11,11,60,9,15.0,27.160493827160494,61,11,9,1
m93__AppetitiveTone_150,12,12,60,6,10.0,24.752475247524753,40,8,6,2
m97_AppetitiveTone_150,1,1,60,12,20.0,29.657794676806084,95,16,13,2
m97_AppetitiveTone_150,2,2,60,22,36.666666666666664,23.909249563699827,172,28,23,2
m97_AppetitiveTone_150,3,3,60,25,41.666666666666664,29.12280701754386,173,26,26,0
m97_AppetitiveTone_150,4,4,60,22,36.666666666666664,22.782608695652176,167,27,24,2
m97_AppetitiveTone_150,5,5,60,25,41.666666666666664,27.591463414634145,221,25,25,0
m97_AppetitiveTone_150,6,6,60,32,53.333333333333336,22.278056951423785,240,31,31,0
m97_AppetitiveTone_150,7,7,60,28,46.666666666666664,30.310262529832936,192,28,28,0
m97_AppetitiveTone_150,8,8,60,33,55.0,28.925619834710744,242,36,36,0
m98_AppetitiveTone_150,1,1,61,6,9.836065573770492,21.405228758169933,95,13,6,5
m98_AppetitiveTone_150,2,2,61,4,6.557377049180328,17.346938775510203,86,5,4,1
m98_AppetitiveTone_150,3,3,61,1,1.639344262295082,11.363636363636363,30,8,1,7
m98_AppetitiveTone_150,4,4,61,3,4.918032786885246,12.994350282485875,57,3,3,0
m98_AppetitiveTone_150,5,5,61,8,13.114754098360656,30.476190476190474,38,9,8,1
m98_AppetitiveTone_150,6,6,61,1,1.639344262295082,7.619047619047619,44,3,1,1
m98_AppetitiveTone_150,7,7,61,0,0.0,0.0,18,2,0,2
