mouse,session_num,subject,raw_session,n_trials,n_engaged,hits,miss,hit_rate,lick_hit_rate,engaged_rate,acc_given_engaged
m90,1,m90_GenLight_400,1,61,27,21,6,34.42622950819672,40.0,44.26229508196721,77.77777777777777
m90,2,m90_GenLight_400,2,60,43,41,2,68.33333333333333,33.493975903614455,71.66666666666667,95.34883720930233
m90,3,m90_GenLight_400_2,2,61,51,42,9,68.85245901639344,36.666666666666664,83.60655737704919,82.3529411764706
m90,4,m90_GenLight_400_2,3,61,52,47,5,77.04918032786885,46.724890829694324,85.24590163934427,90.38461538461539
m92,1,m92_GenLight_400,1,61,7,6,1,9.836065573770492,15.021459227467812,11.475409836065573,85.71428571428571
m92,2,m92_GenLight_400,2,60,19,18,1,30.0,28.073394495412845,31.666666666666668,94.73684210526316
m92,3,m92_GenLight_400_2,1,61,36,32,4,54.09836065573771,43.258426966292134,59.01639344262295,88.88888888888889
m92,4,m92_GenLight_400_2,2,61,46,43,3,70.49180327868852,42.29249011857708,75.40983606557377,93.47826086956522
m93,1,m93_GenLight_400,1,61,27,24,3,39.34426229508197,36.52173913043478,44.26229508196721,88.88888888888889
m93,2,m93_GenLight_400,2,60,23,22,1,36.666666666666664,34.7926267281106,38.333333333333336,95.65217391304348
m93,3,m93_GenLight_400_2,1,61,41,41,0,67.21311475409836,47.332185886402755,67.21311475409836,100.0
m93,4,m93_GenLight_400_2,2,61,52,47,5,77.04918032786885,58.30039525691699,85.24590163934427,90.38461538461539
m97,1,m97_GenLight_400,1,61,30,25,5,40.98360655737705,27.833333333333332,49.18032786885246,83.33333333333333
m97,2,m97_GenLight_400,2,60,41,37,4,61.666666666666664,32.67186392629341,68.33333333333333,90.2439024390244
m97,3,m97_GenLight_400_2,1,61,25,22,3,36.0655737704918,65.47619047619048,40.98360655737705,88.0
m97,4,m97_GenLight_400_2,2,61,43,37,6,62.295081967213115,59.30232558139535,70.49180327868852,86.04651162790698
m98,1,m98_GenLight_400,1,61,35,31,4,50.81967213114754,36.99346405228758,57.377049180327866,88.57142857142857
m98,2,m98_GenLight_400_2,2,61,32,28,4,45.90163934426229,45.862552594670404,52.459016393442624,87.5
m98,3,m98_GenLight_400_2,3,61,44,41,3,67.21311475409836,35.22205206738132,72.1311475409836,93.18181818181819
m98,4,m98_GenLight_400,3,60,27,27,0,45.0,43.69942196531792,45.0,100.0
m100,1,m100_GenLight_400,1,61,42,36,6,59.01639344262295,36.26198083067093,68.85245901639344,85.71428571428571
m100,2,m100_GenLight_400,2,60,44,31,13,51.666666666666664,36.490008688097305,73.33333333333333,70.45454545454545
m100,3,m100_GenLight_400_2,1,61,52,48,4,80.32786885245902,37.484433374844336,85.24590163934427,92.3076923076923
m100,4,m100_GenLight_400_2,2,61,48,44,4,72.1311475409836,54.79744136460555,78.68852459016394,91.66666666666667
m101,1,m101_GenLight_400,1,61,14,12,2,19.672131147540984,25.901639344262296,22.950819672131146,85.71428571428571
m101,2,m101_GenLight_400,2,60,28,23,5,38.333333333333336,29.59641255605381,46.666666666666664,82.14285714285714
m101,3,m101_GenLight_400_2,1,61,41,37,4,60.65573770491803,39.006211180124225,67.21311475409836,90.2439024390244
m101,4,m101_GenLight_400_2,2,61,34,31,3,50.81967213114754,38.26714801444043,55.73770491803279,91.17647058823529
m102,1,m102_GenLight_400,1,61,42,36,6,59.01639344262295,37.0,68.85245901639344,85.71428571428571
m102,2,m102_GenLight_400,2,60,53,50,3,83.33333333333333,30.484037075180225,88.33333333333333,94.33962264150944
m102,3,m102_GenLight_400_2,1,61,56,56,0,91.80327868852459,31.0239651416122,91.80327868852459,100.0
m102,4,m102_GenLight_400_2,2,61,59,55,4,90.1639344262295,82.27424749163879,96.72131147540983,93.22033898305085
m103,1,m103_GenLight_400,1,61,40,38,2,62.295081967213115,28.96698615548456,65.57377049180327,95.0
m103,2,m103_GenLight_400_2,1,61,49,42,7,68.85245901639344,38.73456790123457,80.32786885245902,85.71428571428571
m103,3,m103_GenLight_400_2,2,61,42,36,6,59.01639344262295,59.82905982905983,68.85245901639344,85.71428571428571
m103,4,m103_GenLight_400_2,4,61,36,32,4,52.459016393442624,55.6786703601108,59.01639344262295,88.88888888888889
m104,1,m104_GenLight_400,1,61,41,39,2,63.9344262295082,45.79124579124579,67.21311475409836,95.1219512195122
m104,2,m104_GenLight_400_2,1,61,45,40,5,65.57377049180327,40.09146341463415,73.77049180327869,88.88888888888889
m104,3,m104_GenLight_400_2,2,61,30,28,2,45.90163934426229,57.088122605363985,49.18032786885246,93.33333333333333
m104,4,m104_GenLight_400_2,4,61,42,37,5,60.65573770491803,51.89873417721519,68.85245901639344,88.0952380952381
