task,trial_index,n_sessions_reaching,pct_punished,mean_false_alarms
AppetitveTaskReal,1,116,46.89,0.894
AppetitveTaskReal,2,116,48.48,0.972
AppetitveTaskReal,3,116,54.66,1.298
AppetitveTaskReal,4,116,57.04,1.761
AppetitveTaskReal,5,116,59.27,1.492
AppetitveTaskReal,6,116,65.94,1.776
AppetitveTaskReal,7,116,66.77,2.147
AppetitveTaskReal,8,116,64.67,1.855
AppetitveTaskReal,9,116,61.82,1.684
AppetitveTaskReal,10,116,65.09,1.786
AppetitveTaskReal,11,116,62.45,1.862
AppetitveTaskReal,12,116,58.77,1.784
AppetitveTaskReal,13,116,60.23,1.721
AppetitveTaskReal,14,116,68.22,1.798
AppetitveTaskReal,15,116,53.3,1.739
AppetitveTaskReal,16,116,59.88,1.865
AppetitveTaskReal,17,116,54.39,1.601
AppetitveTaskReal,18,116,57.65,1.762
AppetitveTaskReal,19,116,54.31,1.499
AppetitveTaskReal,20,116,64.11,1.83
AppetitveTaskReal,21,116,67.75,2.054
AppetitveTaskReal,22,116,54.4,2.138
AppetitveTaskReal,23,116,49.6,1.689
AppetitveTaskReal,24,116,50.27,1.949
AppetitveTaskReal,25,116,57.39,1.659
AppetitveTaskReal,26,116,57.67,1.685
AppetitveTaskReal,27,116,68.31,2.029
AppetitveTaskReal,28,116,58.23,1.673
AppetitveTaskReal,29,116,54.95,1.635
AppetitveTaskReal,30,116,56.14,1.82
AppetitveTaskReal,31,116,59.2,1.651
AppetitveTaskReal,32,116,54.66,1.768
AppetitveTaskReal,33,116,68.25,2.289
AppetitveTaskReal,34,116,57.41,1.588
AppetitveTaskReal,35,116,63.16,1.897
AppetitveTaskReal,36,116,55.03,1.674
AppetitveTaskReal,37,116,53.76,1.541
AppetitveTaskReal,38,116,63.11,1.731
AppetitveTaskReal,39,116,55.36,1.616
AppetitveTaskReal,40,116,62.76,2.316
AppetitveTaskReal,41,116,59.7,1.903
AppetitveTaskReal,42,116,55.66,1.591
AppetitveTaskReal,43,116,61.14,2.12
AppetitveTaskReal,44,116,63.41,1.699
AppetitveTaskReal,45,116,60.52,1.756
AppetitveTaskReal,46,116,59.62,1.452
AppetitveTaskReal,47,116,61.98,1.761
AppetitveTaskReal,48,116,61.98,1.979
AppetitveTaskReal,49,116,47.65,1.449
AppetitveTaskReal,50,116,63.64,2.056
AppetitveTaskReal,51,116,56.05,1.593
AppetitveTaskReal,52,116,61.22,1.758
AppetitveTaskReal,53,116,63.45,1.679
AppetitveTaskReal,54,116,59.05,1.684
AppetitveTaskReal,55,116,55.91,1.756
AppetitveTaskReal,56,116,58.64,1.568
AppetitveTaskReal,57,116,55.36,1.418
AppetitveTaskReal,58,116,56.27,1.528
AppetitveTaskReal,59,116,56.33,1.692
AppetitveTaskReal,60,115,25.61,1.081
AppetitveTaskReal,61,61,18.75,0.188
AppetitveTaskReal,62,5,12.5,0.25
AppetitveTaskReal,63,2,0.0,0.0
AppetitveTaskReal,64,1,0.0,0.0
AppetitveTaskReal,65,1,0.0,0.0
Generalization,1,40,80.0,3.475
Generalization,2,40,80.0,3.25
Generalization,3,40,82.5,3.775
Generalization,4,40,90.0,5.225
Generalization,5,40,82.5,3.85
Generalization,6,40,97.5,5.375
Generalization,7,40,90.0,4.2
Generalization,8,40,90.0,3.45
Generalization,9,40,77.5,4.2
Generalization,10,40,87.5,4.15
Generalization,11,40,82.5,3.975
Generalization,12,40,80.0,5.2
Generalization,13,40,77.5,4.725
Generalization,14,40,80.0,4.675
Generalization,15,40,85.0,3.15
Generalization,16,40,80.0,5.175
Generalization,17,40,72.5,3.55
Generalization,18,40,80.0,4.725
Generalization,19,40,67.5,5.075
Generalization,20,40,72.5,4.125
Generalization,21,40,77.5,3.225
Generalization,22,40,70.0,2.525
Generalization,23,40,80.0,2.825
Generalization,24,40,75.0,5.275
Generalization,25,40,80.0,3.7
Generalization,26,40,77.5,2.8
Generalization,27,40,80.0,3.125
Generalization,28,40,72.5,2.875
Generalization,29,40,67.5,3.175
Generalization,30,40,65.0,3.175
Generalization,31,40,85.0,2.0
Generalization,32,40,65.0,2.45
Generalization,33,40,75.0,2.625
Generalization,34,40,75.0,3.3
Generalization,35,40,77.5,3.6
Generalization,36,40,85.0,3.0
Generalization,37,40,72.5,2.65
Generalization,38,40,65.0,2.35
Generalization,39,40,80.0,3.5
Generalization,40,40,67.5,2.1
Generalization,41,40,72.5,3.375
Generalization,42,40,77.5,2.4
Generalization,43,40,62.5,2.3
Generalization,44,40,70.0,2.525
Generalization,45,40,55.0,1.825
Generalization,46,40,70.0,1.975
Generalization,47,40,70.0,2.25
Generalization,48,40,67.5,1.25
Generalization,49,40,70.0,1.9
Generalization,50,40,72.5,2.15
Generalization,51,40,70.0,2.25
Generalization,52,40,65.0,2.075
Generalization,53,40,80.0,2.675
Generalization,54,40,82.5,2.5
Generalization,55,40,72.5,2.625
Generalization,56,40,67.5,2.275
Generalization,57,40,65.0,1.55
Generalization,58,40,60.0,1.75
Generalization,59,40,55.0,1.175
Generalization,60,40,27.5,0.475
Generalization,61,32,2.5,0.05
Generalization,62,1,0.0,0.0
