task,mouse,session,date,n_trials,valid
appetitive,m90,1,2025-11-09,60,yes
appetitive,m90,2,2025-11-11,60,yes
appetitive,m90,3,2025-11-12,60,yes
appetitive,m90,4,2025-11-13,60,yes
appetitive,m90,5,2025-11-16,60,yes
appetitive,m90,6,2025-11-18,60,yes
appetitive,m90,7,2025-11-19,60,yes
appetitive,m90,8,2025-11-23,60,yes
appetitive,m90,9,2025-11-26,61,yes
appetitive,m90,10,2025-12-02,60,yes
appetitive,m90,11,2025-12-07,60,yes
appetitive,m90,12,2025-12-09,60,yes
appetitive,m90,13,2025-12-16,60,yes
appetitive,m92,1,2025-11-09,60,yes
appetitive,m92,2,2025-11-11,60,yes
appetitive,m92,3,2025-11-12,60,yes
appetitive,m92,4,2025-11-13,60,yes
appetitive,m92,5,2025-11-16,60,yes
appetitive,m92,6,2025-11-18,60,yes
appetitive,m92,7,2025-11-19,62,yes
appetitive,m92,8,2025-11-24,60,yes
appetitive,m92,9,2025-11-26,46,no
appetitive,m92,10,2025-12-02,60,yes
appetitive,m92,11,2025-12-07,60,yes
appetitive,m92,12,2025-12-09,60,yes
appetitive,m92,13,2025-12-17,60,yes
appetitive,m93,1,2025-11-10,59,yes
appetitive,m93,2,2025-11-11,60,yes
appetitive,m93,3,2025-11-12,60,yes
appetitive,m93,4,2025-11-13,60,yes
appetitive,m93,5,2025-11-17,60,yes
appetitive,m93,6,2025-11-18,60,yes
appetitive,m93,7,2025-11-19,65,yes
appetitive,m93,8,2025-11-24,60,yes
appetitive,m93,9,2025-12-01,63,yes
appetitive,m93,10,2025-12-03,60,yes
appetitive,m93,11,2025-12-07,60,yes
appetitive,m93,12,2025-12-10,60,yes
appetitive,m97,1,2025-11-10,60,yes
appetitive,m97,2,2025-11-11,60,yes
appetitive,m97,3,2025-11-12,60,yes
appetitive,m97,4,2025-11-13,60,yes
appetitive,m97,5,2025-11-17,60,yes
appetitive,m97,6,2025-11-18,60,yes
appetitive,m97,7,2025-11-20,60,yes
appetitive,m97,8,2025-11-24,60,yes
appetitive,m98,1,2025-11-10,61,yes
appetitive,m98,2,2025-11-11,61,yes
appetitive,m98,3,2025-11-12,61,yes
appetitive,m98,4,2025-11-13,61,yes
appetitive,m98,5,2025-11-17,61,yes
appetitive,m98,6,2025-11-18,61,yes
appetitive,m98,7,2025-11-20,61,yes
appetitive,m98,8,2025-11-24,61,yes
appetitive,m98,9,2025-12-01,61,yes
appetitive,m98,10,2025-12-03,61,yes
appetitive,m98,11,2025-12-08,61,yes
appetitive,m98,12,2025-12-15,61,yes
appetitive,m100,1,2025-11-10,61,yes
appetitive,m100,2,2025-11-11,61,yes
appetitive,m100,3,2025-11-12,61,yes
appetitive,m100,4,2025-11-13,61,yes
appetitive,m100,5,2025-11-17,61,yes
appetitive,m100,6,2025-11-19,61,yes
appetitive,m100,7,2025-11-23,62,yes
appetitive,m100,8,2025-11-25,61,yes
appetitive,m100,9,2025-12-01,61,yes
appetitive,m100,10,2025-12-03,61,yes
appetitive,m100,11,2025-12-08,61,yes
appetitive,m100,12,2025-12-10,4,no
appetitive,m100,13,2025-12-15,61,yes
appetitive,m101,1,2025-11-10,60,yes
appetitive,m101,2,2025-11-12,61,yes
appetitive,m101,3,2025-11-13,61,yes
appetitive,m101,4,2025-11-16,61,yes
appetitive,m101,5,2025-11-18,61,yes
appetitive,m101,6,2025-11-19,61,yes
appetitive,m101,7,2025-11-23,62,yes
appetitive,m101,8,2025-11-25,61,yes
appetitive,m101,9,2025-12-02,61,yes
appetitive,m101,10,2025-12-03,61,yes
appetitive,m101,11,2025-12-08,60,yes
appetitive,m101,12,2025-12-15,61,yes
appetitive,m102,1,2025-11-10,61,yes
appetitive,m102,2,2025-11-11,42,no
appetitive,m102,3,2025-11-12,61,yes
appetitive,m102,4,2025-11-13,61,yes
appetitive,m102,5,2025-11-17,61,yes
appetitive,m102,6,2025-11-19,61,yes
appetitive,m102,7,2025-11-23,61,yes
appetitive,m102,8,2025-11-25,61,yes
appetitive,m102,9,2025-12-02,61,yes
appetitive,m102,10,2025-12-03,61,yes
appetitive,m102,11,2025-12-08,61,yes
appetitive,m102,12,2025-12-16,35,no
appetitive,m102,13,2025-12-17,61,yes
appetitive,m103,1,2025-11-10,61,yes
appetitive,m103,2,2025-11-12,61,yes
appetitive,m103,3,2025-11-13,61,yes
appetitive,m103,4,2025-11-16,61,yes
appetitive,m103,5,2025-11-18,61,yes
appetitive,m103,6,2025-11-19,61,yes
appetitive,m103,7,2025-11-23,61,yes
