task,mouse,engagement_first,competence_first,engagement_last,competence_last
AppetitveTaskReal,m90,17.7,65.0,24.4,87.5
AppetitveTaskReal,m92,25.8,90.0,28.3,85.7
AppetitveTaskReal,m93,28.7,76.9,24.8,75.0
AppetitveTaskReal,m97,29.7,80.0,28.9,91.7
AppetitveTaskReal,m98,21.4,54.5,44.8,100.0
AppetitveTaskReal,m100,13.8,40.0,21.8,56.7
AppetitveTaskReal,m101,13.5,21.4,23.6,90.0
AppetitveTaskReal,m102,18.2,87.5,23.2,62.5
AppetitveTaskReal,m103,22.0,68.8,25.6,81.5
AppetitveTaskReal,m104,6.0,40.0,18.4,46.7
