task,mouse,n_sessions,mean_trial_engagement,pct_sessions_engaged,mouse_engaged,mean_catch_rate
AppetitveTaskReal,m90,13,30.22,69,yes,2.31
AppetitveTaskReal,m92,11,23.96,55,no,0.76
AppetitveTaskReal,m93,12,28.04,67,yes,0.97
AppetitveTaskReal,m97,8,26.82,62,yes,1.88
AppetitveTaskReal,m98,12,22.76,42,no,0.14
AppetitveTaskReal,m100,4,23.53,50,no,0.82
AppetitveTaskReal,m101,12,17.01,8,no,0.41
AppetitveTaskReal,m102,11,26.26,45,yes,1.64
AppetitveTaskReal,m103,12,26.64,58,yes,1.78
AppetitveTaskReal,m104,12,21.82,50,no,0.97
