task,mouse,engagement_first,competence_first,engagement_last,competence_last
AppetitveTaskReal,m90,17.7,65.0,24.4,87.5
AppetitveTaskReal,m92,25.8,90.0,28.3,85.7
AppetitveTaskReal,m93,28.7,76.9,24.8,75.0
AppetitveTaskReal,m97,29.7,80.0,28.9,91.7
AppetitveTaskReal,m98,21.4,54.5,44.8,100.0
AppetitveTaskReal,m100,13.8,40.0,21.8,56.7
AppetitveTaskReal,m101,13.5,21.4,23.6,90.0
AppetitveTaskReal,m102,18.2,87.5,23.2,62.5
AppetitveTaskReal,m103,22.0,68.8,25.6,81.5
AppetitveTaskReal,m104,6.0,40.0,18.4,46.7
Generalization,m90,40.0,77.8,46.7,90.4
Generalization,m92,15.0,85.7,42.3,93.5
Generalization,m93,36.5,88.9,58.3,90.4
Generalization,m97,27.8,83.3,59.3,86.0
Generalization,m98,37.0,88.6,43.7,100.0
Generalization,m100,36.3,85.7,54.8,91.7
Generalization,m101,25.9,85.7,38.3,91.2
Generalization,m102,37.0,85.7,82.3,93.2
Generalization,m103,29.0,95.0,55.7,88.9
Generalization,m104,45.8,95.1,51.9,88.1
