task,mouse,n_sessions,mean_trial_engagement,pct_sessions_engaged,mouse_engaged,mean_catch_rate
AppetitveTaskReal,m90,13,30.22,69,yes,2.31
AppetitveTaskReal,m92,11,23.96,55,no,0.76
AppetitveTaskReal,m93,12,28.04,67,yes,0.97
AppetitveTaskReal,m97,8,26.82,62,yes,1.88
AppetitveTaskReal,m98,12,22.76,42,no,0.14
AppetitveTaskReal,m100,4,23.53,50,no,0.82
AppetitveTaskReal,m101,12,17.01,8,no,0.41
AppetitveTaskReal,m102,11,26.26,45,yes,1.64
AppetitveTaskReal,m103,12,26.64,58,yes,1.78
AppetitveTaskReal,m104,12,21.82,50,no,0.97
Generalization,m90,4,39.22,50,yes,7.39
Generalization,m92,4,32.16,50,no,3.29
Generalization,m93,4,44.24,50,yes,3.70
Generalization,m97,4,46.32,50,yes,4.93
Generalization,m98,4,40.44,50,yes,2.87
Generalization,m100,4,41.26,25,yes,5.34
Generalization,m101,4,33.19,25,no,4.54
Generalization,m102,4,45.20,25,yes,3.70
Generalization,m103,4,45.80,75,yes,6.97
Generalization,m104,4,48.72,100,yes,4.10
