task,mouse,session,n_trials,n_hit_licks,n_fa_licks,trial_engagement,engaged,n_oncue_lick_rew,n_oncue_lick_norew,oncue_reward_rate,n_catch,catch_rate,accuracy_when_engaged
AppetitveTaskReal,m90,1,60,166,773,17.68,no,22,48,31.43,3,5.00,65.0
AppetitveTaskReal,m90,2,60,278,547,33.70,yes,195,8,96.06,1,1.67,82.6
AppetitveTaskReal,m90,3,60,144,177,44.86,yes,110,0,100.00,0,0.00,71.4
AppetitveTaskReal,m90,4,60,84,190,30.66,yes,68,0,100.00,0,0.00,87.5
AppetitveTaskReal,m90,5,60,128,274,31.84,yes,98,10,90.74,1,1.67,84.6
AppetitveTaskReal,m90,6,60,304,1002,23.28,no,232,2,99.15,1,1.67,95.7
AppetitveTaskReal,m90,7,60,298,1016,22.68,no,232,14,94.31,2,3.33,90.0
AppetitveTaskReal,m90,8,60,174,392,30.74,yes,162,16,91.01,3,5.00,72.7
AppetitveTaskReal,m90,9,60,160,324,33.06,yes,144,22,86.75,3,5.00,78.9
AppetitveTaskReal,m90,10,60,326,728,30.93,yes,262,10,96.32,1,1.67,96.3
AppetitveTaskReal,m90,11,60,56,108,34.15,yes,56,0,100.00,0,0.00,53.8
AppetitveTaskReal,m90,12,60,134,250,34.90,yes,102,4,96.23,1,1.67,73.3
AppetitveTaskReal,m90,13,60,254,788,24.38,no,166,8,95.40,2,3.33,87.5
AppetitveTaskReal,m92,1,60,252,726,25.77,yes,17,54,23.94,1,1.67,90.0
AppetitveTaskReal,m92,2,60,22,132,14.29,no,12,0,100.00,0,0.00,28.6
AppetitveTaskReal,m92,3,60,18,74,19.57,no,10,0,100.00,0,0.00,25.0
AppetitveTaskReal,m92,4,60,116,228,33.72,yes,56,0,100.00,0,0.00,100.0
AppetitveTaskReal,m92,5,60,0,18,0.00,no,0,0,,0,0.00,0.0
AppetitveTaskReal,m92,6,60,58,152,27.62,yes,26,0,100.00,0,0.00,33.3
AppetitveTaskReal,m92,7,60,194,578,25.13,no,129,0,100.00,0,0.00,45.0
AppetitveTaskReal,m92,8,60,178,722,19.78,no,105,10,91.30,2,3.33,56.2
AppetitveTaskReal,m92,9,60,166,302,35.47,yes,131,10,92.91,1,1.67,73.3
AppetitveTaskReal,m92,10,60,38,74,33.93,yes,31,0,100.00,0,0.00,75.0
AppetitveTaskReal,m92,11,60,222,563,28.28,yes,136,4,97.14,1,1.67,85.7
AppetitveTaskReal,m93,1,59,241,598,28.72,yes,20,3,86.96,3,5.08,76.9
AppetitveTaskReal,m93,2,60,194,410,32.12,yes,131,4,97.04,1,1.67,92.9
AppetitveTaskReal,m93,3,60,100,272,26.88,yes,62,0,100.00,0,0.00,100.0
AppetitveTaskReal,m93,4,60,78,208,27.27,yes,50,0,100.00,0,0.00,100.0
AppetitveTaskReal,m93,5,60,299,733,28.97,yes,155,6,96.27,1,1.67,94.4
AppetitveTaskReal,m93,6,60,168,422,28.47,yes,120,0,100.00,0,0.00,100.0
AppetitveTaskReal,m93,7,65,172,246,41.15,yes,123,0,100.00,0,0.00,100.0
AppetitveTaskReal,m93,8,60,152,478,24.13,no,98,6,94.23,1,1.67,91.7
AppetitveTaskReal,m93,9,63,138,474,22.55,no,99,8,92.52,1,1.59,91.7
AppetitveTaskReal,m93,10,60,128,400,24.24,no,100,0,100.00,0,0.00,100.0
AppetitveTaskReal,m93,11,60,88,236,27.16,yes,82,0,100.00,0,0.00,90.0
AppetitveTaskReal,m93,12,60,50,152,24.75,no,48,0,100.00,0,0.00,75.0
AppetitveTaskReal,m97,1,60,156,370,29.66,yes,12,1,92.31,1,1.67,80.0
AppetitveTaskReal,m97,2,60,274,872,23.91,no,214,4,98.17,1,1.67,88.0
AppetitveTaskReal,m97,3,60,332,808,29.12,yes,261,8,97.03,1,1.67,96.2
AppetitveTaskReal,m97,4,60,262,888,22.78,no,227,22,91.16,3,5.00,80.8
