task,mouse,session,n_trials,n_hit_licks,n_fa_licks,trial_engagement,engaged,n_oncue_lick_rew,n_oncue_lick_norew,oncue_reward_rate,n_catch,catch_rate,accuracy_when_engaged
Generalization,m90,1,61,268,402,40.00,yes,21,2,91.30,3,4.92,77.8
Generalization,m90,2,60,556,1104,33.49,no,40,2,95.24,2,3.33,95.3
Generalization,m90,3,61,561,969,36.67,no,42,8,84.00,8,13.11,82.4
Generalization,m90,4,61,535,610,46.72,yes,47,5,90.38,5,8.20,90.4
Generalization,m92,1,61,70,396,15.02,no,6,0,100.00,0,0.00,85.7
Generalization,m92,2,60,306,784,28.07,no,17,1,94.44,1,1.67,94.7
Generalization,m92,3,61,616,808,43.26,yes,30,4,88.24,4,6.56,88.9
Generalization,m92,4,61,535,730,42.29,yes,43,3,93.48,3,4.92,93.5
Generalization,m93,1,61,336,584,36.52,no,22,2,91.67,3,4.92,88.9
Generalization,m93,2,60,302,566,34.79,no,20,1,95.24,1,1.67,95.7
Generalization,m93,3,61,550,612,47.33,yes,42,0,100.00,0,0.00,100.0
Generalization,m93,4,61,590,422,58.30,yes,48,5,90.57,5,8.20,90.4
Generalization,m97,1,61,334,866,27.83,no,24,5,82.76,4,6.56,83.3
Generalization,m97,2,60,461,950,32.67,no,37,2,94.87,2,3.33,90.2
Generalization,m97,3,61,220,116,65.48,yes,22,1,95.65,1,1.64,88.0
Generalization,m97,4,61,408,280,59.30,yes,38,5,88.37,5,8.20,86.0
Generalization,m98,1,61,566,964,36.99,no,31,3,91.18,3,4.92,88.6
Generalization,m98,2,61,327,386,45.86,yes,28,1,96.55,1,1.64,87.5
Generalization,m98,3,61,460,846,35.22,no,43,3,93.48,3,4.92,93.2
Generalization,m98,4,60,378,487,43.70,yes,29,0,100.00,0,0.00,100.0
Generalization,m100,1,61,454,798,36.26,no,36,10,78.26,4,6.56,85.7
Generalization,m100,2,60,420,731,36.49,no,32,2,94.12,2,3.33,70.5
Generalization,m100,3,61,602,1004,37.48,no,49,4,92.45,4,6.56,92.3
Generalization,m100,4,61,514,424,54.80,yes,44,3,93.62,3,4.92,91.7
Generalization,m101,1,61,158,452,25.90,no,12,1,92.31,1,1.64,85.7
Generalization,m101,2,60,396,942,29.60,no,23,10,69.70,5,8.33,82.1
Generalization,m101,3,61,628,982,39.01,yes,37,3,92.50,3,4.92,90.2
Generalization,m101,4,61,424,684,38.27,no,31,2,93.94,2,3.28,91.2
Generalization,m102,1,61,296,504,37.00,no,35,3,92.11,3,4.92,85.7
Generalization,m102,2,60,592,1350,30.48,no,50,2,96.15,2,3.33,94.3
Generalization,m102,3,61,712,1583,31.02,no,56,0,100.00,0,0.00,100.0
Generalization,m102,4,61,492,106,82.27,yes,54,4,93.10,4,6.56,93.2
Generalization,m103,1,61,544,1334,28.97,no,38,2,95.00,2,3.28,95.0
Generalization,m103,2,61,502,794,38.73,yes,42,7,85.71,7,11.48,85.7
Generalization,m103,3,61,420,282,59.83,yes,36,5,87.80,5,8.20,85.7
Generalization,m103,4,61,402,320,55.68,yes,43,23,65.15,3,4.92,88.9
Generalization,m104,1,61,544,644,45.79,yes,38,2,95.00,2,3.28,95.1
Generalization,m104,2,61,526,786,40.09,yes,39,3,92.86,3,4.92,88.9
Generalization,m104,3,61,298,224,57.09,yes,29,1,96.67,1,1.64,93.3
Generalization,m104,4,61,410,380,51.90,yes,45,4,91.84,4,6.56,88.1
