task,mouse,n_trials,n_sessions,P_engage_after_reward,P_engage_after_no_reward,engagement_reward_delta,P_engage_after_engaged,P_engage_after_not_engaged,engagement_persistence_delta,P_offcue_after_reward,P_offcue_after_no_reward,offcue_reward_delta,P_rewarded_given_engaged_after_reward,P_rewarded_given_engaged_after_no_reward,competence_reward_delta,mean_prev3_reward_rate,mean_prev3_engagement_rate,reward_gated_score,state_persistence_score,final_interpretation
AppetitveTaskReal,m90,780,13,36.181,29.577,6.603,34.156,29.962,4.195,75.377,63.732,11.644,90.278,77.976,12.302,25.793,31.551,12.426,4.195,steady participator
AppetitveTaskReal,m92,660,11,30.303,14.58,15.723,24.299,14.576,9.723,57.576,42.196,15.38,75.0,60.0,15.0,10.067,16.641,23.413,9.723,strong reward-gated engagement
AppetitveTaskReal,m93,727,12,27.007,19.031,7.976,26.667,18.938,7.729,68.613,57.439,11.174,89.189,91.818,-2.629,19.161,20.979,13.563,7.729,steady participator
AppetitveTaskReal,m97,480,8,49.246,41.392,7.854,47.17,42.692,4.478,85.427,76.19,9.237,92.857,92.92,-0.063,41.702,44.456,12.473,4.478,steady participator
AppetitveTaskReal,m98,732,12,23.529,10.164,13.365,18.75,10.156,8.594,66.667,33.632,33.034,91.667,58.824,32.843,7.037,11.088,29.882,8.594,off-cue dominated after reward
AppetitveTaskReal,m100,245,4,40.741,29.947,10.794,36.709,30.247,6.462,79.63,63.102,16.528,90.909,57.143,33.766,22.199,32.573,19.058,6.462,off-cue dominated after reward
AppetitveTaskReal,m101,730,12,33.333,16.188,17.146,26.772,15.567,11.205,57.895,44.024,13.871,73.684,41.121,32.563,7.776,17.781,24.081,11.205,strong reward-gated engagement
AppetitveTaskReal,m102,671,11,50.655,32.947,17.708,50.958,31.328,19.63,79.476,64.965,14.511,91.379,84.507,6.872,34.545,39.369,24.964,19.63,strong reward-gated engagement
AppetitveTaskReal,m103,732,12,24.638,25.086,-0.448,25.946,24.673,1.273,70.29,56.873,13.417,73.529,74.658,-1.128,19.306,25.903,6.26,1.273,steady participator
AppetitveTaskReal,m104,720,12,30.841,20.799,10.042,29.193,20.293,8.9,61.682,59.401,2.281,75.758,63.2,12.558,14.948,22.646,11.183,8.9,steady participator
Generalization,m90,243,4,76.159,63.636,12.523,75.723,60.606,15.116,92.053,68.182,23.871,88.696,83.929,4.767,63.459,72.385,24.458,15.116,off-cue dominated after reward
Generalization,m92,243,4,63.0,30.216,32.784,62.963,28.244,34.719,79.0,69.065,9.935,93.651,90.476,3.175,41.98,45.676,37.752,34.719,strong reward-gated engagement
Generalization,m93,243,4,66.418,49.524,16.894,66.434,47.917,18.517,85.075,71.429,13.646,95.506,90.385,5.121,55.718,59.484,23.717,18.517,strong reward-gated engagement
Generalization,m97,243,4,62.295,52.137,10.158,63.309,49.0,14.309,72.131,62.393,9.738,89.474,85.246,4.228,50.628,58.089,15.027,14.309,steady participator
Generalization,m98,243,4,60.63,52.679,7.951,59.42,53.465,5.955,74.803,71.429,3.375,92.208,91.525,0.682,53.208,57.531,9.639,5.955,steady participator
Generalization,m100,243,4,81.25,67.089,14.161,79.032,67.925,11.108,84.375,79.747,4.628,90.0,73.585,16.415,67.155,77.615,16.475,11.108,steady participator
Generalization,m101,243,4,60.194,38.971,21.224,61.538,35.246,26.293,77.67,65.441,12.229,88.71,88.679,0.03,42.887,49.093,27.338,26.293,strong reward-gated engagement
Generalization,m102,243,4,87.31,80.952,6.357,86.667,82.759,3.908,86.802,83.333,3.469,97.093,79.412,17.681,82.148,87.936,8.092,3.908,steady participator
Generalization,m103,244,4,68.919,67.391,1.528,70.06,64.384,5.676,78.378,73.913,4.465,88.235,88.71,-0.474,62.083,69.583,3.76,5.676,steady participator
Generalization,m104,244,4,68.75,58.333,10.417,67.089,59.756,7.333,83.333,67.708,15.625,91.919,89.286,2.633,61.042,66.458,18.229,7.333,off-cue dominated after reward
