task,mouse,n_trials,n_sessions,P_engage_after_reward,P_engage_after_no_reward,engagement_reward_delta,P_engage_after_engaged,P_engage_after_not_engaged,engagement_persistence_delta,P_offcue_after_reward,P_offcue_after_no_reward,offcue_reward_delta,P_rewarded_given_engaged_after_reward,P_rewarded_given_engaged_after_no_reward,competence_reward_delta,mean_prev3_reward_rate,mean_prev3_engagement_rate,reward_gated_score,state_persistence_score,final_interpretation
Generalization,m90,243,4,76.159,63.636,12.523,75.723,60.606,15.116,92.053,68.182,23.871,88.696,83.929,4.767,63.459,72.385,24.458,15.116,off-cue dominated after reward
Generalization,m92,243,4,63.0,30.216,32.784,62.963,28.244,34.719,79.0,69.065,9.935,93.651,90.476,3.175,41.98,45.676,37.752,34.719,strong reward-gated engagement
Generalization,m93,243,4,66.418,49.524,16.894,66.434,47.917,18.517,85.075,71.429,13.646,95.506,90.385,5.121,55.718,59.484,23.717,18.517,strong reward-gated engagement
Generalization,m97,243,4,62.295,52.137,10.158,63.309,49.0,14.309,72.131,62.393,9.738,89.474,85.246,4.228,50.628,58.089,15.027,14.309,steady participator
Generalization,m98,243,4,60.63,52.679,7.951,59.42,53.465,5.955,74.803,71.429,3.375,92.208,91.525,0.682,53.208,57.531,9.639,5.955,steady participator
Generalization,m100,243,4,81.25,67.089,14.161,79.032,67.925,11.108,84.375,79.747,4.628,90.0,73.585,16.415,67.155,77.615,16.475,11.108,steady participator
Generalization,m101,243,4,60.194,38.971,21.224,61.538,35.246,26.293,77.67,65.441,12.229,88.71,88.679,0.03,42.887,49.093,27.338,26.293,strong reward-gated engagement
Generalization,m102,243,4,87.31,80.952,6.357,86.667,82.759,3.908,86.802,83.333,3.469,97.093,79.412,17.681,82.148,87.936,8.092,3.908,steady participator
Generalization,m103,244,4,68.919,67.391,1.528,70.06,64.384,5.676,78.378,73.913,4.465,88.235,88.71,-0.474,62.083,69.583,3.76,5.676,steady participator
Generalization,m104,244,4,68.75,58.333,10.417,67.089,59.756,7.333,83.333,67.708,15.625,91.919,89.286,2.633,61.042,66.458,18.229,7.333,off-cue dominated after reward
