task,mouse,subject,session,training_day,trial_index,n_trials_in_session,engaged,rewarded,missed,offcue_poke,offcue_pokes_count,n_oncue_pokes,n_licks,cue_to_poke_latency,poke_to_lick_latency,previous_engaged,previous_rewarded,previous_missed,previous_offcue_poke,previous_offcue_pokes_count,previous_cue_to_poke_latency,previous_poke_to_lick_latency,two_trials_back_rewarded,two_trials_back_engaged,two_trials_back_offcue_poke,prev_3_reward_rate,prev_3_engagement_rate,prev_3_offcue_poke_rate,prev_5_reward_rate,prev_5_engagement_rate,prev_5_offcue_poke_rate,trial_in_session_fraction
Generalization,m90,m90_GenLight_400,1,1,1,61,False,False,False,True,2,0,8,NaN,NaN,,,,,,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,0.0
Generalization,m90,m90_GenLight_400,1,1,2,61,False,False,False,False,0,0,0,NaN,NaN,False,False,False,True,2,NaN,NaN,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.017
Generalization,m90,m90_GenLight_400,1,1,3,61,False,False,False,True,4,0,14,NaN,NaN,False,False,False,False,0,NaN,NaN,False,False,True,0.0,0.0,0.5,0.0,0.0,0.5,0.033
Generalization,m90,m90_GenLight_400,1,1,4,61,False,False,False,True,3,0,8,NaN,NaN,False,False,False,True,4,NaN,NaN,False,False,False,0.0,0.0,0.667,0.0,0.0,0.667,0.05
Generalization,m90,m90_GenLight_400,1,1,5,61,False,False,False,True,7,0,16,NaN,NaN,False,False,False,True,3,NaN,NaN,False,False,True,0.0,0.0,0.667,0.0,0.0,0.75,0.067
Generalization,m90,m90_GenLight_400,1,1,6,61,True,True,False,True,2,1,28,4.887,0.195,False,False,False,True,7,NaN,NaN,False,False,True,0.0,0.0,1.0,0.0,0.0,0.8,0.083
Generalization,m90,m90_GenLight_400,1,1,7,61,False,False,False,True,15,0,56,NaN,NaN,True,True,False,True,2,4.887,0.195,False,False,True,0.333,0.333,1.0,0.2,0.2,0.8,0.1
Generalization,m90,m90_GenLight_400,1,1,8,61,True,True,False,True,7,1,64,2.327,0.168,False,False,False,True,15,NaN,NaN,True,True,True,0.333,0.333,1.0,0.2,0.2,1.0,0.117
Generalization,m90,m90_GenLight_400,1,1,9,61,True,True,False,True,2,1,22,0.745,0.175,True,True,False,True,7,2.327,0.168,False,False,True,0.667,0.667,1.0,0.4,0.4,1.0,0.133
Generalization,m90,m90_GenLight_400,1,1,10,61,False,False,False,True,3,0,16,NaN,NaN,True,True,False,True,2,0.745,0.175,True,True,True,0.667,0.667,1.0,0.6,0.6,1.0,0.15
Generalization,m90,m90_GenLight_400,1,1,11,61,True,True,False,True,3,1,28,2.652,0.263,False,False,False,True,3,NaN,NaN,True,True,True,0.667,0.667,1.0,0.6,0.6,1.0,0.167
Generalization,m90,m90_GenLight_400,1,1,12,61,True,True,False,True,6,1,38,1.419,0.169,True,True,False,True,3,2.652,0.263,False,False,True,0.667,0.667,1.0,0.6,0.6,1.0,0.183
Generalization,m90,m90_GenLight_400,1,1,13,61,True,True,False,True,4,1,32,2.807,0.153,True,True,False,True,6,1.419,0.169,True,True,True,0.667,0.667,1.0,0.8,0.8,1.0,0.2
Generalization,m90,m90_GenLight_400,1,1,14,61,True,True,False,True,2,1,26,1.296,0.189,True,True,False,True,4,2.807,0.153,True,True,True,1.0,1.0,1.0,0.8,0.8,1.0,0.217
Generalization,m90,m90_GenLight_400,1,1,15,61,True,True,False,True,2,1,18,1.646,0.134,True,True,False,True,2,1.296,0.189,True,True,True,1.0,1.0,1.0,0.8,0.8,1.0,0.233
Generalization,m90,m90_GenLight_400,1,1,16,61,False,False,False,False,0,0,0,NaN,NaN,True,True,False,True,2,1.646,0.134,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,0.25
Generalization,m90,m90_GenLight_400,1,1,17,61,False,False,False,True,5,0,24,NaN,NaN,False,False,False,False,0,NaN,NaN,True,True,True,0.667,0.667,0.667,0.8,0.8,0.8,0.267
Generalization,m90,m90_GenLight_400,1,1,18,61,True,True,False,True,9,1,34,0.662,0.179,False,False,False,True,5,NaN,NaN,False,False,False,0.333,0.333,0.667,0.6,0.6,0.8,0.283
Generalization,m90,m90_GenLight_400,1,1,19,61,True,True,False,True,9,1,46,1.286,0.108,True,True,False,True,9,0.662,0.179,False,False,True,0.333,0.333,0.667,0.6,0.6,0.8,0.3
Generalization,m90,m90_GenLight_400,1,1,20,61,True,False,True,True,1,1,4,7.113,15.206,True,True,False,True,9,1.286,0.108,True,True,True,0.667,0.667,1.0,0.6,0.6,0.8,0.317
Generalization,m90,m90_GenLight_400,1,1,21,61,True,False,True,True,2,1,16,7.925,0.257,True,False,True,True,1,7.113,15.206,True,True,True,0.667,1.0,1.0,0.4,0.6,0.8,0.333
Generalization,m90,m90_GenLight_400,1,1,22,61,False,False,False,True,1,0,0,NaN,NaN,True,False,True,True,2,7.925,0.257,False,True,True,0.333,1.0,1.0,0.4,0.8,1.0,0.35
Generalization,m90,m90_GenLight_400,1,1,23,61,True,True,False,True,3,1,12,3.206,0.294,False,False,False,True,1,NaN,NaN,False,True,True,0.0,0.667,1.0,0.4,0.8,1.0,0.367
Generalization,m90,m90_GenLight_400,1,1,24,61,False,False,False,True,1,0,2,NaN,NaN,True,True,False,True,3,3.206,0.294,False,False,True,0.333,0.667,1.0,0.4,0.8,1.0,0.383
Generalization,m90,m90_GenLight_400,1,1,25,61,True,True,False,True,2,1,18,4.036,0.136,False,False,False,True,1,NaN,NaN,True,True,True,0.333,0.333,1.0,0.2,0.6,1.0,0.4
Generalization,m90,m90_GenLight_400,1,1,26,61,False,False,False,True,2,0,2,NaN,NaN,True,True,False,True,2,4.036,0.136,False,False,True,0.667,0.667,1.0,0.4,0.6,1.0,0.417
Generalization,m90,m90_GenLight_400,1,1,27,61,True,True,False,False,0,1,10,4.157,0.138,False,False,False,True,2,NaN,NaN,True,True,True,0.333,0.333,1.0,0.4,0.4,1.0,0.433
Generalization,m90,m90_GenLight_400,1,1,28,61,False,False,False,True,1,0,4,NaN,NaN,True,True,False,False,0,4.157,0.138,False,False,True,0.667,0.667,0.667,0.6,0.6,0.8,0.45
Generalization,m90,m90_GenLight_400,1,1,29,61,True,False,True,True,2,1,14,1.45,0.363,False,False,False,True,1,NaN,NaN,True,True,False,0.333,0.333,0.667,0.4,0.4,0.8,0.467
Generalization,m90,m90_GenLight_400,1,1,30,61,False,False,False,False,0,0,0,NaN,NaN,True,False,True,True,2,1.45,0.363,False,False,True,0.333,0.667,0.667,0.4,0.6,0.8,0.483
Generalization,m90,m90_GenLight_400,1,1,31,61,True,True,False,True,2,1,2,4.792,0.189,False,False,False,False,0,NaN,NaN,False,True,True,0.0,0.333,0.667,0.2,0.4,0.6,0.5
Generalization,m90,m90_GenLight_400,1,1,32,61,False,False,False,True,1,0,0,NaN,NaN,True,True,False,True,2,4.792,0.189,False,False,False,0.333,0.667,0.667,0.4,0.6,0.6,0.517
Generalization,m90,m90_GenLight_400,1,1,33,61,False,False,False,False,0,0,0,NaN,NaN,False,False,False,True,1,NaN,NaN,True,True,True,0.333,0.333,0.667,0.2,0.4,0.8,0.533
Generalization,m90,m90_GenLight_400,1,1,34,61,False,False,False,False,0,0,0,NaN,NaN,False,False,False,False,0,NaN,NaN,False,False,True,0.333,0.333,0.667,0.2,0.4,0.6,0.55
Generalization,m90,m90_GenLight_400,1,1,35,61,True,True,False,True,2,1,14,4.333,0.319,False,False,False,False,0,NaN,NaN,False,False,False,0.0,0.0,0.333,0.2,0.2,0.4,0.567
Generalization,m90,m90_GenLight_400,1,1,36,61,True,True,False,True,1,1,14,6.512,0.201,True,True,False,True,2,4.333,0.319,False,False,False,0.333,0.333,0.333,0.4,0.4,0.6,0.583
Generalization,m90,m90_GenLight_400,1,1,37,61,False,False,False,True,1,0,0,NaN,NaN,True,True,False,True,1,6.512,0.201,True,True,True,0.667,0.667,0.667,0.4,0.4,0.6,0.6
Generalization,m90,m90_GenLight_400,1,1,38,61,False,False,False,False,0,0,0,NaN,NaN,False,False,False,True,1,NaN,NaN,True,True,True,0.667,0.667,1.0,0.4,0.4,0.6,0.617
Generalization,m90,m90_GenLight_400,1,1,39,61,False,False,False,True,2,0,14,NaN,NaN,False,False,False,False,0,NaN,NaN,False,False,True,0.333,0.333,0.667,0.4,0.4,0.6,0.633
Generalization,m90,m90_GenLight_400,1,1,40,61,True,True,False,True,1,1,14,0.421,0.163,False,False,False,True,2,NaN,NaN,False,False,False,0.0,0.0,0.667,0.4,0.4,0.8,0.65
Generalization,m90,m90_GenLight_400,1,1,41,61,False,False,False,False,0,0,0,NaN,NaN,True,True,False,True,1,0.421,0.163,False,False,True,0.333,0.333,0.667,0.4,0.4,0.8,0.667
Generalization,m90,m90_GenLight_400,1,1,42,61,False,False,False,True,1,0,4,NaN,NaN,False,False,False,False,0,NaN,NaN,True,True,True,0.333,0.333,0.667,0.2,0.2,0.6,0.683
Generalization,m90,m90_GenLight_400,1,1,43,61,True,True,False,False,0,1,8,5.364,0.351,False,False,False,True,1,NaN,NaN,False,False,False,0.333,0.333,0.667,0.2,0.2,0.6,0.7
Generalization,m90,m90_GenLight_400,1,1,44,61,False,False,False,True,1,0,0,NaN,NaN,True,True,False,False,0,5.364,0.351,False,False,True,0.333,0.333,0.333,0.4,0.4,0.6,0.717
Generalization,m90,m90_GenLight_400,1,1,45,61,True,False,True,True,2,1,10,3.858,0.126,False,False,False,True,1,NaN,NaN,True,True,False,0.333,0.333,0.667,0.4,0.4,0.6,0.733
Generalization,m90,m90_GenLight_400,1,1,46,61,False,False,False,False,0,0,0,NaN,NaN,True,False,True,True,2,3.858,0.126,False,False,True,0.333,0.667,0.667,0.2,0.4,0.6,0.75
Generalization,m90,m90_GenLight_400,1,1,47,61,True,False,True,False,0,2,0,7.628,NaN,False,False,False,False,0,NaN,NaN,False,True,True,0.0,0.333,0.667,0.2,0.4,0.6,0.767
Generalization,m90,m90_GenLight_400,1,1,48,61,True,False,True,False,0,1,0,1.354,NaN,True,False,True,False,0,7.628,NaN,False,False,False,0.0,0.667,0.333,0.2,0.6,0.4,0.783
Generalization,m90,m90_GenLight_400,1,1,49,61,True,True,False,False,0,1,6,2.453,0.412,True,False,True,False,0,1.354,NaN,False,True,False,0.0,0.667,0.0,0.0,0.6,0.4,0.8
Generalization,m90,m90_GenLight_400,1,1,50,61,False,False,False,True,1,0,6,NaN,NaN,True,True,False,False,0,2.453,0.412,False,True,False,0.333,1.0,0.0,0.2,0.8,0.2,0.817
Generalization,m90,m90_GenLight_400,1,1,51,61,False,False,False,False,0,0,0,NaN,NaN,False,False,False,True,1,NaN,NaN,True,True,False,0.333,0.667,0.333,0.2,0.6,0.2,0.833
Generalization,m90,m90_GenLight_400,1,1,52,61,True,True,False,False,0,1,4,5.677,0.162,False,False,False,False,0,NaN,NaN,False,False,True,0.333,0.333,0.333,0.2,0.6,0.2,0.85
Generalization,m90,m90_GenLight_400,1,1,53,61,False,False,False,True,2,0,4,NaN,NaN,True,True,False,False,0,5.677,0.162,False,False,False,0.333,0.333,0.333,0.4,0.6,0.2,0.867
Generalization,m90,m90_GenLight_400,1,1,54,61,False,False,False,True,3,0,6,NaN,NaN,False,False,False,True,2,NaN,NaN,True,True,False,0.333,0.333,0.333,0.4,0.4,0.4,0.883
Generalization,m90,m90_GenLight_400,1,1,55,61,True,True,False,True,2,1,12,0.641,0.299,False,False,False,True,3,NaN,NaN,False,False,True,0.333,0.333,0.667,0.2,0.2,0.6,0.9
Generalization,m90,m90_GenLight_400,1,1,56,61,False,False,False,False,0,0,0,NaN,NaN,True,True,False,True,2,0.641,0.299,False,False,True,0.333,0.333,1.0,0.4,0.4,0.6,0.917
Generalization,m90,m90_GenLight_400,1,1,57,61,False,False,False,False,0,0,0,NaN,NaN,False,False,False,False,0,NaN,NaN,True,True,True,0.333,0.333,0.667,0.4,0.4,0.6,0.933
Generalization,m90,m90_GenLight_400,1,1,58,61,False,False,False,False,0,0,0,NaN,NaN,False,False,False,False,0,NaN,NaN,False,False,False,0.333,0.333,0.333,0.2,0.2,0.6,0.95
